N	2gram	Medvedev_V_1	Mirosoze
1	и в	2	46
2	в этом	1	20
3	и не	1	18
4	потому что	1	12
5	так как	1	8
6	но это	1	8
7	хотя бы	1	7
8	то же	1	5
9	я не	1	5
10	в самом	1	5
11	в конце	2	5
12	и его	1	5
13	к чему	1	4
14	том что	2	4
15	в том	2	3
16	только в	1	3
17	не хотел	1	2
18	более чем	1	2
19	стоит на	1	2
20	все время	1	2
21	да и	1	2
22	и то	1	1
23	самом деле	1	1
24	хотел сказать	1	1
25	то я	1	1
26	значительной степени	1	1
27	в другом	1	1
28	в которых	1	1
29	о пределах	1	1
30	не хочу	1	1
31	жизни которое	1	1
32	в значительной	1	1
33	и только	1	1
34	же все	1	1
35	для них	1	1
36	они тогда	1	1
37	все это	1	1
38	конце концов	2	1
39	ни к	1	1
40	по поводу	1	1
41	к этому	1	1
