N	2gram	Medvedev_I_1	Problema
1	и в	1	32
2	и не	2	31
3	в этом	2	19
4	что в	2	12
5	так и	1	12
6	ничего не	2	10
7	того чтобы	1	9
8	и о	1	8
9	все эти	1	8
10	для того	1	8
11	есть только	1	8
12	в них	1	7
13	никогда не	1	7
14	того что	1	7
15	тем что	1	7
16	все это	1	7
17	говорить о	1	6
18	то и	1	6
19	а в	1	4
20	если бы	1	4
21	а также	1	4
22	по поводу	1	4
23	того же	1	3
24	он не	2	3
25	и еще	1	3
26	нисколько не	1	3
27	с другой	1	3
28	только для	1	3
29	другой стороны	1	3
30	из подполья	1	2
31	и ничего	1	2
32	следовательно в	1	2
33	и с	3	2
34	это было	1	2
35	в эту	1	2
36	и очень	1	2
37	со всеми	1	2
38	для него	1	2
39	что для	1	2
40	по существу	1	2
41	но когда	1	2
42	только что	1	2
43	странное и	1	1
44	бы что	2	1
45	нам в	1	1
46	я не	1	1
47	слишком много	1	1
48	а если	1	1
49	от этого	1	1
50	пушкина и	1	1
51	в первую	1	1
52	точно и	1	1
53	них не	1	1
54	а по	1	1
55	в художественном	1	1
56	первую очередь	1	1
57	этим и	1	1
58	не так	1	1
59	и без	1	1
60	вплоть до	1	1
61	как о	1	1
62	на котором	1	1
63	в основе	1	1
64	было не	1	1
65	должен быть	2	1
66	с голядкиным	1	1
67	и сам	1	1
68	имеется то	1	1
69	и та	1	1
70	утверждает что	1	1
71	с любым	1	1
72	не случайно	1	1
73	себя в	1	1
74	многое другое	1	1
75	не дает	1	1
76	могло бы	1	1
77	только общее	1	1
78	своего исследования	1	1
79	бы его	1	1
80	жизни и	1	1
