N	2gram	Propp_Isto_2	Tragedij
1	и в	15	18
2	в этом	11	9
3	не только	18	8
4	он сам	1	7
5	и с	4	7
6	и на	4	7
7	может быть	17	7
8	как бы	6	7
9	и не	11	7
10	но в	6	6
11	и его	3	6
12	что он	24	6
13	у него	4	6
14	то же	10	5
15	все же	9	5
16	что это	6	5
17	он вдруг	1	5
18	это не	2	5
19	как и	2	5
20	несмотря на	1	5
21	в то	1	5
22	в дальнейшем	1	5
23	так и	5	5
24	это очень	1	5
25	не может	5	5
26	к жизни	1	5
27	я не	2	4
28	еще не	9	4
29	в себе	4	4
30	в целом	1	4
31	в этой	4	4
32	в нем	7	4
33	об этом	11	4
34	том что	7	4
35	и что	6	4
36	но и	14	4
37	прежде всего	5	4
38	так же	13	4
39	но это	4	4
40	все это	3	4
41	этот образ	1	4
42	что в	12	4
43	то что	12	4
44	что образ	1	3
45	и он	1	3
46	своего рода	1	3
47	отнюдь не	1	3
48	как в	5	3
49	и как	1	3
50	все эти	4	3
51	при этом	4	3
52	тем самым	2	3
53	о чем	1	3
54	в поле	1	3
55	своего отца	1	3
56	с ее	2	3
57	мог бы	3	3
58	с ним	1	3
59	к нему	5	3
60	в его	6	3
61	один из	8	3
62	уже в	2	3
63	никто не	1	3
64	как будто	3	3
65	один в	1	3
66	как это	3	3
67	что за	1	3
68	в основном	2	3
69	она все	1	2
70	что эти	4	2
71	и за	1	2
72	а как	1	2
73	из своих	1	2
74	никогда не	15	2
75	и то	2	2
76	он был	3	2
77	но этого	1	2
78	с его	1	2
79	отличие от	1	2
80	тут же	2	2
81	не просто	2	2
82	так что	6	2
83	как говорит	1	2
84	перед нами	2	2
85	говорит что	3	2
86	впечатление что	1	2
87	в самом	1	2
88	жизнью и	1	2
89	он не	8	2
90	что она	5	2
91	но все	5	2
92	его в	10	2
93	в это	1	2
94	ни в	2	2
95	с тем	9	2
96	не мог	3	2
97	в отличие	1	2
98	вопрос о	4	2
99	но эта	1	2
100	не в	7	2
101	что этот	3	2
102	но они	4	2
103	одна из	2	2
104	я буду	3	2
105	в русском	2	2
106	не могут	1	2
107	его за	1	2
108	он и	3	2
109	к тому	5	2
110	и это	3	2
111	раз он	1	2
112	ничего не	7	2
113	и здесь	9	2
114	о том	3	2
115	в глаза	2	2
116	что и	6	2
117	ее за	2	2
118	бросается в	1	2
119	в том	6	2
120	который в	1	2
121	и ее	2	2
122	уже не	1	2
123	в одном	5	2
124	друг друга	1	2
125	тем что	4	2
126	ребенка в	3	2
127	до конца	1	2
128	ничем не	1	2
129	ребенка и	2	2
130	и дети	1	2
131	о его	2	2
132	потому что	9	2
133	со мной	2	2
134	в частности	1	2
135	только о	1	2
136	в таком	1	2
137	точно так	6	2
138	также что	2	1
139	и т	19	1
140	например в	2	1
141	я его	3	1
142	сам по	1	1
143	отметим что	1	1
144	и др	4	1
145	самом деле	2	1
146	к своей	1	1
147	это и	1	1
148	и есть	5	1
149	последней главе	1	1
150	высшей степени	1	1
151	мать и	1	1
152	не думает	1	1
153	и могут	1	1
154	хлеб и	1	1
155	той же	2	1
156	не вполне	1	1
157	на себя	1	1
158	вместо того	2	1
159	в виду	2	1
160	в ней	4	1
161	встречается в	3	1
162	давно известно	1	1
163	представляет собой	5	1
164	или от	1	1
165	во всех	2	1
166	на другой	2	1
167	у которой	1	1
168	но не	2	1
169	могло быть	1	1
170	добродетели в	1	1
171	но как	1	1
172	а он	1	1
173	пальцем на	1	1
174	тогда как	1	1
175	ее сердце	1	1
176	в настоящем	1	1
177	в истории	1	1
178	в центре	1	1
179	место где	1	1
180	вот как	1	1
181	что ее	3	1
182	власть и	1	1
183	и наконец	5	1
184	родство которого	1	1
185	именно эта	1	1
186	со своей	1	1
187	в которой	2	1
188	дьявол и	1	1
189	он в	3	1
190	право на	3	1
191	говорит не	1	1
192	не самому	1	1
193	как он	3	1
194	если он	1	1
195	же противен	1	1
196	не могла	2	1
197	человек не	1	1
198	и если	2	1
199	три года	4	1
200	по-видимому не	1	1
201	эта деталь	1	1
202	так сказать	2	1
203	к одному	1	1
204	душу и	1	1
205	все ей	1	1
206	так часто	1	1
207	и по	2	1
208	на свете	1	1
209	таким образом	7	1
210	здесь мы	3	1
211	а затем	2	1
212	не скажет	1	1
213	за то	1	1
214	в другом	9	1
215	это было	1	1
216	обоих случаях	1	1
217	и сердце	1	1
218	быть не	1	1
219	а это	1	1
220	ты мне	3	1
221	но уже	1	1
222	в них	1	1
223	он же	1	1
224	в высшей	1	1
225	этого не	5	1
226	и вне	1	1
227	говорится о	1	1
228	к величайшему	1	1
229	ведет к	1	1
230	обратимся к	2	1
231	все как	1	1
232	но я	1	1
233	но если	3	1
234	собой более	1	1
235	в своей	1	1
236	этой связи	1	1
237	наших дней	1	1
238	на руке	1	1
239	почти не	1	1
240	в котором	5	1
241	не столько	2	1
242	представление о	2	1
243	должны были	8	1
244	дорогу в	1	1
245	умирает и	1	1
246	начнем с	1	1
247	но он	4	1
248	над ними	1	1
249	и один	1	1
250	тем не	1	1
251	с такими	1	1
252	по себе	1	1
253	особым образом	1	1
254	не менее	1	1
255	вплоть до	1	1
256	с особой	1	1
257	играть в	1	1
258	что эта	2	1
259	она не	5	1
260	на земле	1	1
261	впадает в	1	1
262	в обоих	1	1
263	самого начала	2	1
264	на котором	2	1
265	того как	4	1
266	тогда и	2	1
267	он еще	1	1
268	только не	1	1
269	ужас и	1	1
270	только нет	1	1
271	этого описания	1	1
272	детей и	1	1
273	к ней	2	1
274	и водой	1	1
275	для нас	4	1
276	особое значение	1	1
277	связи с	8	1
278	был так	1	1
279	входят в	1	1
