N	2gram	Vygotskiy__1	IolandNe
1	и с	9	3
2	должен быть	4	2
3	и не	9	2
4	в этом	17	2
5	он не	5	2
6	что в	14	2
7	ничего не	3	2
8	бы что	2	2
9	все это	6	1
10	автора и	1	1
11	нисколько не	1	1
12	и др	1	1
13	а для	1	1
14	и в	23	1
15	только что	4	1
16	в эту	1	1
17	я не	3	1
18	то и	3	1
19	бы в	5	1
20	как только	1	1
21	не остается	3	1
22	и со	1	1
23	с другой	10	1
24	и та	1	1
25	а в	2	1
26	вплоть до	1	1
27	еще одной	1	1
28	она ничего	1	1
29	к нам	1	1
30	так то	1	1
31	того что	15	1
32	не дает	1	1
33	и без	1	1
34	своего исследования	2	1
35	в руки	1	1
36	как о	1	1
37	на котором	1	1
38	а с	4	1
39	другой стороны	9	1
40	и еще	1	1
41	в первую	3	1
42	для него	2	1
43	а также	1	1
44	в основе	8	1
45	что для	5	1
46	что при	1	1
47	в значительной	2	1
48	говорить о	2	1
49	понятий и	4	1
50	могло бы	1	1
51	видит в	1	1
52	отношению к	7	1
53	так и	5	1
54	он с	1	1
55	от этого	2	1
56	того чтобы	17	1
57	первую очередь	3	1
58	никогда не	2	1
59	когда его	1	1
60	только для	3	1
61	та и	1	1
62	жизни и	2	1
63	бы все	1	1
64	факты и	1	1
65	тех же	2	1
66	тем что	6	1
67	в целом	20	1
68	и многое	1	1
69	по поводу	1	1
70	точно и	2	1
71	по отношению	7	1
72	очевидно что	1	1
73	в них	2	1
74	все эти	4	1
75	по существу	4	1
76	со всеми	2	1
77	с любым	2	1
78	если бы	5	1
79	для того	15	1
80	без этого	2	1
