N	2gram	Losev_Vlad_1	VeschiIm
1	не есть	1	49
2	не может	6	33
3	не только	24	31
4	может быть	6	29
5	и не	17	28
6	и в	31	26
7	то что	18	24
8	и есть	1	23
9	и т	2	21
10	т д	2	20
11	а не	1	20
12	не просто	1	18
13	есть только	1	17
14	что я	2	16
15	что она	2	14
16	только в	9	14
17	и что	6	13
18	того что	2	13
19	и то	10	12
20	есть не	1	12
21	все же	3	12
22	было бы	2	12
23	но и	19	12
24	сказать что	7	12
25	а и	1	11
26	таким образом	3	11
27	что же	5	11
28	и больше	1	10
29	то же	6	10
30	есть нечто	1	10
31	в ней	1	10
32	что такое	2	10
33	потому что	11	10
34	уже не	3	10
35	что мы	2	10
36	бы то	1	9
37	в самом	2	9
38	то ни	1	9
39	и с	14	9
40	больше ничего	1	9
41	в том	11	9
42	что не	1	9
43	еще и	7	9
44	прежде всего	1	9
45	ни было	1	9
46	что иное	1	8
47	с ее	1	8
48	иное как	1	8
49	в себе	4	8
50	на то	5	8
51	и это	2	8
52	ничего не	3	8
53	себя и	1	8
54	она есть	1	8
55	но это	3	8
56	не что	1	8
57	также и	10	7
58	в этом	14	7
59	не будет	1	7
60	с другими	1	7
61	том что	14	7
62	в то	8	7
63	со своим	5	7
64	указывает на	2	7
65	как с	1	7
66	себя в	4	7
67	так как	8	7
68	как раз	7	7
69	и пр	1	7
70	е в	7	7
71	совершенно не	2	7
72	со стороны	2	6
73	что они	3	6
74	и как	4	6
75	но в	12	6
76	одно и	1	6
77	точки зрения	2	6
78	но если	1	6
79	с ним	5	6
80	она не	1	6
81	ясно что	2	6
82	и только	1	6
83	так что	10	6
84	ни с	4	6
85	для него	7	6
86	но что	3	6
87	относится к	1	6
88	в результате	2	6
89	жизни и	5	6
90	что в	14	6
91	того же	6	5
92	это и	2	5
93	и до	2	5
94	ведь и	1	5
95	и тут	2	5
96	на себя	3	5
97	в чем	2	5
98	но не	3	5
99	отнюдь не	3	5
100	как к	2	5
101	содержит в	1	5
102	это не	1	5
103	с тем	2	5
104	не в	5	5
105	тем не	2	5
106	в отношении	3	5
107	не менее	2	5
108	одна из	1	5
109	у нас	6	5
110	для себя	2	5
111	свою очередь	1	5
112	если бы	1	5
113	еще не	2	5
114	или не	1	5
115	что для	4	5
116	с этой	1	5
117	и для	2	5
118	а в	9	5
119	в свою	1	5
120	в и	1	4
121	мы не	1	4
122	я не	4	4
123	в их	1	4
124	во всех	1	4
125	нет и	2	4
126	его на	2	4
127	в своем	4	4
128	и мы	2	4
129	на почве	1	4
130	как и	4	4
131	и более	1	4
132	на себе	1	4
133	же время	4	4
134	и о	2	4
135	только то	1	4
136	о том	11	4
137	с другой	3	4
138	что и	5	4
139	с а	9	4
140	рационализма и	2	4
141	то и	2	4
142	из них	2	4
143	бытия и	1	4
144	тем что	2	4
145	и даже	15	4
146	даже не	2	4
147	знания и	2	4
148	когда я	1	4
149	и потому	6	4
150	в данном	1	4
151	быть не	1	4
152	не существует	1	4
153	и все	4	4
154	собственно говоря	3	4
155	от того	1	4
156	между ними	1	4
157	самом деле	1	3
158	отношения к	1	3
159	с в	3	3
160	если я	1	3
161	мы имеем	1	3
162	вопрос о	1	3
163	но даже	2	3
164	явлений и	1	3
165	более или	3	3
166	себе не	1	3
167	в нем	4	3
168	раз навсегда	1	3
169	на этом	2	3
170	было в	1	3
171	в жизни	3	3
172	несмотря на	4	3
173	и тогда	1	3
174	нисколько не	2	3
175	или менее	3	3
176	можно только	1	3
177	в своей	4	3
178	все это	5	3
179	их в	1	3
180	между прочим	11	3
181	как о	1	3
182	и притом	3	3
183	того чтобы	2	3
184	или как	1	3
185	к ней	4	3
186	ему не	1	3
187	в философии	2	3
188	к себе	2	3
189	к тому	3	3
190	на это	2	3
191	не содержит	1	3
192	и сам	6	3
193	понимание и	1	3
194	так и	6	3
195	и вообще	4	3
196	о ней	1	3
197	можно сказать	6	3
198	если это	1	3
199	один из	4	3
200	тот же	3	3
201	что он	12	3
202	но как	5	3
203	не мешает	1	3
204	только на	3	3
205	а это	2	3
206	в одном	1	3
207	отношение к	3	3
208	и позитивизма	1	3
209	даже и	9	3
210	никогда не	9	3
211	а с	5	3
212	вместе с	3	3
213	да и	4	3
214	она уже	1	3
215	бы в	1	3
216	и ни	2	3
217	тем более	2	3
218	хотя бы	2	3
219	я в	1	3
220	с самим	1	3
221	можно говорить	1	2
222	как это	7	2
223	ту же	1	2
224	из его	4	2
225	мы уже	7	2
226	той же	2	2
227	часто бывает	1	2
228	как мы	9	2
229	но она	3	2
230	не нужно	1	2
231	мысли и	4	2
232	сама с	1	2
233	мы будем	2	2
234	тогда как	1	2
235	себе и	1	2
236	тут же	7	2
237	как в	3	2
238	когда он	5	2
239	на нас	1	2
240	что на	2	2
241	то в	1	2
242	я имею	1	2
243	так или	1	2
244	выражение в	1	2
245	если он	1	2
246	и если	5	2
247	он не	10	2
248	о которой	3	2
249	для того	2	2
250	как часто	1	2
251	в силу	1	2
252	душу и	1	2
253	и вот	3	2
254	но все	1	2
255	об этом	7	2
256	на все	2	2
257	то есть	3	2
258	и тем	1	2
259	которая была	1	2
260	только одно	1	2
261	ни в	2	2
262	но уже	1	2
