N	3gram	Savitsky_E_1	Vladivir
1	в том что	6	10
2	это значит что	1	6
3	а также и	1	6
4	с точки зрения	16	6
5	не может быть	2	6
6	к тому же	1	5
7	и в этом	4	5
8	дело в том	1	5
9	более или менее	1	5
10	что же касается	1	5
11	в то время	1	4
12	с одной стороны	8	3
13	в этом смысле	3	3
14	в то же	15	3
15	в том случае	1	3
16	бы то ни	4	3
17	хотя бы и	3	3
18	само по себе	4	3
19	то что в	2	3
20	и в отношении	1	3
21	как мы видели	2	3
22	только в том	2	3
23	в отличие от	1	3
24	мы бы сказали	1	3
25	во всяком случае	3	3
26	так же как	5	2
27	только в виде	1	2
28	и в то	8	2
29	с другой стороны	2	2
30	что в этом	1	2
31	к тому что	1	2
32	оно не может	1	2
33	том случае если	1	2
34	независимо от того	1	2
35	на то что	2	2
36	в этом отношении	3	2
37	одной стороны и	6	2
38	в связи с	1	2
39	то же время	14	2
40	также и в	1	2
41	то время как	1	2
42	в данном случае	2	2
43	заключается в том	2	1
44	и притом в	2	1
45	мы не можем	1	1
46	одна другую и	1	1
47	в том же	1	1
48	можно думать что	3	1
49	между прочим и	2	1
50	он не дает	1	1
51	принимая во внимание	1	1
52	говоря уже об	1	1
53	в том числе	1	1
54	в каком же	1	1
55	то что с	1	1
56	не входя в	1	1
57	и не в	1	1
58	что в смысле	1	1
59	в последнем случае	1	1
60	говорить не о	1	1
61	он мог бы	1	1
62	в последние годы	3	1
63	но и то	1	1
64	нельзя сказать чтобы	1	1
65	в противном случае	1	1
66	как и его	1	1
67	только и можно	1	1
68	указать на то	1	1
69	не только те	1	1
70	того что мы	1	1
71	то ни было	4	1
72	сказать что в	2	1
73	с тем что	1	1
74	есть не только	2	1
75	так и с	1	1
76	же как и	3	1
77	и не только	1	1
78	нас между прочим	1	1
79	можно было бы	3	1
80	и то и	1	1
81	и в своем	1	1
82	для того чтобы	5	1
83	в том смысле	1	1
84	для нас между	1	1
85	не только в	4	1
86	наше внимание на	1	1
87	мы находим у	1	1
88	что же при	1	1
89	для нас значение	1	1
90	развития так как	1	1
91	а не к	1	1
92	может быть и	1	1
93	хотя бы с	1	1
94	о которых мы	1	1
95	как не может	1	1
96	в известном смысле	3	1
97	в самом процессе	1	1
98	выходит за пределы	1	1
99	в последнее время	1	1
100	не говоря уже	2	1
101	в каком смысле	1	1
102	основание в том	1	1
103	даже вовсе не	1	1
104	не может не	1	1
105	той или иной	4	1
106	этой точки зрения	5	1
107	в себе не	1	1
108	на этот раз	1	1
109	с этой точки	5	1
110	то и другое	1	1
