N	3gram	Bakhtin_fo_1	Marksizm
1	с точки зрения	2	20
2	не может быть	3	13
3	в самом деле	1	9
4	до сих пор	3	8
5	в связи с	5	7
6	и того же	5	5
7	одного и того	5	5
8	в отличие от	2	5
9	с самого начала	2	4
10	вполне понятно что	4	3
11	в этом случае	1	3
12	в этом отношении	3	3
13	может быть и	2	3
14	в высшей степени	1	3
15	все без исключения	1	3
16	то же время	9	3
17	и т.п в	1	3
18	связи с этим	2	3
19	в ее целом	2	3
20	но все же	2	3
21	в то же	6	3
22	для того чтобы	5	3
23	в том что	2	3
24	теперь мы должны	1	2
25	или хотя бы	1	2
26	же как и	2	2
27	в данный момент	1	2
28	в том числе	4	2
29	всякой связи с	1	2
30	на первый план	1	2
31	сама по себе	1	2
32	том числе и	2	2
33	со всех сторон	1	2
34	как если бы	2	2
35	что во всех	1	2
36	так же как	2	2
37	но в то	1	2
38	во всяком случае	1	2
39	смысле этого слова	1	2
40	не могут быть	1	2
41	по отношению к	3	2
42	совершенно независимо от	1	2
43	между этими двумя	3	2
44	в свою очередь	1	2
45	только на почве	1	2
46	быть и речи	1	2
47	и прежде всего	2	2
48	в нем нет	2	2
49	все более и	1	1
50	у них нет	1	1
51	но кроме того	1	1
52	и в сущности	2	1
53	а следовательно и	1	1
54	точка зрения на	1	1
55	и они же	1	1
56	в других областях	1	1
57	специфической закономерностью и	1	1
58	для наших задач	1	1
59	прежде всего в	1	1
60	в каких формах	1	1
61	и в маленьких	1	1
62	равно как и	2	1
63	громадное значение в	1	1
64	в подходе к	2	1
65	снова и снова	1	1
66	этот далеко не	1	1
67	и во всяком	1	1
68	и не существует	1	1
69	жизни в ее	2	1
70	как мы сказали	1	1
71	до известной степени	1	1
72	сами по себе	1	1
73	в последующем в	1	1
74	но и в	2	1
75	в себе и	1	1
76	оно ничего не	1	1
77	своей специфической закономерностью	1	1
78	возможно лишь в	1	1
79	совершенно так же	1	1
80	в предыдущем разделе	1	1
81	как оно было	1	1
82	нет ничего что	1	1
83	он ни был	1	1
84	может быть только	3	1
85	имеет большое значение	1	1
86	так сказать в	1	1
87	почти ничего не	1	1
88	в значительной степени	1	1
89	и ту же	1	1
90	в нашем случае	1	1
91	все же и	1	1
92	с одной стороны	2	1
93	и вне его	1	1
94	прежде всего необходимо	3	1
95	и как бы	1	1
96	по природе своей	2	1
97	на этой же	1	1
98	в каком же	2	1
99	как мы увидим	1	1
100	как человек с	1	1
101	в его целом	2	1
102	до наших дней	1	1
103	в широком смысле	2	1
104	и все другие	2	1
105	мы уже знаем	1	1
106	сих пор не	1	1
107	нем нет ничего	1	1
108	в романе не	2	1
109	вне всякой связи	1	1
110	так и в	1	1
111	он не знает	1	1
112	xvii и xviii	1	1
113	в точном смысле	2	1
114	с тем что	1	1
115	и в самом	1	1
116	в каждом явлении	1	1
117	будем говорить в	1	1
118	более и более	1	1
119	прямой и косвенной	1	1
120	во времени и	1	1
121	не только в	2	1
122	постоянно имеет место	1	1
123	человек в литературе	1	1
124	разрешения этой проблемы	1	1
125	или во всяком	1	1
126	в новое время	1	1
127	как мы видим	2	1
128	ни к какой	1	1
129	дело здесь идет	1	1
130	по преимуществу в	1	1
131	как мы уже	8	1
132	лишь там где	1	1
133	кроме того в	1	1
134	таким образом и	1	1
135	в особенности же	1	1
136	друг за другом	2	1
137	друг с другом	1	1
138	одну и ту	1	1
139	в последнем счете	1	1
140	и речи о	1	1
141	как мы говорили	1	1
142	той или иной	2	1
