N	3gram	Vinokur_Ku_3	Istorich
1	и т д	8	15
2	с другой стороны	3	7
3	в этом случае	4	5
4	до сих пор	8	5
5	в том что	8	5
6	тем не менее	9	5
7	как мы видели	2	5
8	в данном случае	4	3
9	в связи с	4	3
10	по отношению к	2	2
11	что и в	2	2
12	здесь могут быть	1	2
13	с одной стороны	4	2
14	во всяком случае	1	2
15	это еще не	1	2
16	в то время	1	2
17	о том что	3	2
18	в одном из	1	2
19	не только не	1	2
20	но все же	1	2
21	мы имеем в	1	2
22	к тому же	2	2
23	но она может	1	1
24	можно возразить что	1	1
25	хотя и не	1	1
26	есть один из	1	1
27	потому что как	3	1
28	в чем же	1	1
29	со стороны ее	1	1
30	и той же	1	1
31	отношение к нашей	1	1
32	в том числе	2	1
33	в силу того	1	1
34	с этой точки	1	1
35	с точки зрения	16	1
36	но и в	1	1
37	только то что	2	1
38	из того что	1	1
39	то же в	1	1
40	с тем что	1	1
41	мы видели есть	1	1
42	в таком случае	2	1
43	можно было бы	10	1
44	это вовсе не	1	1
45	она не могла	1	1
46	вместе с тем	1	1
47	если это так	1	1
48	может быть и	1	1
49	в самых разнообразных	1	1
50	ставит себе целью	1	1
51	что они могут	1	1
52	уже потому что	1	1
53	в том смысле	1	1
54	и что на	1	1
55	на себе внимание	1	1
56	не только в	3	1
57	таких примеров можно	1	1
58	заключается в том	1	1
59	это так то	1	1
60	смысле этого слова	2	1
61	так как они	1	1
62	себе ничего не	1	1
63	т е с	1	1
64	по себе ничего	1	1
65	могло бы составить	1	1
66	так же как	1	1
67	этой точки зрения	1	1
68	а так как	1	1
69	в тех случаях	1	1
70	силу того что	1	1
71	и для этой	1	1
72	так далеко что	1	1
73	то обстоятельство что	3	1
74	примеров можно привести	1	1
75	в силу которых	3	1
76	и вместе с	1	1
77	в свою очередь	1	1
78	и прежде всего	1	1
79	на самом деле	3	1
80	а не с	1	1
81	не может быть	3	1
82	имеет своей целью	1	1
83	но в этом	1	1
84	у нас в	1	1
85	здесь можно было	2	1
86	также и в	1	1
87	друг от друга	1	1
88	тех случаях когда	1	1
89	после того как	4	1
90	может оказаться весьма	1	1
91	ту же функцию	1	1
92	одной и той	1	1
93	что дело здесь	1	1
94	о том чтобы	1	1
95	на этот вопрос	1	1
96	именно так и	1	1
