N	3gram	Tiupa_Disk_1	Dialekti
1	по крайней мере	2	9
2	с точки зрения	1	8
3	в том что	13	6
4	и не только	2	5
5	одно и то	1	4
6	и то же	1	4
7	в связи с	1	4
8	только то что	1	4
9	то же время	4	4
10	о том что	5	4
11	с другой стороны	3	4
12	и может быть	1	3
13	в таком случае	1	3
14	сами по себе	2	3
15	как будто бы	1	3
16	в то же	3	3
17	сам по себе	1	3
18	содержит в себе	1	3
19	по себе не	2	3
20	не может быть	3	3
21	можно сказать что	2	3
22	может быть в	1	3
23	более или менее	2	2
24	до сих пор	1	2
25	в силу своей	2	2
26	говоря уже о	2	2
27	как и все	1	2
28	в тех или	1	2
29	в данном случае	2	2
30	не только в	2	2
31	тем не менее	1	2
32	во всяком случае	1	2
33	с самого начала	1	2
34	времени и пространства	1	2
35	и прежде всего	1	2
36	то же самое	2	2
37	не говоря уже	2	2
38	том что в	2	1
39	только потому что	1	1
40	не только о	1	1
41	большей или меньшей	2	1
42	на самом деле	1	1
43	имея в виду	1	1
44	и даже не	1	1
45	подобно тому как	2	1
46	в этом смысле	1	1
47	в том и	1	1
48	о том как	1	1
49	одной стороны и	2	1
50	в этом пункте	1	1
51	не было и	1	1
52	и не может	1	1
53	и в то	1	1
54	в этом отношении	1	1
55	что не только	1	1
56	не могу не	1	1
57	не может избежать	1	1
58	не есть она	1	1
59	вместе с тем	1	1
60	есть она сама	1	1
61	ту или иную	1	1
62	что не есть	1	1
63	не в том	3	1
64	не только его	1	1
65	она еще не	1	1
66	с одной стороны	9	1
67	в одно и	1	1
68	но при этом	3	1
69	как и вообще	1	1
70	том и в	1	1
71	и в том	1	1
72	а не только	2	1
73	в свое время	1	1
74	именно в том	1	1
75	не только потому	1	1
76	того или иного	1	1
77	и как бы	3	1
78	заключается в том	1	1
79	сказать и о	2	1
80	это и есть	1	1
81	должны быть еще	1	1
82	на этом основании	1	1
83	той или иной	3	1
84	речь идет о	1	1
85	но все же	1	1
86	несмотря на все	1	1
87	прежде всего это	1	1
88	может и не	1	1
89	в другом случае	1	1
90	то что они	1	1
91	дело не в	1	1
92	по своей собственной	1	1
93	том что он	1	1
94	к тому же	4	1
95	и в другом	1	1
