N	4gram	Bakhtin_Pr_1	FransuaR
1	в то же время	3	9
2	но в то же	1	5
3	дело в том что	1	2
4	и с точки зрения	1	2
5	которой можно было бы	1	2
6	в нем не только	1	1
7	и в то же	2	1
8	на самом же деле	1	1
9	в следующей главе посвященной	1	1
10	не что иное как	1	1
11	то же время она	1	1
12	подлежит конечно никакому сомнению	1	1
13	ни в коем случае	2	1
14	не подлежит конечно никакому	1	1
15	между тем как в	2	1
16	в его целом в	1	1
17	а также и в	1	1
18	есть не что иное	1	1
19	по отношению к которому	1	1
