N	2gram	Bakhtin_Fr_7	BTomashe
1	у нас	1	3
2	и не	7	2
3	все это	10	2
4	в ней	5	2
5	можно было	3	2
6	более что	1	1
7	за пределы	1	1
8	тем более	1	1
9	об этом	1	1
10	и в	41	1
11	и о	1	1
12	в речи	1	1
13	выходит за	1	1
14	что все	2	1
15	говорить не	1	1
16	в своей	3	1
17	на самом	2	1
18	на которой	2	1
19	и нет	1	1
20	было бы	4	1
21	все же	1	1
22	всяком случае	1	1
23	кроме того	3	1
24	между ними	1	1
25	меньше чем	1	1
26	еще не	2	1
27	и на	4	1
28	одной из	2	1
29	должна быть	1	1
30	в значительной	2	1
31	нет но	1	1
32	прежде всего	11	1
33	в данном	2	1
34	и во	2	1
35	так и	10	1
36	не было	3	1
37	его не	1	1
38	далеко не	2	1
39	всего в	5	1
40	до конца	2	1
41	а не	2	1
42	что в	9	1
43	в области	2	1
44	также не	1	1
45	и ее	2	1
46	чем на	1	1
47	таким образом	19	1
48	и потому	3	1
49	не только	5	1
50	значительной степени	2	1
51	во всяком	2	1
52	в эпоху	7	1
