N	2gram	Losev_Vesc_1	Analitik
1	тогда как	1	19
2	в этом	4	18
3	и в	21	16
4	в частности	1	16
5	не только	36	16
6	так и	3	15
7	как и	8	14
8	и не	29	12
9	в том	8	12
10	но и	18	12
11	том что	8	12
12	в качестве	1	11
13	при этом	1	10
14	могут быть	1	10
15	а не	19	10
16	как бы	12	10
17	и даже	6	9
18	ничего не	3	9
19	в этой	3	9
20	в пределах	1	9
21	не случайно	2	8
22	отнюдь не	5	8
23	в данном	5	8
24	в себе	14	7
25	то что	27	7
26	к тому	3	7
27	о том	6	7
28	а также	1	7
29	говорить о	6	6
30	как это	2	6
31	в самом	9	6
32	но в	5	6
33	может быть	16	6
34	с другой	6	6
35	данном случае	2	5
36	говорит о	1	5
37	и к	1	5
38	с одной	3	5
39	на себя	1	5
40	но не	5	4
41	можно сказать	6	4
42	того же	5	4
43	не может	17	4
44	в один	1	4
45	не менее	3	4
46	все это	5	4
47	точки зрения	5	4
48	как раз	9	4
49	в аспекте	1	4
50	не в	5	4
51	тем самым	1	4
52	не так	1	4
53	в конце	2	4
54	во всех	2	4
55	для него	4	4
56	в себя	13	4
57	не с	7	4
58	то же	6	4
59	между двумя	1	4
60	и его	2	4
61	в сущности	4	4
62	тому же	1	4
63	хотя и	4	4
64	только в	14	4
65	уже не	9	4
66	только не	2	4
67	и тем	3	4
68	у него	2	4
69	по преимуществу	2	4
70	на этом	2	4
71	одной стороны	3	4
72	в своем	6	4
73	его от	1	3
74	я в	2	3
75	со своим	7	3
76	как мы	4	3
77	бы в	5	3
78	или в	2	3
79	прежде всего	9	3
80	крайней мере	4	3
81	и все	5	3
82	есть в	1	3
83	приводит к	1	3
84	я и	6	3
85	так что	5	3
86	а в	4	3
87	в первой	2	3
88	сводится к	2	3
89	самом начале	1	3
90	той или	2	3
91	с самим	4	3
92	имеем дело	3	3
93	что на	2	3
94	ни о	1	3
95	как будто	1	3
96	содержит в	4	3
97	никогда не	2	3
98	тем что	2	3
99	тем не	3	3
100	не столько	1	3
101	едва ли	1	3
102	воли и	1	3
103	ему в	1	3
104	со стороны	5	3
105	по поводу	1	3
106	если бы	5	3
107	по крайней	4	3
108	именно в	1	3
109	того или	1	3
110	этом отношении	1	3
111	что и	3	3
112	не мог	1	3
113	и если	2	3
114	в результате	3	3
115	в действительности	7	3
116	несмотря на	1	3
117	подобно тому	4	3
118	мы имеем	7	3
119	и то	10	3
120	было бы	14	3
121	одного из	1	3
122	только на	3	3
123	тому как	4	3
124	или иной	1	3
125	из них	4	3
126	можно было	2	3
127	с ними	3	3
128	по природе	1	2
129	что все	2	2
130	для всех	1	2
131	может ли	2	2
132	еще не	8	2
133	на лице	1	2
134	на то	4	2
135	в двух	1	2
136	так же	1	2
137	и для	9	2
