N	3gram	Tiupa_Anal_2	Tragedij
1	то же время	2	5
2	в то же	2	5
3	в отличие от	2	2
4	точно так же	1	2
5	в данном случае	5	2
6	о том что	6	2
7	и в самом	2	2
8	в том что	6	2
9	и стал смотреть	2	1
10	в этом случае	4	1
11	а между тем	1	1
12	не так ли	1	1
13	и сам автор	1	1
14	в обоих случаях	2	1
15	это было в	1	1
16	и что же?	1	1
17	в этой борьбе	1	1
18	хотя бы и	1	1
19	он вообще не	1	1
20	он тот кто	1	1
21	но и на	1	1
22	в третий раз	1	1
23	и то что	2	1
24	в эпизоде гибели	1	1
25	вместе с ними	1	1
26	бы и в	1	1
27	говорит о его	1	1
28	в этой связи	1	1
29	в применении к	1	1
30	еще ничего не	1	1
31	и в этом	4	1
32	тем не менее	3	1
33	по природе своей	2	1
34	в связи с	1	1
35	что при таком	1	1
36	не может быть	1	1
37	уже не к	1	1
38	отнюдь не является	1	1
39	который в своей	1	1
40	не только не	2	1
41	в самом деле	1	1
42	на всем протяжении	1	1
43	к тому что	1	1
44	как и в	3	1
