N	3gram	Tiupa_Disk_1	StatiiOP
1	в том что	13	16
2	о том что	5	11
3	в этом отношении	1	9
4	том что он	1	5
5	до сих пор	1	5
6	вместе с тем	1	5
7	дело в том	1	4
8	что он не	1	4
9	обратить внимание на	2	4
10	с другой стороны	3	3
11	во всяком случае	1	3
12	с самого начала	1	3
13	речь идет о	1	3
14	том что в	2	2
15	только потому что	1	2
16	не только по	1	2
17	в одной из	2	2
18	с точки зрения	1	2
19	сами по себе	2	2
20	в отличие от	4	2
21	в значительной степени	2	2
22	не в том	3	2
23	более или менее	2	2
24	так и в	1	2
25	но все же	1	2
26	на то что	1	2
27	тем не менее	1	2
28	к тому же	4	2
29	точка зрения на	1	1
30	одним и тем	1	1
31	не говоря уже	2	1
32	на самом деле	1	1
33	в котором он	1	1
34	в этом смысле	1	1
35	внимание на то	1	1
36	что же касается	2	1
37	и тому же	1	1
38	он не может	1	1
39	сам по себе	1	1
40	не приходится удивляться	2	1
41	в первую очередь	1	1
42	говоря уже о	2	1
43	и в другом	1	1
44	говорит о том	1	1
45	это делает вполне	1	1
46	одно и то	1	1
47	не могло быть	1	1
48	для своего времени	1	1
49	в данном случае	2	1
50	и тем же	1	1
51	и то же	1	1
52	в известном смысле	1	1
53	в этом жанре	1	1
54	одним из наиболее	1	1
55	как и вообще	1	1
56	но и вся	1	1
57	одни и те	1	1
58	в связи с	1	1
59	и в том	1	1
60	прежде всего к	1	1
61	в свое время	1	1
62	по отношению к	9	1
63	то же время	4	1
64	значение в истории	1	1
65	не могли быть	1	1
66	по мнению автора	1	1
67	заключается в том	1	1
68	в том чтобы	2	1
69	имея в виду	1	1
70	в свою очередь	3	1
71	в этом случае	1	1
72	на этом основании	1	1
73	следует обратить внимание	1	1
74	и в особенности	2	1
75	именно в той	1	1
76	в данном отношении	1	1
77	и те же	1	1
78	в то же	3	1
79	в том числе	2	1
80	дело не в	1	1
81	одному и тому	1	1
82	как мы видели	1	1
