N	2gram	Losev_Vlad_2	Stilisti
1	и в	30	42
2	не только	12	27
3	как бы	5	27
4	прежде всего	6	22
5	хотя бы	3	17
6	то же	4	15
7	но и	8	15
8	и не	18	14
9	не может	9	12
10	может быть	7	12
11	мы уже	2	11
12	как и	5	11
13	точки зрения	7	11
14	в этом	20	10
15	и как	3	10
16	как мы	11	10
17	мы должны	4	10
18	что мы	1	10
19	мы не	2	9
20	при этом	5	9
21	в то	9	9
22	для того	2	9
23	то что	20	9
24	в ней	4	8
25	все же	9	8
26	в себе	6	8
27	таким образом	3	8
28	и это	3	8
29	с тем	2	8
30	эти слова	1	8
31	что же	8	8
32	и на	4	7
33	в которой	4	7
34	было бы	9	7
35	и тем	1	7
36	так как	5	7
37	никогда не	7	7
38	же время	3	7
39	потому что	9	7
40	того чтобы	2	7
41	ничего не	2	7
42	с его	4	7
43	только в	6	7
44	и его	6	7
45	а не	7	7
46	и от	2	7
47	во всех	3	6
48	мы будем	3	6
49	в этой	4	6
50	на его	4	6
51	в нем	4	6
52	не в	9	6
53	или как	2	6
54	в области	3	6
55	когда мы	3	6
56	так и	5	6
57	другими словами	5	6
58	язык и	1	6
59	в конце	13	6
60	в свою	3	6
61	той же	4	5
62	уже в	3	5
63	в нашем	1	5
64	в той	2	5
65	независимо от	1	5
66	и наконец	4	5
67	и с	14	5
68	мы видели	2	5
69	с точки	3	5
70	в сознании	1	5
71	а в	11	5
72	те же	3	5
73	в его	11	5
74	и является	1	5
75	и их	1	5
76	вместе с	8	5
77	как это	7	5
78	своей жизни	3	5
79	у которого	2	5
80	если б	1	4
81	и то	5	4
82	самом деле	1	4
83	себя в	2	4
84	что именно	1	4
85	и к	6	4
86	но в	8	4
87	в самом	2	4
88	что это	4	4
89	так сказать	1	4
90	уже не	3	4
91	всех своих	1	4
92	можно было	2	4
93	его в	4	4
94	не забудем	1	4
95	и без	1	4
96	самого начала	1	4
97	на него	1	4
98	у нас	6	4
99	но все	2	4
100	к тому	2	4
101	свою очередь	2	4
102	с самого	1	4
103	если бы	1	4
104	о том	4	4
105	влияние на	1	4
106	можно сказать	4	4
107	которой мы	2	4
108	того что	5	4
109	мы увидим	1	4
110	в качестве	1	4
111	если мы	1	4
112	точка зрения	1	4
113	само собой	3	4
114	о своей	1	4
115	не просто	1	4
116	то есть	7	4
117	к своему	1	4
118	не что	1	4
119	все это	5	4
120	так же	4	4
121	отношения к	3	3
122	еще не	1	3
123	то он	1	3
124	нет и	1	3
125	перед нами	1	3
126	хотя и	6	3
127	та же	1	3
128	выражение в	1	3
129	если он	1	3
130	не к	1	3
131	и вот	3	3
132	их в	2	3
133	будем говорить	2	3
134	здесь мы	3	3
135	не будет	1	3
136	об этом	6	3
137	связанных с	1	3
138	лишь в	1	3
139	это не	2	3
140	ведь в	1	3
141	не мог	8	3
142	том что	12	3
143	что такое	1	3
144	бы мы	1	3
145	связи с	8	3
146	в будущем	2	3
147	да и	3	3
148	в виду	2	3
149	во второй	2	3
150	и здесь	1	3
151	не имеем	1	3
152	жизни и	6	3
153	конечно не	4	3
154	только на	1	3
155	в данной	1	3
156	из них	1	3
157	его и	2	3
158	не так	1	3
159	в котором	5	3
160	в одном	1	3
161	содержание и	1	3
162	но что	5	3
163	от того	1	3
164	что и	3	3
165	и даже	10	3
166	конце концов	3	3
167	забудем что	1	3
168	если не	2	3
169	ни на	1	3
170	в тех	1	3
171	этом случае	1	3
