N	2gram	Potebnia_M_1	Russkaja
1	не может	22	22
2	и не	18	19
3	в том	26	17
4	в этом	15	17
5	и в	39	14
6	то что	10	13
7	то же	6	11
8	точки зрения	8	11
9	таким образом	13	11
10	в то	4	10
11	же время	4	10
12	но и	20	10
13	в себе	13	9
14	не только	21	9
15	том что	16	9
16	с точки	3	9
17	может быть	27	9
18	во всяком	3	9
19	того чтобы	2	8
20	прежде всего	4	8
21	как на	3	8
22	самом деле	1	7
23	и если	2	7
24	и с	3	7
25	в данном	1	7
26	к тому	4	7
27	не будет	2	7
28	стремление к	2	7
29	о том	2	7
30	самого себя	4	7
31	мы должны	3	7
32	если в	1	6
33	в своем	3	6
34	с тем	5	6
35	в своих	4	6
36	и при	3	6
37	признать что	1	6
38	если бы	14	6
39	все это	1	6
40	и для	5	6
41	для того	3	6
42	что он	1	6
43	всяком случае	1	6
44	для всех	5	6
45	для него	4	6
46	на самом	1	6
47	а между	3	5
48	вопрос о	4	5
49	и на	1	5
50	во всех	5	5
51	на то	2	5
52	в нем	20	5
53	при этом	6	5
54	он не	3	5
55	он должен	2	5
56	было бы	12	5
57	в своей	3	5
58	никогда не	4	5
59	потому что	52	5
60	между тем	5	5
61	а потому	10	5
62	и только	2	5
63	только в	25	5
64	хотя бы	2	5
65	до сих	1	5
66	себя и	1	5
67	сих пор	1	5
68	а в	5	5
69	и то	3	4
70	бы то	2	4
71	но не	8	4
72	себе и	1	4
73	себя в	1	4
74	все же	6	4
75	более или	1	4
76	не в	15	4
77	в этой	3	4
78	то ни	3	4
79	его в	1	4
80	как и	9	4
81	или менее	1	4
82	в их	2	4
83	тогда когда	9	4
84	во всем	4	4
85	от того	4	4
86	не могут	4	4
87	приводит к	1	4
88	в мире	3	4
89	можно было	1	4
90	в его	5	4
91	так как	21	4
92	со стороны	8	4
93	вместе с	8	4
94	что же	2	4
95	как бы	6	4
96	отказаться от	1	4
97	жизни и	2	4
98	что в	22	4
99	к этой	3	4
100	все что	2	4
101	вряд ли	1	3
102	и т	6	3
103	то в	5	3
104	и этот	1	3
105	еще не	6	3
106	из этих	4	3
107	что они	1	3
108	во что	1	3
109	в самом	3	3
110	что это	3	3
111	ни одна	2	3
112	на том	1	3
113	и по	6	3
114	в другом	1	3
115	лишь в	1	3
116	для них	2	3
117	о которых	2	3
118	несмотря на	5	3
119	должно быть	7	3
120	но если	2	3
121	таким же	2	3
122	связи с	3	3
123	в сознании	3	3
124	то это	5	3
125	точке зрения	2	3
126	что оно	2	3
127	что все	3	3
128	ни стало	1	3
129	может только	1	3
130	для этого	2	3
131	при котором	2	3
132	в вопросах	1	3
133	и во	3	3
134	что и	6	3
135	а следовательно	1	3
136	что бы	2	3
137	того что	8	3
138	с нею	4	3
139	в виде	1	3
140	из них	1	3
141	друг друга	5	3
142	тем что	9	3
143	именно в	1	3
144	только к	1	3
145	что для	3	3
146	не было	4	3
147	ко всем	2	3
148	и потому	5	3
149	да и	1	3
150	она может	3	3
151	или в	2	3
152	о котором	3	3
153	и как	6	3
154	все они	2	3
155	не есть	10	3
156	из этого	2	3
157	от этой	1	2
158	говоря о	1	2
159	бы для	1	2
160	и есть	2	2
161	от своей	1	2
162	должна быть	3	2
163	видеть в	2	2
164	на себя	1	2
165	в ней	7	2
166	в таком	5	2
167	смотрят на	1	2
168	по отношению	13	2
169	тогда как	2	2
170	друг от	2	2
171	сама по	3	2
172	с этим	7	2
173	помнить что	3	2
174	но в	9	2
175	не можем	2	2
176	а во-вторых	1	2
177	все эти	1	2
178	нельзя считать	1	2
179	что ничего	1	2
180	во многих	2	2
181	касается до	1	2
182	того или	1	2
183	всех народов	1	2
184	в глазах	3	2
185	по себе	10	2
186	и тем	3	2
187	такое соединение	1	2
188	же образом	1	2
189	на основании	2	2
190	нисколько не	2	2
191	народа и	2	2
192	в этих	7	2
193	во время	1	2
194	что такое	1	2
195	могут не	2	2
196	в котором	1	2
197	друг другу	3	2
198	и более	2	2
199	их в	1	2
200	том и	2	2
201	том же	2	2
202	для нее	2	2
203	тому что	3	2
204	она не	3	2
205	только для	3	2
206	в таких	2	2
207	что с	1	2
208	принадлежат к	1	2
209	для нас	9	2
210	у него	1	2
211	следовательно и	2	2
212	на которой	1	2
213	как будто	2	2
214	в области	1	2
215	свое собственное	1	2
216	деятельности и	5	2
217	всю свою	1	2
218	на такую	1	2
219	указывает на	1	2
220	если же	5	2
221	для себя	3	2
222	и о	2	2
223	от друга	2	2
224	если они	1	2
225	и деятельности	1	2
226	и должно	2	2
227	и что	10	2
228	это потому	1	2
229	были бы	3	2
230	от него	4	2
231	к нему	1	2
232	время когда	1	2
233	этот вопрос	2	2
234	совершенно не	1	2
235	проявляется в	2	2
236	бы ни	4	2
237	их не	1	2
238	по этому	2	2
239	так что	16	2
240	уже не	2	2
241	на такой	1	2
242	только на	3	2
243	в начале	2	2
244	но совершенно	2	2
245	не так	3	2
246	представить себе	3	2
247	ни в	1	2
248	чтобы она	1	2
249	мы можем	2	2
250	и вместе	2	2
251	в других	2	2
252	даже и	2	2
253	и даже	4	2
254	будет ли	1	2
255	зависит от	5	2
256	а не	21	2
257	так же	5	2
258	их к	2	2
259	ни от	1	2
260	в течение	2	2
261	отношения к	1	2
262	но это	5	2
263	от нас	2	2
264	но для	1	2
265	остается в	1	2
266	если не	2	2
267	и от	3	2
268	не подлежит	1	2
269	в результате	1	2
270	не должен	1	2
271	с ним	3	2
272	на это	1	2
273	тем самым	4	2
274	точно так	11	2
275	не должны	1	1
276	и всякому	1	1
277	должен быть	1	1
278	того же	3	1
279	связи между	2	1
280	но тогда	2	1
281	он может	1	1
282	силы и	1	1
283	на деле	4	1
284	показать что	1	1
285	смотрит на	3	1
286	первое время	1	1
287	что эти	1	1
288	противном случае	3	1
289	с таким	1	1
290	в зависимости	1	1
291	их и	2	1
292	есть не	2	1
293	должны верить	1	1
294	мы не	10	1
295	же как	1	1
296	он считает	1	1
297	не во	1	1
298	изменений в	1	1
299	же то	2	1
300	до такой	1	1
301	великое дело	1	1
302	имеет свою	1	1
303	на эти	1	1
304	не была	1	1
305	из представителей	2	1
306	в сущности	2	1
307	всегда быть	1	1
308	в полной	1	1
309	сил если	1	1
310	они были	1	1
311	которое в	1	1
312	формы в	1	1
313	все виды	1	1
314	чем больше	1	1
315	а другие	1	1
316	столько же	3	1
317	в создании	3	1
318	на них	1	1
319	столь же	3	1
320	что его	1	1
321	имеют между	1	1
322	и вопрос	2	1
323	ее к	1	1
324	к этому	1	1
325	но как	3	1
326	а только	4	1
327	на народ	1	1
328	значение и	2	1
329	только тогда	5	1
330	есть по	1	1
331	должны были	1	1
332	очевидно что	3	1
333	человек может	1	1
334	которые не	2	1
335	в истории	7	1
336	что во	2	1
337	в одной	1	1
338	каждая из	1	1
339	по которому	1	1
340	есть цель	1	1
341	что первое	1	1
342	что касается	1	1
343	в противном	3	1
344	перед нами	1	1
345	может совершиться	1	1
346	в полном	2	1
347	есть столько	2	1
348	когда он	1	1
349	что по	3	1
350	с понятием	2	1
351	себе на	1	1
352	протестом против	1	1
353	он на	1	1
354	этой цели	2	1
355	и стремления	4	1
356	от этого	1	1
357	еще на	1	1
358	каждый народ	1	1
359	в которой	2	1
360	себя к	1	1
361	бы не	6	1
362	сущности и	1	1
363	в гармонически	1	1
364	что так	1	1
365	что к	2	1
366	то и	7	1
367	им в	1	1
368	если он	1	1
369	но на	2	1
370	говоря только	1	1
371	вследствие этого	1	1
372	на его	1	1
373	как оно	1	1
374	не могла	2	1
375	не следует	5	1
376	что когда	1	1
377	смотреть как	1	1
378	тем не	6	1
379	представляются в	1	1
380	от которого	1	1
381	результаты этой	1	1
382	есть дело	2	1
383	к одному	2	1
384	ему лично	1	1
385	народов которые	1	1
386	но дело	2	1
387	так например	3	1
388	заключает в	2	1
389	но все	2	1
390	значительной степени	2	1
391	могла бы	2	1
392	тем же	2	1
