N	2gram	Savitsky_P_1	Sovremen
1	не может	4	17
2	может быть	5	12
3	точки зрения	3	12
4	мы не	3	9
5	в каждом	1	8
6	в этом	10	7
7	и в	14	7
8	мы можем	1	6
9	как и	1	6
10	и не	12	6
11	в результате	1	6
12	прежде всего	3	5
13	с точки	3	5
14	в условиях	1	5
15	в стадии	1	5
16	вопрос о	1	4
17	мы должны	4	4
18	в том	9	4
19	если мы	1	4
20	из них	2	4
21	не только	17	4
22	в развитии	1	4
23	как бы	4	4
24	вместе с	1	4
25	это не	3	4
26	а в	4	4
27	на две	1	3
28	то же	9	3
29	ясно что	1	3
30	может не	1	3
31	отнюдь не	2	3
32	все же	1	3
33	еще не	1	3
34	но в	9	3
35	у каждого	1	3
36	в этой	1	3
37	в себе	3	3
38	уже в	1	3
39	в наших	1	3
40	в нем	3	3
41	из двух	1	3
42	на этой	1	3
43	и мы	2	3
44	было бы	6	3
45	а не	2	3
46	и потому	4	3
47	не в	5	3
48	все это	2	3
49	одна из	2	3
50	для нас	2	3
51	и к	4	3
52	к действию	1	3
53	в области	11	3
54	как известно	1	2
55	и есть	2	2
56	тем же	1	2
57	в и	1	2
58	говорить о	2	2
59	настоящее время	1	2
60	и что	1	2
61	в которую	2	2
62	говорить об	1	2
63	в его	2	2
64	с этим	2	2
65	только один	1	2
66	в самом	1	2
67	к чему	2	2
68	в которой	1	2
69	не будем	2	2
70	что это	1	2
71	из этих	1	2
72	тот или	1	2
73	с одной	3	2
74	с другом	1	2
75	в виде	2	2
76	мы знаем	1	2
77	всяком случае	1	2
78	и по	1	2
79	отличие от	1	2
80	что все	1	2
81	или иной	1	2
82	развития в	1	2
83	в живом	1	2
84	и пр	5	2
85	в отличие	1	2
86	знаем что	1	2
87	друг с	1	2
88	не менее	2	2
89	и именно	1	2
90	она может	1	2
91	в настоящее	1	2
92	этих двух	1	2
93	еще более	2	2
94	мы видим	1	2
95	тот же	3	2
96	могут быть	3	2
97	что при	1	2
98	что в	4	2
99	во всяком	1	2
100	должен быть	1	1
101	и это	2	1
102	можно говорить	1	1
103	его строить	1	1
104	с ее	1	1
105	мире можно	1	1
106	по преимуществу	1	1
107	пример такого	1	1
108	в мире	2	1
109	те же	1	1
110	из всех	1	1
111	есть не	2	1
112	осуществляется в	2	1
113	и само	1	1
114	же как	1	1
115	еще в	1	1
116	когда в	1	1
117	что уже	1	1
118	если бы	4	1
119	два направления	1	1
120	почва под	1	1
121	к началу	2	1
122	подчеркнуть что	1	1
123	в ней	6	1
124	она всегда	1	1
125	же время	7	1
126	что его	1	1
127	его в	1	1
128	с его	1	1
129	во всех	2	1
130	науке и	1	1
131	различия между	1	1
132	но не	3	1
133	но как	1	1
134	если в	2	1
135	под ногами	1	1
136	более как	1	1
137	во всей	2	1
138	которая и	1	1
139	стороны и	2	1
140	известном смысле	1	1
141	и критика	1	1
142	только в	7	1
143	может оказаться	1	1
144	в известном	1	1
145	всего мы	1	1
146	промежуток времени	1	1
147	мира но	1	1
148	xviii и	1	1
149	в большинстве	1	1
150	только на	1	1
151	в начале	2	1
152	и если	4	1
153	и еще	1	1
154	сами по	3	1
155	для них	2	1
156	какой бы	1	1
157	заключает в	2	1
158	поскольку она	1	1
159	не хотим	1	1
160	и только	1	1
161	а затем	1	1
162	одной стороны	3	1
163	и некоторой	1	1
164	с другой	5	1
165	может ли	2	1
166	именно в	2	1
167	этом смысле	1	1
168	бы эти	1	1
169	весь мир	1	1
170	в природе	1	1
171	в ином	1	1
172	только к	1	1
173	не было	2	1
174	и вся	1	1
175	бы ее	1	1
176	должно быть	2	1
177	том что	4	1
178	в эту	2	1
179	и при	1	1
180	работы в	1	1
181	выработанные в	1	1
182	так же	1	1
183	и особенно	1	1
184	что дело	1	1
185	xix века	6	1
186	в данном	1	1
187	когда и	1	1
188	образом на	2	1
189	и более	1	1
190	там где	1	1
191	по себе	4	1
192	xix в	1	1
193	в своем	4	1
194	в древней	1	1
195	дело идет	1	1
196	xviii века	1	1
197	что эта	1	1
198	она не	1	1
199	что с	1	1
200	но для	1	1
201	для каждого	1	1
202	не имеет	1	1
203	с и	1	1
204	никогда не	1	1
205	и всегда	1	1
206	хотя и	3	1
207	с двух	1	1
208	не более	1	1
209	и первое	1	1
210	же в	4	1
211	этой области	1	1
212	всеми его	1	1
213	в о	7	1
214	которой расположены	1	1
215	происходящего в	1	1
216	в то	7	1
217	единства в	1	1
218	в какой	1	1
219	два основных	1	1
220	они не	1	1
