N	3gram	Propp_Isto_2	Stilisti
1	в зависимости от	1	7
2	и то же	1	4
3	с самого начала	2	4
4	на самом деле	2	3
5	в этом случае	5	3
6	но и в	2	3
7	не только в	4	3
8	мы уже видели	3	3
9	но все же	4	3
10	но об этом	1	2
11	и той же	1	2
12	тех случаях когда	1	2
13	и не только	1	2
14	вместе с тем	5	2
15	эти слова в	1	2
16	как мы увидим	1	2
17	смысле этого слова	1	2
18	не может быть	2	2
19	в тех случаях	1	2
20	есть не что	1	2
21	не что иное	2	2
22	связи с этим	1	2
23	о том что	2	2
24	что иное как	2	2
25	в связи с	4	2
26	мы видим что	5	2
27	одной и той	1	2
28	мы видели что	1	2
29	не обладает но	1	1
30	в другом месте	2	1
31	до наших дней	1	1
32	как только мы	1	1
33	по отношению к	3	1
34	так как в	2	1
35	для наших целей	2	1
36	в ладоши и	1	1
37	если его не	1	1
38	должен был бы	1	1
39	только одна сторона	1	1
40	до сих пор	6	1
41	воздействия на природу	1	1
42	от социального положения	1	1
43	в этом отрывке	1	1
44	и не мог	1	1
45	что в одном	1	1
46	племени и в	1	1
47	можно было бы	3	1
48	и здесь мы	1	1
49	хотя бы на	1	1
50	и не могут	1	1
51	тем не менее	1	1
52	иметь в виду	2	1
53	но вместе с	1	1
54	в виду что	1	1
55	уже видели что	2	1
56	это только одна	1	1
57	когда мы увидим	1	1
58	был связан с	1	1
59	на вопрос о	1	1
60	роль и в	1	1
61	и кроме того	1	1
62	бросается в глаза	1	1
63	мы не можем	1	1
64	таким образом мы	1	1
65	мы увидим ниже	4	1
66	не только не	1	1
67	не только на	1	1
68	мы должны поставить	1	1
69	мы имеем в	5	1
70	с другой стороны	2	1
71	но все эти	1	1
72	это как бы	1	1
73	происходит потому что	1	1
74	мы уже знаем	3	1
75	в том что	5	1
76	что при этом	1	1
77	мы увидим что	3	1
78	это происходит потому	1	1
