N	3gram	Tiupa_Hudo_1	Problemy
1	к себе самому	2	13
2	то же время	8	10
3	в то же	8	10
4	на самом деле	1	9
5	с самого начала	1	8
6	по отношению к	8	6
7	себе самому и	1	5
8	мы уже говорили	1	5
9	самому и к	1	4
10	но в то	3	4
11	во всяком случае	1	4
12	друг с другом	1	4
13	а между тем	1	3
14	в этом смысле	1	3
15	и в самом	3	3
16	же время не	1	3
17	с другим и	1	3
18	в высшей степени	1	3
19	в конце концов	1	3
20	не может быть	2	3
21	и к другому	1	3
22	то что я	1	2
23	с точки зрения	3	2
24	как и все	1	2
25	в сущности в	1	2
26	и в то	1	2
27	в отличие от	1	2
28	к тому чтобы	1	2
29	можно было бы	4	2
30	того что он	1	2
31	и в этом	1	2
32	в такой же	2	2
33	перед его глазами	1	2
34	и та же	1	2
35	одна и та	1	2
36	так и в	1	2
37	но все же	1	2
38	в том что	6	2
39	одних и тех	1	1
40	в чем не	1	1
41	от него на	1	1
42	в самом деле	4	1
43	а не о	1	1
44	в том и	1	1
45	том что он	1	1
46	сих пор еще	1	1
47	что же касается	2	1
48	и по отношению	1	1
49	самом деле не	1	1
50	до сих пор	2	1
51	для себя и	1	1
52	что он не	2	1
53	которой он сам	1	1
54	и себе самому	1	1
55	в другом и	1	1
56	о нем но	1	1
57	за то что	1	1
58	заключает в себе	1	1
59	не укладывается в	1	1
60	и тех же	1	1
61	к тому что	4	1
62	и лицо у	1	1
63	о том как	2	1
64	в значительной степени	2	1
65	в данном случае	1	1
66	в центре художественного	1	1
67	что в центре	1	1
68	это в высшей	1	1
69	как будто бы	1	1
70	каждый из них	1	1
71	не только для	1	1
72	к одному из	1	1
73	в этот момент	1	1
74	отношению к другому	1	1
75	диалог в сущности	1	1
76	в нем не	1	1
77	и из нее	1	1
78	прежде всего в	1	1
79	как впрочем и	1	1
80	с оглядкой и	1	1
81	в свое время	1	1
82	это еще не	1	1
83	между этими двумя	1	1
84	чем иным как	1	1
85	как и в	3	1
86	в свою очередь	1	1
87	о том что	9	1
88	но и для	1	1
89	не чем иным	1	1
90	никогда не бывает	1	1
91	не только не	1	1
92	как нам кажется	1	1
93	но в этом	1	1
94	задает себе сам	1	1
95	ни в чем	1	1
96	которая может быть	1	1
97	но именно поэтому	1	1
98	друг от друга	1	1
99	не о нем	1	1
100	тем не менее	3	1
101	как бы в	1	1
102	а они все	1	1
103	себя за голову	1	1
104	и как будто	1	1
105	друг для друга	3	1
106	для него в	1	1
107	то же самое	1	1
108	в этом отношении	3	1
