N	3gram	Vinokur_Vv_1	Tragedij
1	то же время	5	5
2	в то же	5	5
3	в отличие от	3	2
4	и в дальнейшем	1	2
5	точно так же	2	2
6	в данном случае	4	2
7	но в то	3	2
8	о том что	12	2
9	и в самом	3	2
10	но все же	3	2
11	в том что	12	2
12	в этом случае	6	1
13	а между тем	1	1
14	сохраняет свое значение	1	1
15	в обоих случаях	1	1
16	не только по	1	1
17	не только о	1	1
18	не вполне ясно	1	1
19	хотя бы и	2	1
20	сам по себе	1	1
21	романа достоевского в	1	1
22	и то что	2	1
23	объясняется и то	1	1
24	и т п	5	1
25	но если он	1	1
26	может быть не	1	1
27	в известной мере	2	1
28	это может быть	1	1
29	в применении к	6	1
30	во всяком случае	3	1
31	в конце концов	2	1
32	смысле этого слова	2	1
33	в чем же	3	1
34	в общем смысле	1	1
35	и в этом	3	1
36	по сравнению с	3	1
37	тем не менее	8	1
38	не могут быть	2	1
39	бы и не	1	1
40	в связи с	2	1
41	не может быть	8	1
42	уже не к	1	1
43	на вопрос о	4	1
44	то вряд ли	1	1
45	в точности соответствует	1	1
46	что в ней	1	1
47	с самого начала	1	1
48	вряд ли есть	1	1
49	в самом деле	5	1
50	как своего рода	1	1
51	именно в связи	1	1
52	после того как	2	1
53	к тому что	1	1
54	это не просто	1	1
55	может быть в	2	1
