N	3gram	Berdyaev_N_1	Psycholo
1	в том что	1	14
2	с одной стороны	2	12
3	что в этом	1	6
4	в зависимости от	1	6
5	о том что	1	6
6	до сих пор	1	5
7	с другой стороны	2	5
8	заключает в себе	1	4
9	вместе с тем	2	3
10	то что он	1	3
11	можно было бы	1	3
12	и того же	1	2
13	одного и того	1	2
14	в отличие от	1	2
15	то что в	1	2
16	бы сказать что	1	2
17	так же как	2	2
18	сами по себе	1	2
19	в том чтобы	1	2
20	не только в	1	2
21	том и заключается	2	2
22	в том и	2	2
23	не может быть	4	2
24	вопрос о том	2	2
25	только потому что	1	1
26	того чтобы разобраться	1	1
27	равно как и	2	1
28	в употреблении слов	1	1
29	в этом смысле	2	1
30	же как и	1	1
31	всей нашей жизни	1	1
32	человека в самом	1	1
33	что в нем	2	1
34	и для того	1	1
35	и не в	1	1
36	в том случае	1	1
37	то время как	1	1
38	том смысле в	1	1
39	но она не	1	1
40	еще не было	1	1
41	как будто бы	1	1
42	не могут быть	1	1
43	могут быть отнесены	1	1
44	ни в чем	1	1
45	когда мы говорим	2	1
46	в нем нет	2	1
47	для того и	1	1
48	в то время	1	1
49	хотим сказать что	1	1
50	и заключается что	2	1
51	ни одна из	2	1
52	не хотим сказать	1	1
53	никогда еще не	1	1
54	быть отнесены к	1	1
55	чтобы разобраться в	1	1
56	в том смысле	1	1
