N	3gram	Tiupa_Disk_1	FransuaR
1	то же время	4	9
2	в то же	3	9
3	прежде всего в	1	4
4	в том числе	2	4
5	как мы видели	1	4
6	то есть в	2	4
7	в свою очередь	3	3
8	с точки зрения	1	3
9	так и в	1	3
10	в том что	13	3
11	дело в том	1	2
12	по отношению к	9	2
13	более или менее	2	2
14	о том как	1	2
15	в этом отношении	1	2
16	в большинстве случаев	1	2
17	том числе и	2	2
18	в значительной степени	2	2
19	как и в	1	2
20	это прежде всего	3	2
21	в свое время	1	2
22	по своей природе	2	1
23	и может быть	1	1
24	до наших дней	1	1
25	на самом деле	1	1
26	же время и	1	1
27	в том и	1	1
28	то же самое	2	1
29	из них в	1	1
30	в едином но	1	1
31	сам по себе	1	1
32	по аналогии с	1	1
33	так например в	1	1
34	литературы нового времени	1	1
35	тогда как в	5	1
36	здесь как и	1	1
37	содержит в себе	1	1
38	в данном случае	2	1
39	дело не с	1	1
40	не только в	2	1
41	же время они	1	1
42	и в литературу	1	1
43	еще не было	1	1
44	о том что	5	1
45	в том или	1	1
46	в связи с	1	1
47	людей своего времени	1	1
48	том и в	1	1
49	хотя и в	2	1
50	его точка зрения	1	1
51	можно определить как	2	1
52	и по своему	1	1
53	во всяком случае	1	1
54	как и все	1	1
55	это и есть	1	1
56	с самого начала	1	1
57	к тому же	4	1
58	и прежде всего	1	1
59	картина мира в	1	1
60	и иерархическое место	1	1
61	в этом смысле	1	1
62	в другом случае	1	1
63	в силу своей	2	1
64	и в том	1	1
65	свидетельствует о том	1	1
66	том или ином	1	1
67	приходит на смену	1	1
68	и в другом	1	1
