N	3gram	Vygotskiy__4	Otkroven
1	для того чтобы	5	3
2	не может быть	1	2
3	но и в	2	2
4	не могут быть	2	2
5	с тем что	3	2
6	сказать что они	1	2
7	смысле этого слова	7	1
8	по сравнению с	3	1
9	потому что в	1	1
10	прежде всего в	1	1
11	том что в	1	1
12	друг к другу	1	1
13	в самом деле	6	1
14	как бы в	1	1
15	это подтверждается всем	1	1
16	о том как	1	1
17	между этими двумя	2	1
18	во всяком случае	3	1
19	исключительно со стороны	1	1
20	том случае если	1	1
21	и остаются на	1	1
22	само по себе	1	1
23	после того как	1	1
24	о том что	3	1
25	в этом отношении	7	1
26	то что в	1	1
27	заключает в себе	1	1
28	в том что	31	1
29	на то что	4	1
30	в силе и	1	1
31	в самой природе	1	1
32	в том случае	1	1
33	и то что	4	1
34	видеть в том	1	1
35	друг с другом	7	1
36	говорит все время	1	1
37	вместо того чтобы	1	1
38	или лучше сказать	1	1
39	как и в	1	1
40	в противоречии с	1	1
