N	3gram	Bakhtin_Pr_3	KFilosof
1	по отношению к	1	21
2	не может быть	1	11
3	с точки зрения	2	10
4	в его целом	1	9
5	может быть только	1	6
6	по отношению ко	1	4
7	в нем и	1	3
8	в котором он	1	3
9	в этом смысле	1	3
10	в ее целом	1	3
11	то что я	1	2
12	но это уже	1	2
13	в соответствии с	2	2
14	бы он ни	1	2
15	на первом плане	1	2
16	он ни был	1	2
17	по своему внутреннему	1	2
18	один и тот	1	2
19	то же время	5	2
20	в целом и	1	2
21	той или иной	1	2
22	в то же	5	2
23	тем не менее	2	2
24	в том что	3	2
25	а не в	1	2
26	и тот же	1	2
27	и связанных с	1	1
28	нет и не	1	1
29	ровно ничего не	1	1
30	человек не как	1	1
31	равно как и	1	1
32	и может быть	1	1
33	конечно менее всего	1	1
34	в средние века	10	1
35	не подлежит сомнению	1	1
36	и во всех	3	1
37	в зависимости от	2	1
38	тем или иным	1	1
39	но не единственным	1	1
40	здесь на первом	1	1
41	и то что	1	1
42	может быть и	2	1
43	и в то	2	1
44	один миг не	1	1
45	ни на один	1	1
46	значит ли это	1	1
47	но в то	1	1
48	смысле этого слова	1	1
49	рождение и смерть	1	1
50	в себя и	1	1
51	как и на	1	1
52	с нашей точки	1	1
53	во всяком случае	1	1
54	мы не найдем	1	1
55	я не могу	1	1
56	в смысле совокупности	2	1
57	в нем нет	3	1
58	пространство и время	1	1
59	жизни и смерти	2	1
60	и тем самым	1	1
61	на один миг	1	1
62	со всеми своими	1	1
63	включает в себя	1	1
64	будем говорить в	1	1
65	нашей точки зрения	1	1
66	в мире где	1	1
67	в большинстве случаев	4	1
68	ли это что	1	1
69	и в нем	1	1
70	во всех его	1	1
71	этом смысле можно	1	1
72	то же самое	1	1
73	как бы он	1	1
74	времени и пространства	1	1
