N	2gram	Tiupa_Lite_2	VerxiiNi
1	и в	19	26
2	таким образом	1	22
3	с тем	2	18
4	в этом	9	15
5	русской культуры	1	15
6	вместе с	5	15
7	точки зрения	4	13
8	как бы	2	12
9	в том	10	11
10	не только	8	10
11	и с	3	10
12	может быть	17	10
13	связи с	1	9
14	в области	4	9
15	так как	3	9
16	но и	10	9
17	что в	4	9
18	но не	5	8
19	с другой	8	8
20	и не	11	8
21	как на	3	8
22	но в	2	7
23	из них	2	7
24	том что	7	7
25	потому что	2	7
26	с одной	7	7
27	то что	7	7
28	а с	1	7
29	одной стороны	6	7
30	того же	4	6
31	все же	2	6
32	все эти	1	6
33	в себе	6	6
34	с точки	3	6
35	в отношении	1	6
36	к тому	1	6
37	так и	7	6
38	и т.д	7	6
39	о том	2	6
40	в конце	2	6
41	что и	2	6
42	и потому	1	6
43	и к	2	5
44	тем чтобы	1	5
45	в мире	9	5
46	по крайней	2	5
47	не имеет	1	5
48	того чтобы	1	5
49	никогда не	3	5
50	для того	2	5
51	в его	4	5
52	крайней мере	2	5
53	а не	20	5
54	к жизни	2	5
55	и для	3	5
56	так же	1	5
57	одной из	2	5
58	том числе	2	5
59	то же	12	4
60	при жизни	1	4
61	в самом	1	4
62	в этой	3	4
63	и по	1	4
64	то есть	5	4
65	с другими	1	4
66	должен был	1	4
67	он не	5	4
68	далеко не	1	4
69	в то	9	4
70	в нем	3	4
71	а в	3	4
72	числе и	1	4
73	и что	2	4
74	и только	2	4
75	не может	9	4
76	из которых	2	4
77	в смысле	1	4
78	и от	1	4
79	в этих	1	4
80	что он	3	4
81	же как	2	3
82	из всех	1	3
83	не вполне	2	3
84	если в	2	3
85	в своем	1	3
86	и нет	2	3
87	когда он	1	3
88	и как	3	3
89	за собой	1	3
90	что это	1	3
91	к достижению	1	3
92	и те	1	3
93	духовной культуры	2	3
94	при этом	6	3
95	русского народа	1	3
96	оказывается что	1	3
97	тем не	2	3
98	то с	2	3
99	не менее	6	3
100	представляет собой	2	3
101	в других	1	3
102	и о	1	3
103	но по	1	3
104	культуры и	1	3
105	на нее	1	3
106	можно сказать	1	3
107	путь к	2	3
108	того что	5	3
109	но с	3	3
110	хотя бы	2	3
111	в качестве	5	3
112	так что	4	3
113	уже не	2	3
114	а после	1	3
115	для него	4	3
116	в одном	2	3
117	и даже	8	3
118	в рамках	4	3
119	а так	1	3
120	с этой	2	3
121	в результате	2	3
122	конце концов	1	3
123	отношению к	3	3
124	к этому	1	3
125	в таком	1	3
126	одним из	3	2
127	его не	1	2
128	мы имеем	1	2
129	жизни по	1	2
130	грань между	1	2
131	еще не	2	2
132	и на	6	2
133	бы то	1	2
134	во всех	3	2
135	в новом	1	2
136	относится к	1	2
137	общего с	1	2
138	и наконец	2	2
139	ни один	1	2
140	с тех	1	2
141	на то	1	2
142	перестает быть	3	2
143	не к	2	2
144	состоит в	9	2
145	то ни	1	2
146	в глазах	3	2
147	в них	2	2
148	не всегда	1	2
149	мы видели	1	2
150	с идеей	2	2
151	не в	4	2
152	в россии	2	2
153	как от	1	2
154	в тело	1	2
155	вплоть до	3	2
156	тех пор	1	2
157	без остатка	3	2
158	не могло	1	2
159	только не	1	2
160	же время	9	2
161	в русском	2	2
162	этом отношении	3	2
163	ему в	1	2
164	не могут	1	2
165	той или	1	2
166	время он	1	2
167	этот путь	3	2
168	ничего общего	1	2
169	приводит к	1	2
170	культуры на	1	2
171	в образе	1	2
172	не с	3	2
173	для этого	2	2
174	мысль о	1	2
175	в виду	2	2
176	а также	2	2
177	должно было	1	2
178	наконец в	2	2
179	еще только	1	2
180	по своей	1	2
181	один из	4	2
182	тот же	2	2
183	богом и	1	2
