N	4gram	Trubetskoy_1	Vladivir
1	дело в том что	1	4
2	только в том случае	1	3
3	совершенно так же как	3	2
4	в то же время	2	2
5	как мы видели выше	1	2
6	в то время как	1	2
7	в том случае если	4	2
8	также и то что	1	2
9	до сих пор не	2	1
10	лишь в том что	3	1
11	что это есть не	1	1
12	может быть и не	1	1
13	здесь дело только в	1	1
14	в самом деле ведь	1	1
15	не только с точки	1	1
16	одно и то же	1	1
17	мы уже знаем что	1	1
18	мы видели выше есть	1	1
19	бы то ни было	2	1
20	с этой точки зрения	1	1
21	и то что это	1	1
22	но вместе с тем	1	1
23	в том что он	1	1
24	только с точки зрения	1	1
25	заключается в том что	2	1
