N	2gram	Tiupa_Narr_1	VerxiiNi
1	и в	11	26
2	таким образом	1	22
3	с тем	1	18
4	в этом	12	15
5	вместе с	2	15
6	точки зрения	5	13
7	как бы	6	12
8	в том	8	11
9	из этих	4	10
10	не только	31	10
11	и с	3	10
12	может быть	15	10
13	после смерти	2	10
14	связи с	2	9
15	в области	2	9
16	так как	1	9
17	но и	27	9
18	что в	3	9
19	но не	4	8
20	главным образом	1	8
21	и у	1	8
22	с другой	2	8
23	и не	23	8
24	но в	7	7
25	но все	1	7
26	из них	4	7
27	том что	7	7
28	потому что	5	7
29	к нему	4	7
30	с одной	1	7
31	то что	9	7
32	а с	1	7
33	одной стороны	1	7
34	того же	1	6
35	все же	4	6
36	в себе	6	6
37	всяком случае	2	6
38	с точки	1	6
39	к тому	6	6
40	так и	5	6
41	и т.д	6	6
42	о том	4	6
43	в конце	2	6
44	что и	1	6
45	и потому	1	6
46	все это	1	6
47	во всяком	2	6
48	отношение к	1	5
49	сих пор	2	5
50	и к	1	5
51	тому же	6	5
52	в силу	1	5
53	в мире	4	5
54	лишь в	3	5
55	или менее	1	5
56	по крайней	1	5
57	не имеет	2	5
58	того чтобы	4	5
59	никогда не	4	5
60	с другом	1	5
61	для того	3	5
62	в его	6	5
63	крайней мере	1	5
64	до сих	2	5
65	а не	13	5
66	к жизни	2	5
67	друг с	1	5
68	и для	2	5
69	так же	1	5
70	одной из	1	5
71	более или	1	5
72	том числе	1	5
73	в котором	1	4
74	то же	8	4
75	при жизни	1	4
76	целый ряд	1	4
77	в самом	6	4
78	в этой	6	4
79	и по	1	4
80	то есть	9	4
81	с другими	1	4
82	он не	3	4
83	далеко не	1	4
84	и тогда	2	4
85	в которых	1	4
86	в то	4	4
87	в нем	4	4
88	а в	13	4
89	числе и	1	4
90	и только	2	4
91	только в	12	4
92	на этот	1	4
93	не может	8	4
94	из которых	1	4
95	и от	2	4
96	в этих	2	4
97	во время	1	4
98	что он	3	4
99	же как	1	3
100	из всех	1	3
101	не вполне	2	3
102	если в	2	3
103	в своем	3	3
104	когда он	1	3
105	и как	3	3
106	за собой	1	3
107	в которой	1	3
108	что это	1	3
109	при этом	19	3
110	оказывается что	1	3
111	тем не	3	3
112	если бы	7	3
113	не менее	3	3
114	представляет собой	8	3
115	течением времени	1	3
116	и о	3	3
117	на нее	1	3
118	ясно что	1	3
119	можно сказать	5	3
120	в значительной	1	3
121	того что	4	3
122	хотя бы	2	3
123	в качестве	14	3
124	уже не	8	3
125	для него	4	3
126	в одном	4	3
127	к ним	2	3
128	случае не	1	3
129	и даже	2	3
130	своей индивидуальности	1	3
131	в связи	2	3
132	в рамках	1	3
133	а так	1	3
134	в результате	2	3
135	у них	1	3
136	отношению к	3	3
137	к этому	1	3
138	в таком	2	3
139	точно так	1	3
140	одним из	1	2
141	мы имеем	3	2
142	надо было	1	2
143	жизни по	1	2
144	еще не	4	2
145	и на	5	2
146	бы то	1	2
147	с его	4	2
148	во всех	1	2
149	различия между	1	2
150	друг на	2	2
151	что именно	1	2
152	и наконец	1	2
153	еще на	1	2
154	ни один	1	2
155	на то	2	2
156	не могла	2	2
157	не как	1	2
158	его от	1	2
