N	3gram	Vygotskiy__5	Hudozhes
1	по отношению к	1	10
2	в отличие от	2	7
3	с другой стороны	5	5
4	в том что	14	5
5	более или менее	1	5
6	той или иной	2	5
7	состоит в том	2	4
8	в этом смысле	1	3
9	можно сказать что	2	3
10	и того же	2	3
11	и то же	3	3
12	того или иного	1	3
13	одно и то	3	3
14	одного и того	2	3
15	в конечном счете	1	3
16	с точки зрения	2	3
17	с одной стороны	12	2
18	что в основе	1	2
19	приводит к тому	1	2
20	в основе своей	1	2
21	до известной степени	1	2
22	для того чтобы	19	2
23	а с другой	4	2
24	к тому что	6	2
25	но он не	1	2
26	не могло быть	1	2
27	в русской литературе	1	2
28	в эстетический объект	1	2
29	мы имеем дело	1	2
30	в свою очередь	1	2
31	искусства может быть	1	2
32	в том и	2	2
33	а в том	1	1
34	с первых же	1	1
35	и др в	1	1
36	входят в состав	1	1
37	таким образом что	3	1
38	а не ее	1	1
39	в евгении онегине	1	1
40	так же как	2	1
41	во внешнем мире	1	1
42	в основе его	1	1
43	друг от друга	2	1
44	не в состоянии	3	1
45	и в сущности	1	1
46	в том случае	1	1
47	и в этой	1	1
48	в одной из	1	1
49	том или ином	1	1
50	же точно и	1	1
51	одним и тем	3	1
52	из того что	3	1
53	что иное как	2	1
54	и в том	1	1
55	может быть и	2	1
56	у нее нет	1	1
57	имеем дело с	1	1
58	иметь в виду	3	1
59	что он должен	1	1
60	но во всех	1	1
61	так же точно	5	1
62	именно потому что	2	1
63	и тем же	3	1
64	что он не	1	1
65	о том что	6	1
66	в этом случае	2	1
67	едва ли не	1	1
68	в частности в	1	1
69	что речь в	1	1
70	находятся между собой	1	1
71	и как бы	4	1
72	не что иное	2	1
73	во времени и	1	1
74	произведения искусства как	1	1
75	этой точки зрения	1	1
76	как бы в	2	1
77	в то время	1	1
78	и тем более	1	1
79	все то что	2	1
80	всякое произведение искусства	1	1
81	брожу ли я	1	1
82	речь идет о	1	1
83	ни к каким	1	1
84	то или иное	1	1
85	таким образом с	1	1
86	строго говоря и	1	1
87	мы имеем в	1	1
88	только то что	1	1
89	не могут быть	1	1
90	ли я вдоль	1	1
91	мы видим в	2	1
92	и поэтому не	1	1
93	в полной мере	1	1
94	в художественном произведении	1	1
95	именно в этом	1	1
96	принадлежат к числу	1	1
97	в том или	1	1
98	в зависимости от	6	1
99	вдоль улиц шумных	1	1
100	заключает в себе	4	1
101	в произведении искусства	1	1
102	в себя и	1	1
103	не может быть	2	1
104	и не дает	1	1
105	и в самом	2	1
106	обратим внимание на	1	1
107	том что он	1	1
108	между собой в	1	1
109	незаметно для читателя	1	1
110	к самому герою	1	1
111	с этой точки	1	1
112	по крайней мере	1	1
113	я вдоль улиц	1	1
