N	3gram	Bakhtin_sl_1	Narrotol
1	в том что	1	8
2	с одной стороны	4	7
3	о том что	1	6
4	в отличие от	1	5
5	не может быть	1	5
6	и не в	1	4
7	в данном случае	3	4
8	с другой стороны	4	4
9	той или иной	9	4
10	можно сказать что	1	4
11	бы то ни	1	3
12	в этом отношении	1	3
13	то ни было	1	3
14	тем не менее	1	3
15	то же время	12	3
16	в свою очередь	2	3
17	в то же	12	3
18	по всей вероятности	3	2
19	не может не	5	2
20	в той или	9	2
21	более или менее	3	2
22	с точки зрения	8	2
23	можно было бы	2	2
24	то или иное	1	2
25	в значительной степени	1	2
26	в первом случае	2	2
27	не только в	2	2
28	в известном смысле	2	2
29	этой точки зрения	1	2
30	того или иного	2	2
31	в отвлечении от	1	2
32	то есть в	1	2
33	или даже вовсе	1	2
34	так или иначе	1	2
35	дистанции между ними	1	1
36	формы прямой речи	1	1
37	существенную роль в	1	1
38	и столь же	1	1
39	прежде всего в	1	1
40	дело в том	1	1
41	как бы не	1	1
42	какая бы то	1	1
43	и в особенности	4	1
44	по крайней мере	1	1
45	с таким же	1	1
46	до сих пор	2	1
47	да и в	1	1
48	и в то	5	1
49	до известной степени	2	1
50	не входит в	1	1
51	высказывания и в	1	1
52	лишь одним из	1	1
53	в различные эпохи	1	1
54	свое время было	1	1
55	на фоне которых	1	1
56	к тому или	1	1
57	по аналогии с	1	1
58	рассеянной чужой речи	1	1
59	в последние десятилетия	1	1
60	но это не	1	1
61	или иной степени	9	1
62	а иногда и	1	1
63	до наших дней	1	1
64	может быть только	2	1
65	с этой точки	1	1
66	и его голос	1	1
67	может быть и	1	1
68	не могло быть	1	1
69	же время в	1	1
70	то есть его	1	1
71	дело не с	2	1
72	в первый раз	1	1
73	и с точки	1	1
74	отношение к своему	2	1
75	а также и	1	1
76	и не было	1	1
77	к одному из	1	1
78	а не как	2	1
79	один из этих	1	1
80	в свое время	1	1
81	и до наших	1	1
82	в особенности к	1	1
83	но по существу	2	1
84	так и в	3	1
85	его жизни и	1	1
86	на протяжении всего	1	1
87	и романного слова	1	1
88	никогда не бывает	1	1
89	включает в себя	1	1
90	к чужому слову	4	1
91	во всех его	7	1
92	он еще не	1	1
93	и прежде всего	1	1
94	как мы уже	2	1
95	зрения не только	1	1
96	тех или иных	1	1
97	одного из персонажей	1	1
98	друг с другом	2	1
99	то есть к	1	1
100	точки зрения не	1	1
101	как и в	1	1
102	и оценки и	1	1
103	как мы видели	1	1
