N	4gram	Tiupa_Hudo_1	SlovoVZh
1	бы то ни было	1	3
2	и по отношению к	1	3
3	не может быть и	1	2
4	одно и то же	3	2
5	позицию по отношению к	1	1
6	особую притом двустороннюю позицию	1	1
7	мы имеем дело с	1	1
8	мы имеем в виду	3	1
9	позицию в нем по	1	1
10	бы они ни были	1	1
11	нем по отношению к	1	1
12	ни в коем случае	2	1
13	отношению к автору и	1	1
14	свое незаместимое место в	1	1
15	двустороннюю позицию в нем	1	1
16	он должен занимать особую	1	1
17	событии художественного творчества он	1	1
18	в то же время	5	1
19	художественного творчества он должен	1	1
20	по отношению к автору	1	1
21	в нем по отношению	1	1
22	творчества он должен занимать	1	1
23	имеем в виду не	3	1
24	место в событии художественного	1	1
25	случае мы имеем дело	1	1
26	в событии художественного творчества	1	1
27	должен занимать особую притом	1	1
28	к автору и по	1	1
29	автору и по отношению	1	1
30	занимать особую притом двустороннюю	1	1
31	по отношению к герою	2	1
32	по отношению к которому	1	1
33	незаместимое место в событии	1	1
34	притом двустороннюю позицию в	1	1
