N	3gram	Bakhtin_KF_1	KulturaY
1	для того чтобы	1	15
2	в том что	2	15
3	с точки зрения	9	9
4	по отношению к	22	8
5	в зависимости от	1	5
6	во всяком случае	1	5
7	не в том	1	4
8	тем не менее	2	4
9	в этом смысле	3	3
10	в соответствии с	2	3
11	того или иного	3	3
12	только в том	1	3
13	вместе с тем	1	3
14	не потому что	1	3
15	в свою очередь	1	3
16	не может быть	11	3
17	и того же	1	2
18	того что в	1	2
19	на самом деле	3	2
20	на то что	1	2
21	я позволю себе	1	2
22	в целом и	2	2
23	отсюда следует что	1	2
24	а только в	1	2
25	то же время	2	2
26	тогда когда он	1	2
27	хотя бы и	1	2
28	одного и того	1	2
29	в то же	2	2
30	к тому что	1	2
31	но прежде всего	1	1
32	сводится к следующему	1	1
33	и может быть	2	1
34	на том что	1	1
35	он должен быть	1	1
36	к настоящему моменту	1	1
37	в данный момент	3	1
38	в настоящее время	1	1
39	это уже не	1	1
40	в себя много	1	1
41	можно и должно	1	1
42	и в то	1	1
43	может быть противопоставлен	1	1
44	вследствие того что	1	1
45	мы говорим о	1	1
46	смысл лишь в	1	1
47	в его превосходной	1	1
48	его превосходной книге	1	1
49	в противном случае	1	1
50	и не в	1	1
51	в том случае	1	1
52	позицию по отношению	1	1
53	или иного индивидуума	1	1
54	бы и не	2	1
55	в первом случае	1	1
56	до конца и	1	1
57	жизни в его	1	1
58	на своем месте	2	1
59	и в его	1	1
60	связанная с ним	1	1
61	всех этих случаях	1	1
62	во всех этих	2	1
63	притом не только	1	1
64	до того что	1	1
65	имеем в виду	2	1
66	дело не в	1	1
67	она и может	1	1
68	это не значит	1	1
69	в том смысле	1	1
70	не для того	1	1
71	не может возникнуть	1	1
72	как одно из	1	1
73	когда мы говорим	1	1
74	само по себе	1	1
75	вместо того чтобы	1	1
76	и пр и	1	1
77	и все же	1	1
78	ни в каком	2	1
79	между тем как	3	1
80	даже для самого	1	1
81	вовсе не есть	2	1
82	в ее целом	2	1
83	и тем самым	1	1
84	тем что я	1	1
85	в его собственном	1	1
86	той или иной	2	1
87	не значит еще	1	1
88	данный момент в	1	1
89	смысле этого слова	1	1
90	образом то что	1	1
91	в большинстве случаев	1	1
92	и не потому	1	1
93	но во всяком	1	1
94	и мы получим	1	1
95	что и в	1	1
96	только тогда когда	1	1
97	не в этом	1	1
98	и развивается как	1	1
99	все это можно	1	1
