N	2gram	Kanaev_Sov_1	ViktorSh
1	в том	4	2
2	и в	7	2
3	в конце	3	2
4	том что	1	2
5	дело в	1	1
6	только в	1	1
7	и не	6	1
8	в другом	1	1
9	то же	3	1
10	по крайней	1	1
11	ясно что	3	1
12	жизни которое	1	1
13	так как	4	1
14	все время	1	1
15	и его	1	1
16	к этому	1	1
17	так в	1	1
18	для них	1	1
19	к чему	2	1
20	в этом	7	1
21	крайней мере	1	1
22	именно в	1	1
23	и только	1	1
24	собственно и	1	1
25	в самом	2	1
26	и составляет	1	1
27	предлагает нам	1	1
28	не будем	2	1
29	и т.д	3	1
30	образом из	1	1
31	по существу	1	1
32	другое дело	1	1
33	все это	3	1
34	ведь это	3	1
35	но это	1	1
36	от общего	1	1
37	самом деле	2	1
38	по своим	1	1
