N	2gram	Medvedev_S_1	Narrotol
1	не только	3	31
2	но и	2	27
3	и не	1	23
4	может быть	2	15
5	в частности	2	14
6	как и	1	13
7	а в	1	13
8	в этом	5	12
9	только в	2	12
10	и в	3	11
11	в данном	1	11
12	и его	1	10
13	то что	2	9
14	то же	2	8
15	иначе говоря	1	8
16	не может	1	8
17	в том	5	8
18	том что	2	7
19	у него	1	7
20	не в	3	6
21	в этой	1	6
22	в его	3	6
23	как бы	2	6
24	один из	1	6
25	перед нами	1	5
26	так и	1	5
27	в своей	1	5
28	столь же	1	5
29	еще не	2	4
30	но не	1	4
31	все же	1	4
32	в мире	1	4
33	по себе	1	4
34	в то	1	4
35	никогда не	1	4
36	что на	1	4
37	о том	1	4
38	же время	1	4
39	прежде всего	1	4
40	или не	1	4
41	мы не	1	3
42	но как	1	3
43	и как	1	3
44	в целом	1	3
45	но именно	1	3
46	это не	1	3
47	стало быть	1	3
48	как будто	2	3
49	и о	1	3
50	в конечном	1	3
51	между тем	1	3
52	что он	1	3
53	по отношению	2	3
54	может служить	1	3
55	именно в	1	3
56	не было	1	3
57	быть не	1	3
58	отношению к	2	3
59	что в	2	3
60	тем же	1	2
61	в сущности	1	2
62	более не	1	2
63	между собой	1	2
64	в чем	1	2
65	отнюдь не	1	2
66	в этих	1	2
67	дело не	2	2
68	ничего не	1	2
69	связи с	1	2
70	ли не	1	2
71	же самое	1	2
72	с ним	1	2
73	никак не	1	2
74	с другой	1	2
75	и только	3	2
76	всяком случае	1	2
77	в конце	2	2
78	в области	1	2
79	в результате	2	2
80	зависит от	1	2
81	в связи	1	2
82	она может	2	2
83	хотя бы	1	2
84	между ними	1	2
85	во всяком	1	2
86	это и	2	1
87	опираясь на	1	1
88	и есть	1	1
89	полагает что	1	1
90	этом не	1	1
91	невозможно ни	1	1
92	сказать и	1	1
93	исторической жизни	2	1
94	еще и	1	1
95	и наконец	1	1
96	настаивает на	1	1
97	что это	1	1
98	что автор	1	1
99	но ведь	3	1
100	строгом значении	1	1
101	что она	1	1
102	главным образом	2	1
103	в силу	1	1
104	новое и	1	1
105	базируются на	1	1
106	и по	1	1
107	таким образом	2	1
108	его в	1	1
109	том именно	1	1
110	произведение как	1	1
111	далеко не	2	1
112	на основании	1	1
113	возможность именно	1	1
114	в котором	1	1
115	и благодаря	1	1
116	по крайней	1	1
117	творчества это	1	1
118	даже в	1	1
119	тому что	1	1
120	хотелось бы	1	1
121	сколь и	1	1
122	только когда	1	1
123	от друга	1	1
124	только то	1	1
125	это вовсе	1	1
126	том как	1	1
127	это происходит	1	1
128	для нас	3	1
129	крайней мере	1	1
130	в него	1	1
131	и мы	2	1
132	с одной	1	1
133	не из	1	1
134	конечном счете	1	1
135	или даже	2	1
136	представить себе	1	1
137	тем что	1	1
138	друг от	1	1
139	даже не	1	1
140	не один	1	1
141	для этого	1	1
142	наконец в	1	1
143	а с	1	1
144	мы еще	1	1
145	одной стороны	1	1
146	на этот	1	1
147	их друг	1	1
148	со своими	1	1
149	с помощью	1	1
150	и потому	1	1
151	в строгом	1	1
152	все это	7	1
153	искусство слова	1	1
154	тем более	2	1
155	им не	2	1
156	они не	1	1
