N	2gram	Medvedev_V_1	EvropaiE
1	и в	2	37
2	то же	1	15
3	хотя бы	1	15
4	и не	1	14
5	в этом	1	12
6	в их	1	11
7	в том	2	11
8	только в	1	9
9	так как	1	7
10	том что	2	6
11	столь же	1	5
12	в частности	1	5
13	в самом	1	4
14	техники и	1	4
15	тем более	1	4
16	именно в	1	4
17	время в	1	3
18	в которых	1	3
19	дело в	1	3
20	потому что	1	3
21	и только	1	3
22	по своим	1	3
23	и то	1	2
24	которые они	1	2
25	более чем	1	2
26	чем больше	1	2
27	главным образом	1	2
28	для них	1	2
29	далеко не	1	2
30	в значительной	1	2
31	как же	1	2
32	более к	1	2
33	с большой	1	2
34	говорили в	1	1
35	значительной степени	1	1
36	образом из	1	1
37	том же	1	1
38	и его	1	1
39	сказать чтобы	1	1
40	имеется в	1	1
41	сводится к	1	1
42	жизни которое	1	1
43	же все	1	1
44	к созданию	1	1
45	от других	1	1
46	даже не	1	1
47	отказались от	1	1
48	этому и	1	1
49	но это	1	1
50	гораздо более	1	1
