N	4gram	Vygotskiy__1	Stilisti
1	в то же время	1	7
2	одно и то же	2	4
3	мы имели в виду	1	2
4	и в то же	1	2
5	то же самое время	1	2
6	все больше и больше	1	2
7	но для того чтобы	1	2
8	одной и той же	2	2
9	вместе с тем и	1	2
10	в тех случаях когда	1	2
11	в то же самое	1	2
12	который мы наблюдаем в	1	1
13	только благодаря тому что	1	1
14	убедиться в том что	2	1
15	в одной и той	1	1
16	чтобы убедиться в том	1	1
17	но об этом мы	1	1
18	как мы уже знаем	1	1
19	о котором мы говорили	1	1
20	в виду прежде всего	1	1
21	в собственном смысле слова	1	1
22	по сравнению с его	1	1
23	но вместе с тем	4	1
24	речи но все же	1	1
25	ответа на вопрос о	1	1
26	имели в виду прежде	1	1
27	одном и том же	1	1
28	ничем не связанных между	1	1
29	заключает в себе две	1	1
30	в одном и том	1	1
31	во всех своих частях	1	1
32	не связанных между собой	1	1
