N	2gram	Nazirov_Tv_1	EvropaiC
1	таким образом	5	32
2	в том	7	31
3	и в	21	24
4	том что	11	20
5	все эти	1	19
6	не может	4	18
7	то что	8	17
8	все же	5	15
9	может быть	5	15
10	в этом	6	12
11	сих пор	1	12
12	самом деле	2	12
13	до сих	1	12
14	в своем	4	12
15	между тем	1	11
16	с этим	1	11
17	все это	10	11
18	из себя	2	10
19	отношению к	1	10
20	так и	2	10
21	во всех	1	10
22	культуры и	1	10
23	по отношению	1	10
24	мы знаем	1	10
25	как бы	17	10
26	как и	12	9
27	того же	2	9
28	что в	12	9
29	при этом	7	9
30	так же	3	8
31	и все	6	8
32	не в	2	8
33	от современных	1	8
34	а и	1	8
35	чем у	1	8
36	в самом	3	8
37	о которых	1	7
38	о том	6	7
39	о котором	2	7
40	для этого	1	7
41	не менее	6	7
42	европейской культуры	1	7
43	на самом	3	7
44	к тому	2	7
45	и не	7	7
46	но и	3	7
47	и что	1	7
48	из элементов	1	7
49	что он	6	7
50	еще не	1	6
51	тогда как	1	6
52	отличается от	1	6
53	с ним	3	6
54	так что	2	6
55	вместе с	2	6
56	того что	3	6
57	этот народ	1	6
58	только в	5	6
59	в этой	5	6
60	что и	2	6
61	и на	7	6
62	в мире	4	6
63	с другой	3	6
64	все они	1	6
65	так как	3	6
66	в которой	3	5
67	в себе	2	5
68	и с	3	5
69	не будет	2	5
70	и их	1	5
71	что это	1	5
72	у него	7	5
73	его в	1	5
74	но все	1	5
75	к этому	2	5
76	потому что	5	5
77	и от	4	5
78	тому же	1	5
79	на все	1	5
80	и к	1	5
81	в целом	4	5
82	в то	15	5
83	что все	3	5
84	по своему	1	5
85	другой стороны	1	5
86	в его	13	5
87	именно в	2	5
88	и если	1	5
89	как к	2	5
90	из всех	4	5
91	далеко не	3	5
92	но в	7	5
93	столь же	1	5
94	что с	1	5
95	как будто	5	5
96	не только	7	5
97	одним из	4	4
98	ибо в	2	4
99	в в	2	4
100	самого себя	1	4
101	это есть	1	4
102	его собственной	1	4
103	связи с	1	4
104	что его	2	4
105	в виде	3	4
106	хотя бы	5	4
107	что эта	1	4
108	не так	3	4
109	в конце	1	4
110	в области	1	4
111	та же	4	4
112	в их	3	4
113	между собой	1	4
114	своем развитии	1	4
115	в таком	1	4
116	конце концов	1	4
117	никогда не	3	4
118	хотя и	3	4
119	то же	13	4
120	в дальнейшем	3	4
121	мы должны	1	4
122	а с	1	4
123	тем не	2	4
124	в народе	1	4
125	этой области	1	4
126	мы уже	1	4
127	всех этих	1	4
128	том же	1	4
129	что как	2	4
130	не могут	1	4
131	он не	8	4
132	и у	2	4
133	если мы	1	4
134	из них	2	4
135	не есть	1	4
136	что по	1	3
137	может не	2	3
138	во имя	2	3
139	и наконец	2	3
140	данном случае	2	3
141	в связи	1	3
142	что их	1	3
143	прежде всего	4	3
144	в с	2	3
145	в эти	1	3
146	в жизни	2	3
147	настоящее время	2	3
148	в нем	3	3
149	даже в	3	3
150	и того	2	3
151	а в	6	3
152	же не	1	3
153	не то	2	3
154	на этой	1	3
155	это не	4	3
156	только что	2	3
157	жизнь и	1	3
158	в этих	2	3
159	очень много	1	3
160	отличие от	2	3
161	от него	1	3
162	одного и	1	3
163	что если	1	3
164	у нас	1	3
165	тот же	2	3
166	то ни	1	3
167	даже если	1	3
168	основанные на	1	3
169	в истории	1	3
170	но даже	1	3
171	и других	3	3
172	не вполне	1	3
173	же как	1	3
174	в настоящее	1	3
175	а наоборот	1	3
176	как у	1	3
177	с одной	1	3
178	как известно	1	3
179	ее и	2	3
180	на земле	3	3
181	представление о	3	3
182	при помощи	2	3
183	тем более	1	3
184	за ними	1	3
185	но по	1	3
186	сейчас же	1	3
187	чем в	1	3
188	целый ряд	1	3
189	с тем	1	3
190	заключается в	1	3
191	что оно	1	3
192	и это	1	3
193	и по	3	3
194	в данном	2	3
195	заметим кстати	1	2
196	и из	1	2
197	представляет собою	1	2
198	в них	1	2
199	себя и	1	2
200	между людьми	2	2
201	но не	3	2
202	не знает	2	2
203	на поверхность	1	2
204	он считает	1	2
205	же время	12	2
206	в одно	2	2
207	говорить о	1	2
208	только не	1	2
209	развития человечества	1	2
210	на том	2	2
211	ко всему	1	2
212	в один	2	2
213	а это	1	2
214	ясно как	1	2
215	и ее	1	2
216	не было	1	2
217	вовсе не	5	2
218	из этой	1	2
219	гораздо более	2	2
220	наконец не	1	2
221	к нему	1	2
222	отнюдь не	5	2
223	тем самым	7	2
224	то есть	12	2
225	но с	1	2
226	только то	1	2
227	что на	1	2
228	между прочим	1	2
229	если он	1	2
230	тем как	1	2
231	в ней	2	2
232	то в	2	2
233	заключает в	1	2
234	одно из	1	2
235	индивидуальном сознании	1	2
236	что же	1	2
237	все его	1	2
238	с этой	1	2
239	для него	6	2
240	что она	2	2
241	цивилизации в	1	2
242	в себя	2	2
243	а затем	2	2
244	о которой	1	2
245	но если	3	2
246	и некоторые	1	2
247	что для	2	2
248	в а	1	2
249	на месте	1	2
250	и сам	1	2
251	на него	1	2
252	и более	1	2
253	то и	1	2
254	в свою	7	2
255	что у	1	2
256	каждого человека	1	2
257	жизни и	3	2
258	свою очередь	1	2
259	в сущности	1	2
260	бы то	1	2
261	но на	1	2
262	что до	1	2
263	имеет место	1	2
264	вследствие этого	1	2
265	и те	1	2
266	при таком	1	2
267	со своей	1	2
268	к ним	1	2
269	в основе	2	2
270	ту же	3	2
271	него в	1	2
272	с ними	1	2
273	одной стороны	1	2
274	на первый	1	2
275	одна из	2	2
276	в котором	6	2
277	ни было	1	2
278	тому что	1	2
279	не от	1	2
280	такой же	2	2
281	и будет	2	2
282	от себя	1	2
283	образом и	1	2
284	цивилизации и	1	2
285	в процессе	1	2
286	она не	1	2
287	также и	1	2
288	на этом	1	2
289	и развитие	1	2
290	же касается	1	2
291	от своей	1	2
292	все без	1	2
293	этот вопрос	1	2
294	в частности	2	2
295	если же	1	2
296	и до	1	2
