N	3gram	Vinokur_St_2	slovoVRo
1	и т п	3	23
2	то же время	1	12
3	в то же	1	12
4	с точки зрения	2	8
5	в отношении к	1	6
6	во всяком случае	3	5
7	и т д	6	5
8	и в особенности	1	4
9	с другой стороны	3	4
10	в зависимости от	1	3
11	но и здесь	2	3
12	в данном случае	1	3
13	более или менее	2	3
14	таким образом в	1	3
15	смысловые и экспрессивные	1	3
16	так и в	2	3
17	а между тем	1	2
18	точка зрения на	1	2
19	свое выражение в	2	2
20	в этом случае	1	2
21	до сих пор	5	2
22	не укладывается в	1	2
23	одно и то	1	2
24	в то время	1	2
25	и то же	1	2
26	в известном смысле	1	2
27	и в этом	2	2
28	в свою очередь	1	2
29	как бы ни	1	2
30	к тому что	5	2
31	и в том	1	2
32	и в другом	1	2
33	да и в	1	1
34	в в виноградов	1	1
35	в которой все	1	1
36	из его романа	1	1
37	не только по	2	1
38	там где нет	1	1
39	дело в том	4	1
40	но и по	1	1
41	лишь на то	1	1
42	одному из них	1	1
43	на своем пути	1	1
44	нашло свое выражение	2	1
45	в отличие от	2	1
46	которое нашло свое	1	1
47	бы то ни	2	1
48	языка в его	1	1
49	в этом отношении	9	1
50	в х годах	1	1
51	но и эти	1	1
52	он никогда не	1	1
53	не могло быть	1	1
54	в значительной степени	2	1
55	а как бы	1	1
56	то ни было	2	1
57	на одной из	1	1
58	не столько в	2	1
59	и сам в	1	1
60	в чисто поэтических	1	1
61	к одному из	1	1
62	так или иначе	1	1
63	одни и те	1	1
64	так и на	1	1
65	на смертном одре	1	1
66	для стилистического анализа	1	1
67	в свое время	1	1
68	на возможность иных	1	1
69	себя до конца	1	1
70	тем не менее	2	1
71	о том что	11	1
72	в одном из	3	1
73	и все это	1	1
74	с самого начала	3	1
75	не только не	2	1
76	и те же	1	1
77	т п в	1	1
78	поэзии и т	1	1
79	еще более резко	1	1
80	для того чтобы	5	1
81	очень велика в	1	1
82	в том что	16	1
83	как мы видели	1	1
