N	3gram	Bakhtin_KF_1	Narrotol
1	в том что	2	8
2	по отношению к	22	6
3	не может быть	11	5
4	в основе своей	1	4
5	и не в	1	4
6	той или иной	2	4
7	бы то ни	2	3
8	то ни было	2	3
9	тем не менее	2	3
10	и тем самым	1	3
11	то же время	2	3
12	в свою очередь	1	3
13	в то же	2	3
14	не может не	1	2
15	а не в	2	2
16	с точки зрения	9	2
17	то или иное	2	2
18	ту или иную	1	2
19	в значительной степени	1	2
20	в первом случае	1	2
21	в себя и	1	2
22	в известном смысле	1	2
23	как и на	1	2
24	того или иного	3	2
25	а во втором	1	2
26	в отвлечении от	5	2
27	в конечном счете	1	2
28	мог бы быть	1	2
29	здесь не в	1	2
30	себя в другом	1	1
31	и того же	1	1
32	и не быть	2	1
33	никогда не было	1	1
34	как событие в	2	1
35	в данный момент	3	1
36	между жизнью и	1	1
37	дело в том	1	1
38	на самом деле	3	1
39	в этом последнем	1	1
40	в этом смысле	3	1
41	лишь постольку поскольку	1	1
42	то же самое	1	1
43	в том же	1	1
44	он не может	1	1
45	пространства и времени	1	1
46	не было и	1	1
47	не подлежит сомнению	1	1
48	и в то	1	1
49	событие может быть	2	1
50	и должна быть	1	1
51	по отношению ко	4	1
52	отношению к нему	4	1
53	независимо от того	1	1
54	и небо и	1	1
55	и то что	1	1
56	как это было	1	1
57	всей его полноте	1	1
58	но это не	1	1
59	во всей его	2	1
60	он ни был	2	1
61	она может быть	1	1
62	может быть только	7	1
63	может быть и	1	1
64	мы не имеем	1	1
65	к нему в	4	1
66	события отнюдь не	1	1
67	протекает именно в	1	1
68	в себе момент	1	1
69	и тот же	1	1
70	мира в котором	2	1
71	и как бы	1	1
72	всю свою жизнь	1	1
73	дело здесь не	2	1
74	а не как	1	1
75	один и тот	1	1
76	не о том	1	1
77	по себе а	1	1
78	и на чем	1	1
79	само по себе	1	1
80	включает в себя	2	1
81	во всех его	1	1
82	ее а не	1	1
83	одного и того	1	1
84	бы он ни	2	1
85	в данном контексте	1	1
86	возможна только в	1	1
87	в соответствии с	2	1
88	события так и	2	1
