N	2gram	Propp_Russ_1	Analitik
1	в тексте	1	24
2	тогда как	2	19
3	в этом	12	18
4	не только	22	16
5	и в	36	16
6	в частности	2	16
7	так и	7	15
8	как и	10	14
9	своего рода	3	12
10	но и	16	12
11	и не	6	12
12	том что	19	12
13	в том	17	12
14	в качестве	3	11
15	при этом	6	10
16	могут быть	2	10
17	а не	2	10
18	как бы	5	10
19	в этой	1	9
20	ничего не	3	9
21	в пределах	1	9
22	то есть	3	9
23	в целом	2	8
24	представляет собой	4	8
25	состоит в	8	8
26	в данном	1	8
27	не случайно	2	8
28	отнюдь не	2	8
29	к тому	4	7
30	а также	3	7
31	о том	8	7
32	в себе	1	7
33	то что	6	7
34	и на	10	6
35	но в	2	6
36	говорить о	1	6
37	может быть	8	6
38	как это	8	6
39	на себя	2	5
40	и к	3	5
41	данном случае	1	5
42	говорит о	1	5
43	того же	1	4
44	между двумя	2	4
45	по преимуществу	1	4
46	в поле	3	4
47	как правило	3	4
48	но не	2	4
49	по отношению	1	4
50	как в	5	4
51	в своем	3	4
52	хотя и	2	4
53	тому же	1	4
54	на этом	3	4
55	то же	3	4
56	не с	3	4
57	и тем	1	4
58	точки зрения	3	4
59	имеет место	2	4
60	не менее	3	4
61	во второй	1	4
62	можно сказать	1	4
63	во всех	4	4
64	только в	4	4
65	и его	1	4
66	уже не	6	4
67	не так	1	4
68	у него	2	4
69	не может	4	4
70	и смерти	1	4
71	этом случае	5	4
72	все это	6	4
73	в один	2	4
74	отношению к	1	4
75	на две	1	3
76	в их	4	3
77	мы имеем	4	3
78	ему в	1	3
79	не был	1	3
80	ответ на	1	3
81	что касается	1	3
82	как уже	4	3
83	в нашем	2	3
84	и сам	1	3
85	его от	2	3
86	подобно тому	1	3
87	несмотря на	3	3
88	место в	1	3
89	не столько	1	3
90	тем не	3	3
91	тем что	4	3
92	как будто	5	3
93	этом отношении	1	3
94	что на	4	3
95	ни о	1	3
96	как мы	10	3
97	приводит к	3	3
98	можно было	1	3
99	если бы	1	3
100	что и	7	3
101	м и	1	3
102	и все	1	3
103	с ними	5	3
104	так что	2	3
105	есть в	1	3
106	борьбы с	2	3
107	из них	8	3
108	обращает на	1	3
109	только на	3	3
110	было бы	1	3
111	и за	1	3
112	тому как	1	3
113	в первой	1	3
114	этого слова	3	3
115	или в	2	3
116	себя внимание	1	3
117	а в	9	3
118	на смену	1	3
119	не знает	1	3
120	по поводу	1	3
121	таком случае	1	2
122	и до	2	2
123	включая и	1	2
124	из своих	1	2
125	а далее	1	2
126	и он	1	2
127	еще не	4	2
128	он был	2	2
129	на основе	1	2
130	в общем	1	2
131	отличие от	1	2
132	и м	14	2
133	однако как	2	2
134	на то	1	2
135	в случае	1	2
136	он не	1	2
137	в окно	2	2
138	что она	2	2
139	таким образом	6	2
140	а затем	1	2
141	что все	1	2
142	же не	2	2
143	на этой	2	2
144	в среднем	1	2
145	он же	3	2
146	выступать в	1	2
147	он и	1	2
148	еще в	4	2
149	в этих	3	2
150	с точки	3	2
151	в отличие	1	2
152	но эта	1	2
153	теми же	1	2
154	и наоборот	1	2
155	она не	2	2
156	в то	1	2
157	дело не	1	2
158	не имеет	6	2
159	которые и	1	2
160	так например	6	2
161	ли не	1	2
162	те же	1	2
163	других что	1	2
164	нас к	2	2
165	с ним	2	2
166	что в	19	2
167	никак не	1	2
168	его в	1	2
169	и во	1	2
170	между тем	7	2
171	в его	2	2
172	борьбе с	1	2
173	того что	4	2
174	с той	1	2
175	один из	8	2
176	и свободы	1	2
177	за руки	1	2
178	свидетельствует о	1	2
179	одно из	5	2
180	и их	4	2
181	в одном	3	2
182	не о	1	2
183	представляют собой	7	2
184	на этот	3	2
185	его как	2	2
186	о чем	3	2
187	должна была	2	2
188	вместе с	10	2
189	так же	3	2
190	этих случаях	1	2
191	по существу	4	2
192	н и	1	2
193	ты не	1	2
194	и для	2	2
195	при таком	1	2
196	и другими	2	2
197	тот кто	1	2
198	в двух	1	2
199	внимание на	1	2
200	сказать что	1	2
201	т е	17	2
202	все что	1	2
203	к этому	4	2
204	в таком	1	2
205	в роли	1	2
206	как известно	2	1
207	и т	10	1
208	также и	1	1
209	самом деле	1	1
210	значении этого	1	1
211	переход от	2	1
212	в первом	1	1
213	к другому	2	1
214	жизни здесь	1	1
215	по его	1	1
216	мы уже	1	1
217	их и	3	1
218	полагает что	6	1
219	на место	1	1
220	что иное	2	1
221	не вполне	1	1
222	его однако	1	1
223	они были	2	1
224	но даже	2	1
225	и сами	1	1
226	иное как	2	1
227	в чем	1	1
228	это имеет	2	1
229	зрения чем	1	1
230	совсем не	1	1
231	особенно если	1	1
232	тех же	1	1
233	не все	1	1
234	очевидно что	1	1
235	а и	5	1
236	тут же	2	1
237	и должны	1	1
238	независимо от	2	1
239	так называемая	1	1
240	от до	1	1
241	это ни	1	1
242	в приведенном	1	1
243	однако не	1	1
244	в противном	1	1
245	тех случаях	1	1
246	когда он	2	1
247	и наконец	1	1
248	детали которые	1	1
249	его к	2	1
250	тем же	1	1
251	следующим образом	4	1
252	тебя в	1	1
253	не приходится	1	1
254	в которой	1	1
255	все эти	2	1
256	по народному	1	1
257	не оставляет	1	1
258	из этих	4	1
259	которые в	1	1
260	по форме	1	1
261	сливаются в	1	1
262	и те	3	1
263	как он	2	1
264	после чего	2	1
265	по-видимому не	1	1
266	в нем	2	1
267	вера в	1	1
268	оно в	1	1
269	всех этих	2	1
270	не к	1	1
271	не как	1	1
272	в силу	2	1
273	что одно	1	1
274	на свободу	1	1
275	и по	8	1
276	в каждом	2	1
277	об этом	9	1
278	в несколько	1	1
279	входит в	4	1
280	это не	10	1
281	каждого из	1	1
282	в жизни	2	1
283	только одно	1	1
284	ни в	1	1
285	останавливаться на	2	1
286	в них	6	1
287	по домам	3	1
288	далеко не	3	1
289	со своими	1	1
290	которой он	1	1
291	говорится о	2	1
292	перед выстрелом	1	1
293	такой же	2	1
294	но если	1	1
295	и при	1	1
296	таким же	3	1
297	взгляд на	1	1
298	имеется в	1	1
299	жизнь и	1	1
300	на каждом	3	1
301	что я	1	1
302	его жизнь	1	1
303	вплоть до	4	1
304	при рассмотрении	1	1
305	обращение к	1	1
306	и эти	1	1
307	и более	2	1
308	том же	2	1
309	что этот	4	1
310	ни одна	1	1
311	форму в	1	1
312	тому что	4	1
313	виду что	1	1
314	хотелось бы	1	1
315	тогда когда	1	1
316	одна из	4	1
317	было не	1	1
318	каждый из	1	1
319	в разных	3	1
320	именно с	2	1
321	слова как	1	1
322	характер чем	1	1
323	впрочем в	1	1
324	же после	1	1
325	из значений	1	1
326	это слово	1	1
327	потому что	10	1
328	связи с	4	1
329	тому кто	1	1
330	только с	1	1
331	а мы	2	1
332	с другом	1	1
333	у нас	8	1
334	начиная с	3	1
335	и другой	3	1
336	должны быть	1	1
337	в своего	1	1
338	если же	1	1
339	для себя	1	1
340	и о	1	1
341	значения и	2	1
342	в виду	1	1
343	свою очередь	2	1
344	всего два	1	1
345	в совершенно	1	1
346	однако эта	1	1
