N	2gram	Propp_Russ_1	Sovremen
1	не может	4	17
2	может быть	8	12
3	точки зрения	3	12
4	таким образом	6	11
5	мы не	6	9
6	в каждом	2	8
7	в этом	12	7
8	не можем	3	7
9	и в	36	7
10	мы можем	2	6
11	ничего не	3	6
12	как и	10	6
13	и не	6	6
14	только одна	1	6
15	и наконец	1	5
16	все эти	2	5
17	с точки	3	5
18	в дальнейшем	2	4
19	вопрос о	1	4
20	зависимости от	1	4
21	мы должны	2	4
22	в том	17	4
23	в целом	2	4
24	из них	8	4
25	так как	15	4
26	мы видели	1	4
27	не только	22	4
28	в развитии	1	4
29	как бы	5	4
30	вместе с	10	4
31	это не	10	4
32	точку зрения	1	4
33	их в	3	4
34	а в	9	4
35	жизни и	1	4
36	в первом	1	3
37	на две	1	3
38	то же	3	3
39	но мы	1	3
40	между собой	2	3
41	отнюдь не	2	3
42	все же	5	3
43	еще не	4	3
44	но в	2	3
45	в этой	1	3
46	в себе	1	3
47	уже в	1	3
48	как он	2	3
49	что она	2	3
50	в одном	3	3
51	в нем	2	3
52	при этом	6	3
53	на этой	2	3
54	и мы	1	3
55	было бы	1	3
56	а не	2	3
57	так называемых	1	3
58	и потому	2	3
59	все это	6	3
60	при таком	1	3
61	одна из	4	3
62	для нас	6	3
63	и все	1	3
64	у нас	8	3
65	и к	3	3
66	следующим образом	4	3
67	в области	3	3
68	как известно	2	2
69	как мы	10	2
70	свою очередь	2	2
71	тем же	1	2
72	приводит к	3	2
73	в и	17	2
74	каждого из	1	2
75	на этом	3	2
76	говорить о	1	2
77	только так	1	2
78	настоящее время	3	2
79	и что	4	2
80	и во	1	2
81	самом деле	1	2
82	говорить об	1	2
83	в его	2	2
84	с совершенно	1	2
85	с этим	2	2
86	таком методе	1	2
87	развития но	1	2
88	быть и	2	2
89	некоторое время	1	2
90	в которой	1	2
91	не будем	3	2
92	что это	3	2
93	в нашем	2	2
94	из этих	4	2
95	ни одна	1	2
96	уже не	6	2
97	то и	1	2
98	с другом	1	2
99	в виде	6	2
100	тем не	3	2
101	мы знаем	1	2
102	всяком случае	1	2
103	у него	2	2
104	и по	8	2
105	отличие от	1	2
106	ее на	1	2
107	но все	3	2
108	что все	1	2
109	значение в	1	2
110	в некоторых	4	2
111	и пр	2	2
112	на этот	3	2
113	которой он	1	2
114	первые два	1	2
115	такой же	2	2
116	носит название	1	2
117	в один	2	2
118	он должен	1	2
119	из которых	1	2
120	в отличие	1	2
121	друг с	1	2
122	не менее	3	2
123	научное объяснение	1	2
124	можно назвать	1	2
125	в настоящее	3	2
126	в третьем	1	2
127	мы видим	2	2
128	не дает	1	2
129	тот же	1	2
130	в свою	3	2
131	такие же	1	2
132	не могут	1	2
133	могут быть	2	2
134	что в	19	2
135	если же	1	2
136	в таком	1	2
137	во всяком	1	2
138	и это	1	1
139	можно говорить	2	1
140	совпадают с	3	1
141	в объяснении	1	1
142	три направления	1	1
143	а из	1	1
144	на другой	1	1
145	на самом	2	1
146	но тем	2	1
147	почему и	1	1
148	между двумя	2	1
149	за все	2	1
150	характерное для	1	1
151	отношению к	1	1
152	так в	4	1
153	по преимуществу	1	1
154	и до	2	1
155	не имеют	1	1
156	можно было	1	1
157	и могут	1	1
158	мы уже	1	1
159	те же	1	1
160	их и	3	1
161	из всех	1	1
162	мы имеем	4	1
163	же как	1	1
164	еще в	4	1
165	и всюду	1	1
166	если бы	1	1
167	и вообще	1	1
168	что иное	2	1
169	и действительно	1	1
170	и начало	2	1
171	для наших	2	1
172	или как	1	1
173	а далее	1	1
174	нечто совсем	1	1
175	кто же	1	1
176	того же	1	1
177	о том	8	1
178	в ней	2	1
179	и та	1	1
180	что каждый	1	1
181	не соответствует	1	1
182	которую можно	1	1
183	на них	1	1
184	именно эти	1	1
185	иное как	2	1
186	его в	1	1
187	с его	1	1
188	во всех	4	1
189	природы и	2	1
190	данном случае	1	1
191	совсем не	1	1
192	но не	2	1
193	к этому	4	1
194	точка зрения	1	1
195	при исследовании	1	1
196	если в	3	1
197	во втором	1	1
198	по отношению	1	1
199	более как	1	1
200	во всей	1	1
201	этой группы	1	1
202	такого объяснения	1	1
203	в гости	1	1
204	другой день	1	1
205	независимо от	2	1
206	то чем	1	1
207	к которому	1	1
208	значит что	2	1
209	к нему	1	1
