N	3gram	Tiupa_Narr_1	PoTuStor
1	с точки зрения	2	6
2	на самом деле	1	4
3	в этом смысле	1	3
4	до сих пор	1	3
5	по крайней мере	1	3
6	не может быть	5	3
7	можно сказать что	4	3
8	по аналогии с	1	2
9	так же как	2	2
10	в самом деле	1	2
11	все то что	1	2
12	о том что	6	2
13	в конечном счете	2	2
14	во всех его	1	2
15	и того же	1	1
16	и столь же	1	1
17	а иногда и	1	1
18	всех без исключения	1	1
19	дело в том	1	1
20	в постель к	1	1
21	подобно тому как	2	1
22	одного и того	1	1
23	то же самое	1	1
24	же как и	1	1
25	бы то ни	3	1
26	в этом отношении	3	1
27	можно было бы	2	1
28	как это было	1	1
29	а то и	1	1
30	она может быть	1	1
31	может быть только	1	1
32	с этой точки	1	1
33	разных местах и	1	1
34	мы узнаем о	1	1
35	в данном случае	4	1
36	то ни было	3	1
37	с одной стороны	7	1
38	в связи с	2	1
39	в году в	1	1
40	в себя и	2	1
41	а с другой	1	1
42	имеем дело с	1	1
43	в свое время	1	1
44	в том что	8	1
45	нельзя сказать о	1	1
46	было на самом	1	1
47	этой точки зрения	2	1
48	так и в	1	1
49	прежде всего к	1	1
50	и прежде всего	1	1
51	что иное как	2	1
52	этом своем качестве	1	1
53	в этом своем	1	1
54	есть прежде всего	1	1
55	не что иное	2	1
56	друг с другом	1	1
57	на первый взгляд	2	1
58	обратим внимание на	1	1
59	той или иной	4	1
