N	2gram	Potebnia_M_3	Psycholo
1	и в	30	38
2	то что	18	35
3	в том	32	25
4	в самом	8	25
5	самом деле	2	21
6	что в	17	20
7	может быть	28	19
8	и что	10	18
9	на то	2	16
10	что она	3	16
11	точки зрения	2	16
12	в ней	8	15
13	то есть	34	15
14	и т	5	14
15	том что	18	14
16	если бы	12	14
17	как бы	3	14
18	потому что	46	14
19	в этом	10	13
20	в этой	2	13
21	и мы	2	13
22	не только	21	12
23	таким образом	14	12
24	было бы	9	12
25	не в	15	12
26	мы видим	2	12
27	что он	6	11
28	то же	23	10
29	в сущности	1	10
30	что это	4	10
31	и не	15	10
32	же самое	1	10
33	и все	3	10
34	увидим что	1	9
35	с точки	1	9
36	того чтобы	3	9
37	в двух	1	9
38	и то	8	8
39	с этим	6	8
40	все же	2	8
41	и как	5	8
42	с тем	7	8
43	как и	10	8
44	в одном	2	8
45	и это	4	8
46	но только	2	8
47	так что	7	8
48	вовсе не	7	8
49	для того	4	8
50	перед нами	2	8
51	для нас	20	8
52	мы уже	2	7
53	с другой	7	7
54	заключается в	1	7
55	мы можем	3	7
56	не может	6	7
57	все то	1	7
58	как мы	7	7
59	в ее	2	7
60	что у	1	7
61	никак не	3	7
62	между тем	9	7
63	а не	15	7
64	а в	12	7
65	и на	3	6
66	в которых	2	6
67	к чему	1	6
68	и если	2	6
69	он не	4	6
70	бы совершенно	1	6
71	мы видели	4	6
72	в котором	4	6
73	тому что	3	6
74	она не	2	6
75	не имеет	6	6
76	уже из	1	6
77	и его	4	6
78	с и	3	6
79	к тому	7	6
80	указывает на	6	6
81	с самого	1	6
82	ясно что	1	6
83	и здесь	1	6
84	о том	2	6
85	один из	4	6
86	с одной	7	6
87	если мы	1	6
88	из них	6	6
89	так как	13	6
90	до сих	3	6
91	там где	3	6
92	он говорит	2	6
93	должна быть	1	5
94	мы не	9	5
95	время в	3	5
96	в своем	5	5
97	могли бы	1	5
98	в которой	3	5
99	так сказать	2	5
100	несмотря на	2	5
101	с такой	1	5
102	в своей	2	5
103	т п	2	5
104	и когда	1	5
105	в его	4	5
106	в какой	2	5
107	но и	19	5
108	одной стороны	3	5
109	вместе с	12	5
110	сих пор	3	5
111	или в	3	5
112	о котором	1	5
113	другой стороны	4	5
114	на деле	5	4
115	что эти	1	4
116	что если	1	4
117	которую мы	1	4
118	время как	1	4
119	во всех	1	4
120	мысль что	1	4
121	не то	3	4
122	что они	2	4
123	как в	10	4
124	когда он	1	4
125	в целом	3	4
126	все эти	1	4
127	в себе	16	4
128	в нем	9	4
129	при этом	3	4
130	т д	3	4
131	здесь мы	1	4
132	но если	1	4
133	что этот	1	4
134	что эта	2	4
135	что с	2	4
136	и другое	1	4
137	в нас	2	4
138	из него	2	4
139	больше чем	1	4
140	когда в	2	4
141	в виду	1	4
142	образом мы	1	4
143	что и	13	4
144	только в	21	4
145	конечно не	1	4
146	не можем	3	4
147	при помощи	1	4
148	у него	2	4
149	и даже	2	4
150	и между	4	4
151	по своему	2	4
152	того что	18	4
153	мы могли	1	4
154	в свою	3	4
155	сказать что	5	4
156	ее в	1	4
157	должен быть	1	3
158	того же	1	3
159	едва ли	1	3
160	по его	1	3
161	до такой	1	3
162	и заставляет	1	3
163	совсем не	1	3
164	что как	2	3
165	совершенно другой	1	3
166	на словах	1	3
167	что по	2	3
168	но в	1	3
169	та же	2	3
170	из этих	9	3
171	не к	4	3
172	одно и	5	3
173	могла бы	2	3
174	что все	3	3
175	конечно в	1	3
176	бы в	2	3
177	его в	3	3
178	и тем	5	3
179	ни в	2	3
180	в них	5	3
181	далеко не	4	3
182	в один	4	3
183	в такой	1	3
184	без всяких	1	3
