N	3gram	Losev_Vlad_3	Sovremen
1	мы не можем	1	6
2	с точки зрения	6	5
3	не может быть	6	4
4	не может не	1	3
5	с самого начала	1	3
6	тем не менее	9	2
7	во всяком случае	3	2
8	в отличие от	3	2
9	может быть и	1	2
10	в настоящее время	3	2
11	то же самое	1	2
12	том что эта	1	1
13	что иное как	1	1
14	в известном смысле	1	1
15	и в этом	5	1
16	одной стороны и	2	1
17	уже знаем что	1	1
18	в связи с	2	1
19	он уже не	1	1
20	ровно ничего не	1	1
21	какой бы то	1	1
22	дело в том	5	1
23	не только своей	1	1
24	в новое время	1	1
25	в этом смысле	3	1
26	так же как	2	1
27	а не только	2	1
28	в этом случае	1	1
29	его работы в	1	1
30	в дальнейшем мы	1	1
31	и ни в	1	1
32	до сих пор	1	1
33	то же время	2	1
34	раз и навсегда	1	1
35	и в то	2	1
36	необходимо отметить что	1	1
37	бы то ни	3	1
38	то он уже	1	1
39	это значит что	6	1
40	совершенно так же	2	1
41	но все эти	1	1
42	можно было бы	1	1
43	в самом деле	1	1
44	той или иной	1	1
45	мы знаем что	1	1
46	одна из них	1	1
47	но уже в	1	1
48	в дальнейшем увидим	1	1
49	в том случае	3	1
50	в то же	3	1
51	как и вся	1	1
52	мы видим что	1	1
53	важную роль в	1	1
54	те или иные	2	1
55	не что иное	1	1
56	не подлежит никакому	1	1
57	мы уже знаем	1	1
58	в том что	10	1
59	в этой области	1	1
60	том случае когда	1	1
61	в данном случае	2	1
62	то ни было	1	1
63	подлежит никакому сомнению	1	1
64	с одной стороны	3	1
65	на этот раз	1	1
66	если бы эти	1	1
