N	2gram	Nazirov_Tv_1	VeschiIm
1	не есть	1	49
2	т е	1	42
3	не может	4	33
4	не только	7	31
5	может быть	5	29
6	и не	7	28
7	и в	21	26
8	то что	8	24
9	и есть	1	23
10	значит что	2	22
11	это значит	1	22
12	и т	3	21
13	т д	1	20
14	а не	5	20
15	есть только	1	17
16	что я	3	16
17	в смысле	1	15
18	что она	2	14
19	только в	5	14
20	по себе	1	13
21	и что	1	13
22	того что	3	13
23	есть не	2	12
24	все же	5	12
25	в себя	2	12
26	что это	1	12
27	было бы	1	12
28	и ее	1	12
29	но и	3	12
30	сказать что	2	12
31	а и	1	11
32	таким образом	5	11
33	общения с	2	11
34	что же	1	11
35	то же	13	10
36	в ней	2	10
37	не значит	1	10
38	как бы	17	10
39	что такое	1	10
40	потому что	5	10
41	уже не	3	10
42	бы то	1	9
43	в самом	3	9
44	то ни	1	9
45	и с	3	9
46	в том	7	9
47	что не	2	9
48	прежде всего	4	9
49	ни было	1	9
50	что иное	1	8
51	с ее	3	8
52	иное как	1	8
53	в себе	2	8
54	и это	1	8
55	себя и	1	8
56	но это	5	8
57	не что	1	8
58	также и	1	7
59	говорить о	1	7
60	в этом	6	7
61	не будет	2	7
62	его в	1	7
63	том что	11	7
64	в то	15	7
65	со своим	1	7
66	ли это	1	7
67	что оно	1	7
68	указывает на	1	7
69	себя в	1	7
70	и их	1	7
71	так как	3	7
72	как раз	1	7
73	и как	4	6
74	но в	7	6
75	бы и	1	6
76	это есть	1	6
77	всего прочего	1	6
78	но если	3	6
79	по крайней	2	6
80	с ним	3	6
81	ее не	1	6
82	она не	1	6
83	отличается от	1	6
84	крайней мере	2	6
85	а если	1	6
86	так что	2	6
87	если мы	1	6
88	для него	6	6
89	но что	1	6
90	жизни и	3	6
91	что в	12	6
92	того же	2	5
93	это и	3	5
94	и до	1	5
95	и тут	1	5
96	в сущности	1	5
97	на себя	1	5
98	в чем	2	5
99	но не	3	5
100	отнюдь не	5	5
101	как к	2	5
102	же это	1	5
103	это не	4	5
104	с тем	1	5
105	не в	2	5
106	тем не	2	5
107	в отношении	1	5
108	не менее	6	5
109	одна из	2	5
110	у нас	1	5
111	свою очередь	1	5
112	в ее	1	5
113	для этого	1	5
114	себя с	1	5
115	еще не	1	5
116	что для	2	5
117	ни на	3	5
118	с этой	1	5
119	из себя	2	5
120	а в	6	5
121	в свою	7	5
122	я не	3	4
123	то это	1	4
124	в их	3	4
125	во всех	1	4
126	с этим	1	4
127	в своем	4	4
128	же не	1	4
129	как и	12	4
130	и более	1	4
131	слово и	1	4
132	же время	12	4
133	и о	1	4
134	только то	1	4
135	о том	6	4
136	с другой	3	4
137	что и	2	4
138	этот вопрос	1	4
139	то и	1	4
140	из них	2	4
141	тем что	1	4
142	и даже	3	4
143	когда я	2	4
144	в данном	2	4
145	не существует	3	4
146	значило бы	1	4
147	и все	6	4
148	оно не	1	4
149	себя как	2	3
150	самом деле	2	3
151	мы имеем	1	3
152	бы что	1	3
153	но даже	1	3
154	в а	1	3
155	не то	2	3
156	себе не	2	3
157	в нем	3	3
158	по самому	2	3
159	перестает быть	1	3
160	на этом	1	3
161	по смыслу	1	3
162	было в	2	3
163	в жизни	2	3
164	и тогда	1	3
165	можно только	1	3
166	отрыве от	1	3
167	в своей	4	3
168	все это	10	3
169	между прочим	1	3
170	и другое	1	3
171	и притом	2	3
172	ее с	1	3
173	в основе	2	3
174	в уме	1	3
175	этот тип	1	3
176	к ней	2	3
177	в философии	1	3
178	к себе	1	3
179	к тому	2	3
180	в собственном	1	3
181	нет никакой	1	3
182	и сам	1	3
183	так и	2	3
184	можно сказать	2	3
185	но когда	1	3
186	один из	4	3
187	в отрыве	1	3
188	тот же	2	3
189	что он	6	3
190	только на	2	3
191	а это	1	3
192	мы находим	2	3
193	в одном	1	3
194	даже и	1	3
195	никогда не	3	3
196	а с	1	3
197	вместе с	2	3
198	да и	1	3
199	тем более	1	3
200	хотя бы	5	3
201	я в	1	3
202	с самим	1	3
203	по законам	1	2
204	в сфере	1	2
205	как это	1	2
206	переход от	1	2
207	в первом	2	2
208	ту же	3	2
209	мы уже	1	2
210	той же	3	2
211	к чему	1	2
212	человека и	4	2
213	но она	2	2
214	себе что	1	2
215	не нужно	2	2
216	мысли и	4	2
217	может сделать	1	2
218	и всякий	1	2
219	не все	1	2
220	тогда как	1	2
221	наряду с	1	2
222	как в	8	2
223	когда он	2	2
224	это тоже	1	2
225	что на	1	2
226	то в	2	2
227	образом и	1	2
228	приводит к	2	2
229	если он	1	2
230	и если	1	2
231	он не	8	2
232	о которой	1	2
233	душу и	1	2
234	и вот	1	2
235	и этот	1	2
236	но все	1	2
237	а затем	2	2
238	об этом	2	2
239	и чтобы	1	2
240	на все	1	2
241	то есть	12	2
242	на этой	1	2
243	и тем	2	2
244	ни в	1	2
245	все равно	1	2
246	и уже	1	2
247	не мог	2	2
248	реального существования	1	2
249	жизнь и	1	2
250	тому что	1	2
251	что ему	1	2
252	пусть даже	1	2
253	дело в	3	2
254	на него	1	2
255	но только	2	2
256	для всего	1	2
257	казалось бы	1	2
258	в самой	1	2
259	как она	1	2
260	и его	6	2
261	это уже	5	2
262	никуда не	2	2
263	однако это	1	2
264	если же	1	2
265	данном случае	2	2
266	в в	2	2
267	говорили что	1	2
268	и когда	2	2
269	в виду	2	2
270	и та	2	2
271	никак не	1	2
272	может не	2	2
273	это было	1	2
274	заключается в	1	2
275	еще более	2	2
276	в качестве	2	2
277	его и	1	2
278	на столе	1	2
279	не случайно	4	2
280	о которых	1	2
281	превращается в	1	2
282	а так	1	2
283	о чем	1	2
284	когда же	1	2
285	только я	1	2
286	в частности	2	2
287	самого себя	1	2
288	в первой	2	2
289	это выражение	1	2
290	кроме того	1	2
291	в более	1	2
292	в с	2	2
293	ли в	2	2
294	не тратить	1	2
295	тоже есть	1	2
296	ли что	1	2
297	теперь же	1	2
298	отношении к	1	2
299	жизни в	6	2
300	может и	1	2
301	это все	1	2
302	была бы	1	2
303	от всех	1	2
304	а я	1	2
305	в своих	5	2
306	так же	3	2
307	говорили о	1	1
308	я и	3	1
309	в реальности	1	1
310	же как	1	1
311	чтобы не	1	1
312	связана с	1	1
313	должно стать	1	1
314	основан на	1	1
315	чего не	1	1
316	из самых	1	1
317	по преимуществу	2	1
