N	2gram	Tiupa_Vved_1	Myslijsy
1	потому что	5	52
2	то есть	8	42
3	и в	13	39
4	может быть	18	27
5	в том	10	26
6	только в	6	25
7	не может	7	22
8	что в	3	22
9	не только	20	21
10	а не	15	21
11	в нем	5	20
12	но и	19	20
13	и не	12	18
14	том что	7	16
15	так что	1	16
16	в этом	21	15
17	не в	6	15
18	если бы	7	14
19	по отношению	7	13
20	в себе	5	13
21	таким образом	4	13
22	так и	8	13
23	отношению к	7	13
24	было бы	4	12
25	есть только	1	11
26	мы не	4	10
27	как в	4	10
28	по себе	2	10
29	и что	1	10
30	то что	6	10
31	что не	1	10
32	и понимания	2	9
33	но в	6	9
34	как и	11	9
35	могут быть	4	9
36	для нас	2	9
37	тем что	2	9
38	но не	5	8
39	в слове	3	8
40	точки зрения	1	8
41	в одном	1	8
42	того что	6	8
43	со стороны	5	8
44	вместе с	1	8
45	язык как	2	7
46	в ней	4	7
47	в истории	1	7
48	это не	6	7
49	в этих	3	7
50	то и	2	7
51	с другой	5	7
52	то же	5	6
53	все же	6	6
54	бы не	2	6
55	при этом	26	6
56	и по	3	6
57	и наоборот	1	6
58	не менее	4	6
59	того как	1	6
60	тем не	3	6
61	что на	2	6
62	что и	2	6
63	еще не	7	6
64	по мере	1	6
65	как бы	4	6
66	в первом	2	5
67	во всех	2	5
68	то в	1	5
69	не следует	3	5
70	с тем	1	5
71	несмотря на	1	5
72	не имеет	2	5
73	и его	5	5
74	если же	1	5
75	между тем	1	5
76	во втором	2	5
77	в его	4	5
78	вовсе не	1	5
79	зависит от	2	5
80	так же	1	5
81	и потому	1	5
82	быть только	2	5
83	но это	3	5
84	и для	3	5
85	а в	6	5
86	другой стороны	2	5
87	в таком	1	5
88	а только	1	4
89	субъекта и	1	4
90	из этих	3	4
91	этом смысле	1	4
92	мы видели	2	4
93	и языка	1	4
94	тем самым	5	4
95	однако в	4	4
96	бы быть	1	4
97	в то	4	4
98	не по	1	4
99	никогда не	4	4
100	же время	3	4
101	и притом	1	4
102	во всем	1	4
103	к тому	6	4
104	свою очередь	4	4
105	бы в	3	4
106	для него	3	4
107	само по	1	4
108	не было	2	4
109	и даже	1	4
110	прежде всего	7	4
111	что мы	2	4
112	тому как	2	4
113	быть не	4	4
114	слова и	1	4
115	при таком	1	4
116	мы видим	1	4
117	в свою	4	4
118	в своих	2	4
119	того же	1	3
120	противном случае	1	3
121	должна быть	2	3
122	столь же	1	3
123	относится к	1	3
124	в своем	5	3
125	в противном	1	3
126	хотя и	7	3
127	в самом	2	3
128	что это	1	3
129	он не	3	3
130	подобно тому	2	3
131	так например	1	3
132	что все	1	3
133	в мире	8	3
134	той же	1	3
135	и с	2	3
136	а его	2	3
137	и тем	2	3
138	в жизни	4	3
139	в них	2	3
140	в этой	1	3
141	не мог	1	3
142	восприятия и	1	3
143	не так	1	3
144	в своей	5	3
145	тому что	1	3
146	на него	2	3
147	не могло	2	3
148	находятся в	1	3
149	как она	1	3
150	в сознании	4	3
151	оно не	1	3
152	для себя	1	3
153	но при	5	3
154	столько же	1	3
155	когда в	2	3
156	к первому	1	3
157	том как	3	3
158	из одного	1	3
159	с ним	3	3
160	к одной	1	3
161	души к	1	3
162	в другой	1	3
163	мы увидим	1	3
164	но как	1	3
165	с одной	5	3
166	из которого	1	3
167	если мы	1	3
168	только на	1	3
169	или даже	1	3
170	и понимание	1	3
171	и их	1	3
172	представить себе	2	3
173	могло бы	3	3
174	что для	1	3
175	связи с	1	3
176	но оно	1	3
177	одной стороны	5	3
178	к которому	2	3
179	оно и	1	3
180	и от	2	3
181	имеют для	1	3
182	она может	1	3
183	о котором	2	3
184	и все	4	3
185	к этой	1	3
186	мы должны	1	3
187	хотя в	1	3
188	сказать что	1	3
189	по поводу	2	3
190	во всяком	1	3
191	одним из	5	2
192	тем же	1	2
193	а как	1	2
194	в сущности	1	2
195	что до	1	2
196	то он	2	2
197	не все	2	2
198	тогда как	10	2
199	друг от	1	2
200	которые не	1	2
201	в течение	1	2
202	и слова	1	2
203	сознания в	3	2
204	могли бы	1	2
205	в целом	3	2
206	ни одна	1	2
207	что к	1	2
208	лица и	1	2
209	на то	1	2
210	но на	2	2
211	и если	1	2
212	с первыми	1	2
213	по крайней	1	2
214	так сказать	2	2
215	мы можем	2	2
216	ключ к	1	2
217	in der	1	2
218	к одному	1	2
219	и более	3	2
220	из него	1	2
221	значительной степени	1	2
222	могла бы	3	2
223	человеку но	1	2
224	он есть	1	2
225	мог бы	1	2
226	для них	3	2
227	о которых	1	2
228	и того	2	2
229	одного и	1	2
230	но если	1	2
231	в их	1	2
232	слова в	2	2
233	но он	1	2
234	том же	1	2
235	это будет	1	2
236	без него	1	2
237	на себе	1	2
238	что иное	1	2
239	того чтобы	1	2
240	вытекает из	1	2
241	в разных	1	2
242	об условиях	1	2
243	заметить что	1	2
244	одного лица	1	2
245	из того	1	2
246	заключает в	1	2
247	как будто	4	2
248	в живой	1	2
249	все то	1	2
250	его с	2	2
251	имеет место	4	2
252	не ограничивается	1	2
253	как мы	3	2
254	то она	1	2
255	с ее	1	2
256	от друга	1	2
257	мысль о	1	2
258	с языком	1	2
259	и человеческого	1	2
260	времени и	7	2
261	в виду	1	2
262	них не	1	2
263	иное как	1	2
264	о том	5	2
265	при котором	1	2
266	никак не	2	2
267	одного из	3	2
268	стало быть	7	2
269	и только	1	2
270	крайней мере	1	2
271	еще более	1	2
272	и отдельные	1	2
273	никакого другого	1	2
274	известно что	1	2
275	в разные	1	2
276	которое мы	1	2
277	есть в	2	2
278	уже не	5	2
279	не можем	2	2
280	указания на	1	2
281	разные времена	1	2
282	же в	1	2
283	в начале	3	2
284	человека не	1	2
285	иначе как	1	2
286	к ним	2	2
287	точке зрения	1	2
288	только по	1	2
289	у нас	1	2
290	на этот	1	2
291	таком случае	1	2
292	связь с	1	2
293	нет ничего	1	2
294	его на	1	2
295	что же	3	2
296	и о	1	2
297	видно что	1	2
298	стороны и	1	2
299	между прочим	1	2
300	к другим	1	2
301	но с	1	2
302	слова но	2	2
303	не существует	2	2
304	или в	1	2
305	и б	1	2
306	хотя бы	1	2
307	только что	1	2
308	все они	2	2
309	не что	1	2
310	из этого	1	2
311	жизни и	7	2
312	но эти	1	2
313	сомневаться во	1	2
314	все что	3	2
315	не зависит	1	1
316	единстве с	1	1
317	человеческой речи	1	1
318	не должны	1	1
319	например в	2	1
320	начинается с	1	1
321	должен быть	1	1
322	которого в	1	1
323	самом деле	3	1
324	он может	1	1
325	переход от	1	1
326	бы для	1	1
327	от своей	1	1
328	гегелевское определение	1	1
329	едва ли	3	1
330	как история	1	1
331	нельзя назвать	1	1
332	в зависимости	1	1
333	живой речи	1	1
334	полагает что	1	1
335	до времени	1	1
336	мы имеем	5	1
337	сознания ни	2	1
338	в жизнь	1	1
339	двух и	1	1
340	именно к	1	1
341	не столько	4	1
342	не вполне	3	1
343	на себя	1	1
344	в последующих	1	1
345	жизни как	1	1
346	похожи на	1	1
347	мы предполагаем	1	1
348	зависимости от	1	1
349	в каждой	1	1
350	вопросы о	1	1
351	и самого	1	1
352	и на	3	1
353	к их	1	1
354	на их	1	1
355	бы мы	1	1
356	природы и	1	1
357	что вполне	1	1
358	как если	1	1
359	на самом	4	1
360	друг на	1	1
361	если в	2	1
362	к слову	1	1
363	что они	1	1
364	данной системы	1	1
365	связи и	1	1
366	становится одним	2	1
367	вследствие чего	1	1
368	например для	1	1
369	и нет	1	1
370	перед нами	6	1
371	говорящий и	1	1
372	бы стать	1	1
373	в ожидании	1	1
374	разнообразных явлений	1	1
375	более или	2	1
376	в противоположность	1	1
377	для которого	3	1
378	та же	1	1
379	он в	1	1
380	все эти	1	1
381	в нашем	6	1
382	и пространства	1	1
383	так в	4	1
384	тоже не	2	1
385	представляет их	1	1
386	приводит к	2	1
387	с их	1	1
388	как он	2	1
389	вследствие этого	3	1
390	жизнью и	1	1
391	на его	1	1
392	и стало	1	1
393	как оно	2	1
394	задний план	1	1
395	времени для	1	1
396	перестает быть	1	1
397	высшей степени	2	1
398	оно происходит	1	1
399	не как	2	1
400	нам только	1	1
401	нашего времени	2	1
402	на этом	1	1
403	без исключения	2	1
404	что она	1	1
405	в нее	1	1
406	же не	1	1
407	лишь в	2	1
408	входит в	1	1
409	было в	1	1
410	при встрече	1	1
411	предполагаем в	1	1
412	и мы	1	1
413	должен был	1	1
414	только одно	1	1
415	бы иначе	1	1
416	и внутренним	1	1
417	все равно	2	1
418	далеко не	4	1
419	жизни то	2	1
420	зрения или	1	1
421	на друга	1	1
422	зависимым от	1	1
423	не всегда	2	1
424	одна и	1	1
425	жизни но	1	1
426	как сказано	1	1
427	нам не	1	1
428	же следует	1	1
429	обратимся к	2	1
430	или менее	2	1
431	его нельзя	1	1
432	и вполне	1	1
433	во время	1	1
434	от своего	1	1
435	что такое	18	1
436	в отношении	1	1
437	в следующем	1	1
438	в котором	8	1
439	как произведение	1	1
440	занимающего нас	1	1
441	самая сущность	1	1
442	что ограничивает	1	1
443	в которых	1	1
444	возводится к	1	1
445	что я	1	1
446	должны были	2	1
447	одна только	1	1
448	сами по	1	1
449	слушающий не	1	1
450	их в	2	1
451	и предполагает	1	1
452	даже в	1	1
453	случае мы	1	1
454	что есть	1	1
455	оба эти	1	1
456	а на	2	1
457	может служить	4	1
458	в науке	1	1
459	до поры	1	1
460	в единство	1	1
461	на самый	1	1
462	но только	1	1
463	человека по	1	1
464	все без	1	1
465	здесь может	1	1
466	как формы	1	1
467	человек как	1	1
468	по своей	3	1
469	вперед и	1	1
470	сознанием и	1	1
471	и теперь	1	1
472	средствами но	1	1
473	этом отношении	4	1
474	в области	3	1
475	может показаться	1	1
476	от их	1	1
477	в духе	1	1
478	в категориях	2	1
479	по характеру	1	1
480	и другим	1	1
481	а что	1	1
482	указывает на	1	1
483	каким она	1	1
484	не предполагает	1	1
485	он видит	1	1
486	в полной	1	1
487	это развитие	1	1
488	он ищет	1	1
489	здесь не	2	1
490	в ее	1	1
491	хотя не	1	1
492	в произведении	1	1
493	действия и	1	1
494	всей своей	2	1
495	роль в	1	1
496	различие между	1	1
497	на том	1	1
498	что у	1	1
499	из двенадцати	1	1
500	можно было	2	1
501	те же	2	1
502	не с	3	1
503	оно как	1	1
504	еще в	2	1
505	в результате	3	1
506	этом месте	1	1
507	которому принадлежит	1	1
508	это все	1	1
509	приближается к	1	1
510	внимание на	3	1
511	оно лишено	1	1
512	этого сказать	1	1
513	в математике	1	1
514	понимания как	1	1
515	нее есть	1	1
516	на мгновение	2	1
517	к нему	1	1
518	которого не	1	1
519	ожидания и	1	1
520	с другими	1	1
521	но все-таки	1	1
522	или напротив	2	1
523	во всей	1	1
524	есть с	1	1
525	вслед за	2	1
526	наконец в	1	1
527	непосредственное наблюдение	1	1
528	предполагается что	1	1
529	в формах	1	1
530	но так	1	1
531	один из	3	1
532	большею частью	1	1
533	и представляет	2	1
534	дело с	2	1
535	что он	1	1
536	проникнуть в	1	1
537	в какой	4	1
538	поэтому и	1	1
539	всяком случае	1	1
540	между этими	1	1
541	и ее	1	1
542	от них	1	1
543	язык а	1	1
544	с какой	1	1
545	как полагает	1	1
546	уже в	1	1
547	себя в	1	1
548	мы бы	1	1
549	в виде	1	1
550	по выражению	2	1
551	ответ на	1	1
552	из них	1	1
553	что содержание	1	1
554	мир в	1	1
555	него нет	1	1
556	для одного	1	1
557	ее не	2	1
558	как его	2	1
559	у него	1	1
560	случае не	1	1
561	которые могут	1	1
562	легко можно	1	1
563	часть целого	1	1
564	с что	1	1
565	не один	2	1
566	от первого	1	1
567	еще и	1	1
568	и затем	1	1
569	это число	1	1
570	только к	1	1
571	их не	1	1
572	к сожалению	1	1
573	души за	1	1
574	превращается в	1	1
575	и опять	2	1
576	не на	1	1
577	которое по	1	1
578	человеческой жизни	3	1
579	человек в	1	1
580	и оно	2	1
581	разных местах	1	1
582	особенностей и	1	1
583	в связи	1	1
584	в речи	2	1
585	здесь именно	1	1
586	стороны в	1	1
587	оно совершается	1	1
588	начиная с	3	1
589	и животным	1	1
590	в одной	2	1
591	например когда	1	1
592	ни от	2	1
593	предположить что	1	1
594	в данном	13	1
595	его собственной	1	1
596	такого рода	16	1
597	к великому	1	1
598	времени с	1	1
599	в ответ	1	1
600	в мир	1	1
601	да и	1	1
602	ведет не	1	1
603	направленного на	1	1
604	на другое	1	1
605	аналогии с	1	1
606	очередь не	1	1
607	приблизиться к	1	1
608	все это	1	1
609	ни для	1	1
610	что касается	5	1
611	или по	1	1
612	раскрывается в	1	1
613	истории но	1	1
614	при всем	1	1
615	не получает	1	1
616	началом и	2	1
617	говорящего и	1	1
618	не имея	1	1
619	части из	1	1
620	не подлежит	1	1
621	существенный признак	1	1
622	имеет дело	1	1
623	собственно говоря	1	1
624	время не	1	1
625	не должен	1	1
626	будто бы	3	1
627	если нам	2	1
628	необходимо должна	1	1
629	к ее	3	1
630	между ними	1	1
631	внутренних состояний	1	1
632	же способности	1	1
633	жизни а	1	1
634	и слушающий	1	1
635	не замечать	1	1
636	первом случае	1	1
637	следует сказать	1	1
638	к этому	2	1
639	они не	1	1
640	событий в	1	1
