N	3gram	Tiupa_Teor_1	Vvedenie
1	для того чтобы	1	20
2	в том что	8	12
3	о том что	1	12
4	в этом смысле	2	8
5	не может быть	4	8
6	тем не менее	3	8
7	то же время	5	6
8	в то же	5	6
9	в той мере	1	5
10	той мере в	1	5
11	с другой стороны	5	5
12	мере в какой	1	5
13	что иное как	1	4
14	по отношению к	4	4
15	по крайней мере	1	4
16	в данном случае	5	4
17	так или иначе	4	4
18	может быть названо	2	4
19	не что иное	1	4
20	с одной стороны	2	4
21	именно в этом	1	3
22	но в то	1	3
23	в известном смысле	1	3
24	что представляет собой	1	3
25	действительность в ее	1	3
26	заключается в том	1	3
27	можно сказать что	2	3
28	сама по себе	1	3
29	состоит в том	5	2
30	на котором он	1	2
31	дело в том	1	2
32	подобно тому как	1	2
33	в соответствии с	2	2
34	то же самое	1	2
35	с точки зрения	3	2
36	точно так же	1	2
37	может быть и	2	2
38	в данном отношении	1	2
39	не могут быть	2	2
40	в связи с	1	2
41	в целом ряде	1	2
42	тем или иным	1	2
43	на вопрос о	1	2
44	есть не что	1	2
45	в этих случаях	1	2
46	той или иной	1	2
47	в самой себе	1	1
48	и того же	3	1
49	а между тем	1	1
50	в той или	1	1
51	мы говорим о	1	1
52	иного рода и	1	1
53	как уже говорилось	1	1
54	одном и том	1	1
55	мы имеем дело	2	1
56	этого слова как	1	1
57	как один из	1	1
58	более или менее	2	1
59	имеем в виду	3	1
60	в прошлом и	1	1
61	никак не может	1	1
62	может быть назван	1	1
63	он мог бы	1	1
64	не менее не	1	1
65	то или иное	1	1
66	в одном и	1	1
67	в отличие от	6	1
68	только то что	1	1
69	то что входит	1	1
70	второй половины xviii	1	1
71	заключает в себе	1	1
72	том или ином	1	1
73	в том-то и	1	1
74	имеем дело с	1	1
75	отчет в том	1	1
76	ту или иную	1	1
77	о полку игореве	2	1
78	одно и то	1	1
79	все то что	1	1
80	значительное место принадлежит	1	1
81	в том или	1	1
82	в особенности в	1	1
83	так же как	1	1
84	в первом случае	1	1
85	как раз в	1	1
86	себе отчет в	1	1
87	то ни было	1	1
88	как видно из	1	1
89	все что может	1	1
90	мы имеем в	3	1
91	и том же	1	1
92	можно говорить о	1	1
93	и то же	1	1
94	и потому что	1	1
95	еще и потому	1	1
96	бы то ни	1	1
97	логической точки зрения	1	1
98	а в том	1	1
99	что входит в	1	1
100	имея в виду	1	1
101	в свою очередь	2	1
102	та или иная	1	1
103	того или иного	3	1
104	в реальной действительности	1	1
105	именно потому что	1	1
106	в этой системе	2	1
107	одного и того	3	1
108	каждой из них	1	1
109	из этих двух	1	1
110	к тому что	2	1
111	в сравнении с	1	1
112	характера как это	1	1
113	из того что	1	1
114	значении этого термина	1	1
