N	2gram	Losev_Dial_1	IolandNe
1	и с	5	3
2	должен быть	1	2
3	и не	30	2
4	в этом	12	2
5	он не	3	2
6	что в	13	2
7	ничего не	17	2
8	бы что	1	2
9	же это	3	1
10	себя в	1	1
11	все это	11	1
12	этим и	1	1
13	нисколько не	4	1
14	и др	1	1
15	мы стали	1	1
16	гипотеза и	1	1
17	и в	18	1
18	только что	3	1
19	и о	3	1
20	с жизнью	1	1
21	я не	5	1
22	то и	2	1
23	них не	1	1
24	а по	1	1
25	бы в	3	1
26	как только	2	1
27	стало быть	9	1
28	не остается	1	1
29	с другой	6	1
30	и та	3	1
31	это было	2	1
32	а в	5	1
33	вплоть до	3	1
34	она ничего	1	1
35	так то	1	1
36	того что	2	1
37	стали бы	1	1
38	не дает	1	1
39	и без	1	1
40	как о	2	1
41	пушкина и	1	1
42	а с	2	1
43	другой стороны	4	1
44	творчества пушкина	1	1
45	странное и	1	1
46	и еще	3	1
47	в первую	2	1
48	не так	1	1
49	нее и	1	1
50	для него	2	1
51	а также	1	1
52	ничего в	1	1
53	в основе	3	1
54	что для	3	1
55	говорить о	5	1
56	понятий и	1	1
57	и сам	1	1
58	есть только	5	1
59	а если	1	1
60	так и	9	1
61	он с	1	1
62	от этого	3	1
63	того чтобы	1	1
64	первую очередь	1	1
65	никогда не	9	1
66	следующим образом	1	1
67	жизни и	3	1
68	и очень	1	1
69	бы все	2	1
70	и ничего	1	1
71	в них	3	1
72	все эти	2	1
73	по существу	1	1
74	со всеми	1	1
75	если бы	12	1
76	для того	2	1
77	другое дело	1	1
