N	2gram	Bakhtin_KF_1	Vvedenie
1	и в	24	32
2	в том	6	31
3	в этом	14	30
4	том что	4	26
5	может быть	45	26
6	не только	5	22
7	для того	3	21
8	того чтобы	2	20
9	также и	1	18
10	то что	7	16
11	потому что	2	15
12	так как	1	15
13	не может	27	14
14	в самом	1	13
15	в нем	28	13
16	о том	3	13
17	со стороны	7	13
18	в их	8	12
19	в его	40	12
20	того что	3	12
21	только в	16	12
22	и не	26	12
23	в ее	16	11
24	и именно	2	11
25	ясно что	3	11
26	в данном	2	11
27	что в	4	10
28	то же	5	9
29	в истории	1	9
30	и как	2	9
31	но в	5	9
32	по себе	2	9
33	между тем	4	9
34	этом смысле	3	9
35	а только	1	8
36	это не	10	8
37	не в	12	8
38	тем не	2	8
39	не менее	3	8
40	именно в	5	8
41	самом деле	3	7
42	вопрос о	2	7
43	но не	12	7
44	все же	5	7
45	к выводу	1	7
46	было бы	8	7
47	точки зрения	12	7
48	уже и	1	7
49	дело с	2	7
50	прежде всего	2	7
51	смысле этого	1	7
52	только как	4	7
53	смысле слова	1	6
54	и это	12	6
55	в принципиальном	1	6
56	его в	5	6
57	с тем	2	6
58	как и	5	6
59	вовсе не	7	6
60	в то	3	6
61	в качестве	2	6
62	же время	2	6
63	тем что	3	6
64	один из	2	6
65	и его	17	6
66	и даже	1	6
67	но и	9	6
68	а именно	1	6
69	все это	10	6
70	хотя бы	4	6
71	культуры как	1	6
72	а как	2	5
73	в целом	10	5
74	об этом	1	5
75	на почве	1	5
76	и тем	3	5
77	могут быть	3	5
78	имеет дело	1	5
79	быть в	4	5
80	не есть	20	5
81	что не	3	5
82	а не	17	5
83	по своему	3	5
84	как бы	9	5
85	в какой	1	5
86	вместе с	1	5
87	и то	2	4
88	как это	1	4
89	связи между	1	4
90	в чисто	1	4
91	в первом	1	4
92	той же	1	4
93	мы имеем	5	4
94	науки и	1	4
95	по отношению	26	4
96	не просто	1	4
97	независимо от	3	4
98	от этого	2	4
99	уже не	7	4
100	в себе	21	4
101	но ведь	5	4
102	этот процесс	1	4
103	должен был	1	4
104	науки а	1	4
105	в своей	10	4
106	в котором	24	4
107	как о	1	4
108	не имеет	5	4
109	только с	3	4
110	в каждом	3	4
111	здесь нет	2	4
112	это только	2	4
113	и т.д	2	4
114	времени и	4	4
115	еще не	4	4
116	что он	2	4
117	и ее	2	4
118	в виде	2	4
119	одно из	1	4
120	всяком случае	1	4
121	само по	1	4
122	как раз	1	4
123	и для	9	4
124	только что	1	4
125	а в	4	4
126	отношению к	22	4
127	во всяком	1	4
128	и есть	9	3
129	что уже	1	3
130	так чтобы	1	3
131	говорить о	2	3
132	в виду	3	3
133	и на	3	3
134	в различных	1	3
135	в чем	4	3
136	совсем не	2	3
137	хотя и	1	3
138	и к	1	3
139	за собой	1	3
140	бы и	3	3
141	что это	3	3
142	все эти	10	3
143	в этой	2	3
144	в известном	1	3
145	что она	1	3
146	как оно	2	3
147	при этом	4	3
148	если бы	8	3
149	не как	4	3
150	отношений между	1	3
151	на этом	1	3
152	и уже	1	3
153	чем в	1	3
154	как целое	1	3
155	нисколько не	4	3
156	в этих	1	3
157	от себя	10	3
158	есть еще	1	3
159	тогда когда	3	3
160	дело в	2	3
161	дело не	2	3
162	в области	2	3
163	в каком	4	3
164	но все	5	3
165	должен быть	7	3
166	в ней	3	3
167	на том	1	3
168	что может	1	3
169	во второй	1	3
170	можно сказать	1	3
171	в конечном	1	3
172	или как	2	3
173	к нему	12	3
174	известном смысле	1	3
175	одной из	1	3
176	об отдельных	1	3
177	и других	2	3
178	в одном	4	3
179	что и	7	3
180	отношение к	5	3
181	может служить	1	3
182	именно как	1	3
183	до конца	3	3
184	только по	2	3
185	зависит от	1	3
186	знания в	1	3
187	в своем	16	3
