N	3gram	Bakhtin_KF_1	FransuaR
1	в том что	2	6
2	той или иной	2	5
3	в средние века	1	4
4	это уже не	1	3
5	с точки зрения	9	3
6	дело в том	1	2
7	на самом деле	3	2
8	средних веков и	1	2
9	в основе своей	1	2
10	в нем в	1	2
11	мир в его	1	2
12	во всех этих	2	2
13	в значительной степени	1	2
14	как бы ни	1	2
15	во второй половине	1	2
16	в большинстве случаев	1	2
17	во всех его	1	2
18	но прежде всего	1	1
19	и может быть	2	1
20	литературе о нем	1	1
21	нет и не	1	1
22	здесь одновременно и	1	1
23	мы дадим здесь	1	1
24	и ни к	1	1
25	его жизни в	1	1
26	по отношению к	22	1
27	даны здесь в	1	1
28	имеем в виду	2	1
29	и новое и	1	1
30	в настоящее время	1	1
31	жизни и культуры	1	1
32	жизни и смерти	1	1
33	с ним в	1	1
34	но все это	1	1
35	в литературе о	1	1
36	на первом плане	2	1
37	и т.п но	1	1
38	может быть правильно	1	1
39	может быть только	7	1
40	то или иное	2	1
41	нет места для	1	1
42	для нас своим	1	1
43	все это в	1	1
44	не потому что	1	1
45	до конца и	1	1
46	но в то	1	1
47	лежит в основе	1	1
48	его просто не	1	1
49	в ней в	1	1
50	в известном смысле	1	1
51	во всяком случае	1	1
52	могла бы быть	3	1
53	это и не	1	1
54	в его целом	10	1
55	что тем самым	1	1
56	не может быть	11	1
57	средневековых мистерий в	1	1
58	то же время	2	1
59	все это только	1	1
60	и пр и	1	1
61	никогда не может	1	1
62	включает в себя	2	1
63	но нет и	1	1
64	в себя и	1	1
65	и не знает	1	1
66	для того чтобы	1	1
67	только в единстве	1	1
68	в то же	2	1
69	но это не	1	1
70	в виду его	1	1
71	не может стать	1	1
