N	4gram	Vinokur_Ku_3	Problema
1	в то же время	1	3
2	ни в коем случае	1	2
3	и в то же	1	2
4	и тем не менее	3	1
5	никогда не может быть	1	1
6	в тех же целях	1	1
7	всего следует отметить что	1	1
8	что бы то ни	1	1
9	в первом случае мы	1	1
10	и не может быть	1	1
11	и т п и	4	1
12	не выходит за пределы	1	1
13	бы то ни стало	1	1
14	ни в какой мере	2	1
15	прежде всего следует отметить	1	1
16	если бы не было	1	1
17	не говоря уже о	2	1
18	во что бы то	1	1
19	тем или иным путем	1	1
20	в том смысле что	1	1
21	не в том что	2	1
