N	2gram	Vygotskiy__5	NovoeSre
1	а не	8	17
2	и в	30	16
3	не может	9	16
4	совсем не	2	12
5	и не	6	11
6	и есть	5	10
7	что в	24	9
8	как не	1	8
9	в том	27	8
10	жизни и	6	8
11	он не	3	8
12	в этом	14	7
13	в новой	1	7
14	может быть	11	7
15	как и	6	7
16	это есть	3	7
17	с его	2	6
18	не в	8	6
19	ни в	3	6
20	общественной жизни	1	6
21	никогда не	9	6
22	но это	1	6
23	не знает	2	6
24	должен быть	2	5
25	с ее	1	5
26	в ней	4	5
27	и к	4	5
28	не только	16	5
29	в жизни	1	5
30	все это	2	5
31	в нем	7	5
32	быть может	1	4
33	о том	10	4
34	и мы	16	4
35	в них	4	4
36	то что	37	4
37	это не	3	4
38	прежде всего	4	4
39	не было	1	4
40	должно быть	2	4
41	есть лишь	1	4
42	и потому	5	4
43	по своему	1	4
44	не менее	1	4
45	и для	6	4
46	не имеет	1	4
47	и все	4	4
48	потому что	23	4
49	с другой	9	3
50	смысле слова	1	3
51	в ее	3	3
52	должна быть	2	3
53	вопрос о	3	3
54	и начало	1	3
55	еще не	5	3
56	во всех	2	3
57	как в	3	3
58	конечно не	1	3
59	но и	6	3
60	не есть	4	3
61	с тем	8	3
62	в своей	4	3
63	тому как	1	3
64	в россии	1	3
65	она не	1	3
66	что такое	1	3
67	не существует	3	3
68	в основе	7	3
69	к ее	1	3
70	к тому	8	3
71	сказать что	9	3
72	и это	8	2
73	нем нет	1	2
74	же как	2	2
75	более не	1	2
76	связана с	1	2
77	силы и	1	2
78	это и	2	2
79	время как	2	2
80	можно было	3	2
81	так и	3	2
82	времени и	3	2
83	к самой	1	2
84	мы не	3	2
85	и с	2	2
86	для этого	9	2
87	стремление к	1	2
88	но она	2	2
89	и что	23	2
90	и на	3	2
91	на протяжении	1	2
92	но не	7	2
93	которую она	1	2
94	сильнее и	1	2
95	все время	20	2
96	в центре	2	2
97	с этим	2	2
98	ни к	1	2
99	хотя и	1	2
100	но в	5	2
101	который в	1	2
102	все эти	2	2
103	с одной	12	2
104	себя в	1	2
105	в себе	5	2
106	уже не	1	2
107	в употреблении	1	2
108	не к	1	2
109	том чтобы	2	2
110	у него	3	2
111	что она	6	2
112	и заключается	4	2
113	в одну	1	2
114	что все	6	2
115	нет и	1	2
116	и даже	2	2
117	и т.п	1	2
118	связаны с	1	2
119	этом смысле	2	2
120	для чего	2	2
121	том что	21	2
122	вместе с	12	2
123	так же	13	2
124	мы говорим	1	2
125	к содержанию	1	2
126	одной стороны	12	2
127	другой стороны	5	2
128	по существу	2	2
129	не могли	4	2
130	том и	2	2
131	ни одна	1	2
132	как будто	6	2
133	как это	7	2
134	но для	1	2
135	равно как	1	2
136	в смысле	1	2
137	в то	2	2
138	одна из	3	2
139	того чтобы	20	2
140	формы и	3	2
141	и от	1	2
142	в русском	1	2
143	хотя бы	3	2
144	все они	1	2
145	а в	4	2
146	заключается что	1	2
147	на гибель	1	2
148	когда мы	6	2
149	могут быть	8	2
150	не хотим	1	2
151	можно назвать	1	2
152	применить к	1	1
153	от этой	2	1
154	оно может	1	1
155	он может	1	1
156	только потому	1	1
157	часто совершенно	1	1
158	к таким	1	1
159	способ выражения	1	1
160	по преимуществу	2	1
161	приводит к	2	1
162	и до	2	1
163	не их	1	1
164	с собой	1	1
165	мы уже	6	1
166	не с	2	1
167	и которые	1	1
168	во многом	1	1
169	еще в	2	1
170	и трудно	1	1
171	на место	1	1
172	совершенно невозможно	1	1
173	героя но	1	1
174	движения к	1	1
