N	2gram	Savitsky_E_1	Problema
1	и в	37	30
2	в своей	8	22
3	то есть	6	21
4	не только	18	18
5	то что	6	18
6	в этом	12	17
7	том что	6	17
8	и даже	6	14
9	таким образом	2	13
10	но и	14	13
11	потому что	3	13
12	также и	7	12
13	о том	3	12
14	в его	2	12
15	а именно	2	12
16	в том	11	12
17	и не	14	12
18	в своем	14	11
19	в этой	2	10
20	в виде	5	10
21	для нас	4	10
22	точки зрения	23	10
23	все же	1	9
24	на земле	1	9
25	но в	14	9
26	и вообще	1	9
27	который в	1	9
28	только в	9	9
29	и все	2	9
30	сказать что	4	9
31	хотя и	2	8
32	с точки	17	8
33	вовсе не	6	8
34	но не	5	7
35	как и	7	7
36	не в	5	7
37	никогда не	3	7
38	связи с	1	7
39	у нас	1	7
40	так и	10	7
41	мы находим	1	7
42	может быть	6	7
43	говорит о	3	7
44	в связи	1	7
45	в результате	3	7
46	вместе с	2	7
47	и на	6	6
48	и как	2	6
49	в нем	1	6
50	при помощи	2	6
51	несмотря на	4	6
52	и его	1	6
53	можно сказать	4	6
54	и что	2	6
55	что и	3	6
56	уже не	1	6
57	так как	7	6
58	с другой	7	6
59	прежде всего	9	6
60	как бы	6	6
61	и для	3	6
62	а в	2	6
63	другой стороны	2	6
64	и то	2	5
65	для себя	1	5
66	в силу	2	5
67	и с	2	5
68	с тем	3	5
69	еще в	1	5
70	не менее	1	5
71	и притом	4	5
72	и о	1	5
73	людей в	1	5
74	и их	1	5
75	мы можем	3	5
76	а не	2	5
77	не может	9	5
78	так же	9	5
79	в самом	4	5
80	что в	21	5
81	того же	3	4
82	отнюдь не	9	4
83	и к	3	4
84	в себе	9	4
85	при этом	1	4
86	но все	1	4
87	об этом	1	4
88	было бы	8	4
89	в то	16	4
90	тогда когда	2	4
91	но даже	4	4
92	iv в	1	4
93	все еще	1	4
94	и сам	1	4
95	нас в	1	4
96	или в	2	4
97	в качестве	14	4
98	далеко не	2	4
99	если не	1	4
100	в частности	5	4
101	в смысле	9	4
102	жизни в	3	4
103	гораздо более	1	4
104	время как	1	3
105	в ней	4	3
106	он сам	2	3
107	что его	1	3
108	в ее	8	3
109	только тогда	1	3
110	от этого	5	3
111	он в	1	3
112	поскольку в	1	3
113	с одной	8	3
114	он не	2	3
115	этом смысле	3	3
116	или вернее	2	3
117	в отношении	32	3
118	и другое	1	3
119	в самой	1	3
120	как будто	2	3
121	есть только	1	3
122	то время	1	3
123	с ним	1	3
124	только и	1	3
125	внимание на	1	3
126	а также	7	3
127	к нему	2	3
128	же в	2	3
129	того что	7	3
130	тот же	1	3
131	и тем	3	3
132	в начале	1	3
133	в одном	2	3
134	для них	2	3
135	в других	2	3
136	для того	6	3
137	именно в	4	3
138	одной стороны	8	3
139	мира в	4	3
140	о котором	1	3
141	еще более	2	3
142	и другие	1	3
143	и наиболее	2	2
144	он считает	1	2
145	кто иной	1	2
146	или к	1	2
147	но тем	1	2
148	и до	1	2
149	то же	15	2
150	из всех	3	2
151	мы не	4	2
152	и тут	2	2
153	в таком	3	2
154	все эти	1	2
155	что люди	1	2
156	тем как	1	2
157	мы будем	1	2
158	значение и	1	2
159	по отношению	1	2
160	на то	6	2
161	в одной	1	2
162	как в	3	2
163	кроме того	1	2
164	когда он	3	2
165	бы с	1	2
166	борьбы с	1	2
167	на его	1	2
168	всем своем	1	2
169	не к	2	2
170	или иных	1	2
171	его на	2	2
172	то ни	4	2
173	в них	3	2
174	с такой	1	2
175	более всего	1	2
176	бы на	1	2
177	и сейчас	2	2
178	на месте	2	2
179	в котором	2	2
180	представление о	2	2
181	и более	2	2
182	дошла до	2	2
183	дело в	3	2
184	того чтобы	6	2
185	больше чем	1	2
186	по своей	2	2
187	тем что	3	2
188	уже и	3	2
189	в области	11	2
190	свое собственное	1	2
191	не могут	2	2
192	ли не	1	2
193	к тому	8	2
194	как мы	5	2
195	которого мы	2	2
196	значительной мере	1	2
197	данном случае	2	2
198	как с	1	2
