N	2gram	Trubetskoy_1	Sotsiolo
1	все это	6	7
2	в том	17	5
3	в этом	17	5
4	и только	5	3
5	как же	1	3
6	для нас	2	3
7	не только	9	3
8	и в	14	3
9	но ведь	1	3
10	не в	4	3
11	в его	4	3
12	как только	1	2
13	но и	10	2
14	конце концов	3	2
15	и мы	1	2
16	было бы	5	2
17	к которому	1	2
18	она может	3	2
19	должна быть	2	2
20	только в	5	2
21	в результате	2	2
22	тем более	1	2
23	ввести в	1	2
24	том что	9	2
25	это зависит	1	2
26	в частности	2	2
27	как будто	2	2
28	то что	13	2
29	главным образом	3	2
30	или даже	1	2
31	и что	2	2
32	еще не	3	2
33	таким образом	11	2
34	это и	1	2
35	отношению к	1	2
36	в конце	3	2
37	что в	4	2
38	может быть	9	2
39	как бы	4	2
40	по отношению	2	2
41	очевидно что	1	2
42	и заключается	1	2
43	по существу	5	2
44	то же	11	2
45	друг от	2	1
46	быть для	1	1
47	крайней мере	1	1
48	в свои	1	1
49	что все	3	1
50	противном случае	1	1
51	вряд ли	3	1
52	быть не	1	1
53	по себе	2	1
54	даже в	1	1
55	сама по	2	1
56	в мире	4	1
57	в этой	4	1
58	тому что	2	1
59	отнюдь не	7	1
60	даже не	2	1
61	какие же	1	1
62	на все	1	1
63	стоит только	2	1
64	с другой	1	1
65	его в	4	1
66	данный человек	1	1
67	только для	2	1
68	с ним	2	1
69	лучшем случае	3	1
70	это не	1	1
71	на этот	1	1
72	именно в	3	1
73	все же	4	1
74	в противном	1	1
75	один из	1	1
76	и есть	2	1
77	перед нами	1	1
78	в то	10	1
79	кто не	1	1
80	хотелось бы	1	1
81	тем же	1	1
82	и наконец	2	1
83	еще и	1	1
84	только то	1	1
85	а с	2	1
86	тем что	3	1
87	и как	3	1
88	что эти	1	1
89	на ней	1	1
90	что он	6	1
91	прежде всего	8	1
92	слова но	1	1
93	так и	1	1
94	не было	3	1
95	те же	1	1
96	но только	1	1
97	и не	19	1
98	на тех	1	1
99	никогда не	5	1
100	на основании	2	1
101	зависит от	2	1
102	мы не	1	1
103	это как	1	1
104	со своими	1	1
105	же время	10	1
106	и о	2	1
107	все эти	2	1
108	это же	1	1
109	именно на	2	1
110	как и	4	1
111	между собой	5	1
112	бы в	1	1
113	для этого	3	1
114	в настоящее	2	1
115	иначе говоря	1	1
116	мы должны	7	1
117	остается в	2	1
118	в таких	2	1
119	в сущности	1	1
120	и никакая	1	1
121	но она	2	1
122	вот в	1	1
123	образом в	1	1
124	конечно не	5	1
125	в связи	1	1
126	в те	1	1
127	на первый	1	1
128	иначе и	1	1
129	в этих	2	1
130	место в	2	1
131	связи с	3	1
132	от друга	2	1
133	или не	1	1
134	в лучшем	3	1
135	хотя бы	5	1
136	его собственные	1	1
137	стало быть	1	1
138	не может	22	1
139	в своей	5	1
140	только тогда	1	1
141	и должно	2	1
142	а в	5	1
143	благодаря этому	2	1
144	о том	7	1
145	по самому	2	1
146	в области	2	1
147	и потому	3	1
148	же это	1	1
149	настоящее время	2	1
150	представить себе	2	1
151	в котором	2	1
152	никак не	1	1
153	точке зрения	3	1
154	из тех	1	1
155	и способностей	1	1
156	всему этому	1	1
157	придется не	1	1
158	может не	3	1
159	столь же	1	1
160	время в	2	1
161	всяком случае	6	1
162	собой не	1	1
163	на точке	1	1
164	в силу	2	1
165	в область	1	1
166	ни на	1	1
167	должно было	1	1
168	что это	3	1
169	у которых	1	1
170	вовсе не	1	1
171	на отдельные	1	1
172	же самое	1	1
173	а между	5	1
174	но не	4	1
175	у него	2	1
176	в виде	3	1
177	этого и	1	1
178	в данном	7	1
179	между тем	5	1
180	но как	1	1
181	базируются на	1	1
182	и по	3	1
183	что на	1	1
184	по крайней	1	1
185	бы о	1	1
186	и более	2	1
187	том и	2	1
188	во всяком	9	1
189	и будет	1	1
190	что данный	1	1
191	они не	1	1
192	единственный путь	2	1
