N	2gram	Medvedev_F_3	SlovoVZh
1	не может	24	16
2	может быть	25	14
3	точки зрения	16	14
4	как бы	8	13
5	и его	19	13
6	таким образом	18	12
7	и в	27	12
8	по отношению	3	11
9	в нашем	1	11
10	отношению к	3	11
11	и не	30	10
12	если бы	12	9
13	так как	9	9
14	прежде всего	4	8
15	художественного произведения	7	7
16	творца и	1	7
17	сказать что	3	7
18	для нас	3	7
19	в ней	5	6
20	в том	7	6
21	только в	8	6
22	при этом	8	6
23	с помощью	8	6
24	в нем	15	6
25	слова и	4	6
26	все время	6	6
27	в процессе	15	6
28	должна быть	3	5
29	то же	15	5
30	в виду	3	5
31	можно сказать	3	5
32	мы ни	2	5
33	отнюдь не	8	5
34	как в	4	5
35	но в	6	5
36	и др	2	5
37	в жизни	11	5
38	героя и	2	5
39	а не	17	5
40	как и	14	5
41	что мы	1	5
42	и следовательно	3	5
43	том что	4	5
44	к предмету	1	5
45	никогда не	5	5
46	поэтическое произведение	5	5
47	хотя бы	6	5
48	то что	8	5
49	к материалу	3	4
50	мы все	1	4
51	на самом	14	4
52	зависимости от	5	4
53	литературы и	3	4
54	социального общения	9	4
55	за пределы	2	4
56	в литературе	6	4
57	в этом	18	4
58	все же	6	4
59	в самом	11	4
60	уже не	3	4
61	не только	9	4
62	ни было	5	4
63	свое выражение	2	4
64	от того	2	4
65	так и	21	4
66	материала и	3	4
67	с другой	6	4
68	высказывания как	3	4
69	не в	12	4
70	его в	7	4
71	дело в	2	4
72	и является	4	4
73	жизни и	4	4
74	и на	3	4
75	художественном произведении	3	3
76	здесь не	2	3
77	самом деле	16	3
78	формы и	3	3
79	в котором	2	3
80	в пределах	8	3
81	ведь и	1	3
82	ясно что	3	3
83	еще не	6	3
84	мы не	4	3
85	и вообще	1	3
86	социальной группы	2	3
87	о том	4	3
88	социологической поэтики	1	3
89	бы то	4	3
90	но и	10	3
91	между тем	7	3
92	только ему	1	3
93	нуждается в	3	3
94	того что	3	3
95	в художественном	5	3
96	быть и	1	3
97	и ее	6	3
98	все эти	6	3
99	только на	4	3
100	конечно не	4	3
101	в себе	3	3
102	в поэзии	3	3
103	слово в	2	3
104	да и	4	3
105	в творчестве	1	3
106	для него	1	3
107	социальных оценок	5	3
108	не к	1	3
109	внутренней речи	2	3
110	и по	1	3
111	то ни	4	3
112	и с	3	3
113	до сих	1	3
114	ни в	8	3
115	и пр	15	3
116	в них	3	3
117	двух направлениях	1	3
118	в своей	6	3
119	художественного творчества	2	3
120	так же	9	3
121	в такой	2	3
122	поэтического произведения	1	3
123	справедливо и	2	3
124	тем не	2	3
125	этой точки	1	3
126	и более	3	3
