N	3gram	Berdyaev_N_1	Hudozhes
1	в отличие от	1	7
2	с другой стороны	2	5
3	в том что	1	5
4	и того же	1	3
5	одного и того	1	3
6	в этом смысле	2	3
7	в том и	2	2
8	в значительной степени	1	2
9	с одной стороны	2	2
10	том числе и	1	2
11	в том числе	1	2
12	добро и зло	1	1
13	по своей природе	1	1
14	я думаю что	1	1
15	а не с	1	1
16	весь мир все	1	1
17	подобно тому как	3	1
18	не было и	1	1
19	том случае если	1	1
20	в зависимости от	1	1
21	заключает в себе	1	1
22	содержанию а не	1	1
23	в том случае	1	1
24	к вопросу о	1	1
25	и потому что	1	1
26	в известном смысле	1	1
27	не могут быть	1	1
28	нового времени в	1	1
29	та или иная	1	1
30	так же как	2	1
31	в то время	1	1
32	имея в виду	1	1
33	это и есть	1	1
34	о том что	1	1
35	к одному из	1	1
36	быть не может	1	1
37	не может быть	4	1
38	как и в	1	1
