N	4gram	Bakhtin_Pr_5	Marksizm
1	в то же время	10	8
2	но в то же	4	5
3	бы то ни было	3	4
4	одного и того же	1	4
5	одно и то же	3	3
6	в той или иной	4	3
7	как если бы он	1	3
8	и того же слова	1	3
9	и то же слово	1	2
10	все более и более	1	2
11	той или иной степени	2	2
12	в том что он	1	2
13	мы можем сказать что	2	1
14	или иной степени в	1	1
15	бы они ни были	1	1
16	уже с самого начала	1	1
17	той или иной форме	2	1
18	мы уже говорили что	3	1
19	себя на самом деле	1	1
20	на чужое слово и	1	1
21	для него как бы	1	1
22	но тем не менее	1	1
23	дело в том что	1	1
24	в отношении к нему	1	1
25	чужое слово и на	1	1
26	и для себя самого	3	1
27	в отношении к другому	3	1
