N	2gram	Losev_Dial_2	BTomashe
1	и не	30	2
2	в ней	2	2
3	больше чем	1	2
4	все это	4	2
5	не то	5	2
6	говорить о	5	1
7	и меньше	1	1
8	со всем	2	1
9	во всяком	2	1
10	с другой	5	1
11	не все	1	1
12	вопрос о	3	1
13	совершенно не	7	1
14	по теории	1	1
15	в своей	8	1
16	остановиться на	1	1
17	по крайней	9	1
18	всяком случае	2	1
19	и о	1	1
20	в области	2	1
21	и ее	1	1
22	и в	19	1
23	будто бы	3	1
24	так и	10	1
25	то как	3	1
26	для которой	1	1
27	за пределы	4	1
28	крайней мере	9	1
29	не о	1	1
30	также что	2	1
31	об этом	3	1
32	также не	1	1
33	что все	1	1
34	же не	3	1
35	короче говоря	1	1
36	и нет	2	1
37	не было	3	1
38	и во	1	1
39	должна быть	5	1
40	нас еще	1	1
41	кроме того	3	1
42	было бы	3	1
43	отнюдь не	6	1
44	было и	1	1
45	далеко не	1	1
46	бы только	2	1
47	и потому	5	1
48	все же	4	1
49	его не	2	1
50	о них	1	1
51	иначе не	1	1
52	целиком в	1	1
53	и более	3	1
54	говорить не	1	1
55	прежде всего	8	1
56	творчества и	1	1
57	что в	7	1
58	таким образом	4	1
59	он свою	1	1
60	еще не	4	1
61	как будто	7	1
62	не только	19	1
63	в данном	3	1
64	и на	1	1
65	на самом	2	1
66	другой стороны	4	1
67	из ее	1	1
68	тем более	1	1
69	а не	16	1
