N	4gram	Losev_Dial_1	Vvedenie
1	в то же время	4	6
2	и т д но	2	5
3	не что иное как	1	4
4	и тем не менее	1	3
5	с одной стороны и	2	3
6	но в то же	1	3
7	дело в том что	1	2
8	и т д все	1	2
9	есть не что иное	1	2
10	и т д в	1	2
11	одной и той же	1	2
12	т д все это	1	1
13	только в том чтобы	1	1
14	но все же это	1	1
15	во всяком случае гораздо	1	1
16	но уже и сейчас	1	1
17	и в этом смысле	2	1
18	так а не иначе	1	1
19	т е по существу	1	1
20	и т д и	2	1
21	одно и то же	4	1
22	в том что такое	1	1
23	об отношении его к	1	1
24	сама по себе не	3	1
25	и об отношении его	1	1
26	в связи с этим	1	1
27	так как она есть	2	1
28	в каждом из них	1	1
29	как бы ее ни	1	1
30	можно представить себе что	1	1
31	и в этом отношении	1	1
32	что в нем есть	2	1
33	то же самое и	1	1
34	отчет в том что	1	1
