N	2gram	Losev_Prob_3	Problemy
1	и в	44	34
2	и не	35	29
3	как бы	9	27
4	что он	9	23
5	в его	9	22
6	не может	7	19
7	и все	3	19
8	в нем	9	19
9	может быть	28	19
10	как и	10	18
11	и его	5	16
12	в этом	17	16
13	но в	12	16
14	все это	5	16
15	и с	9	15
16	прежде всего	3	15
17	он не	8	15
18	с самим	3	14
19	то же	13	14
20	для него	3	13
21	самом деле	3	13
22	потому что	25	12
23	но и	10	12
24	и к	6	12
25	в то	9	12
26	себя самого	1	11
27	вовсе не	37	11
28	на самом	7	11
29	то что	23	11
30	слова и	3	10
31	не только	14	10
32	не в	13	9
33	самим собою	1	9
34	в отношении	2	9
35	а не	18	9
36	в другом	2	8
37	точки зрения	5	8
38	так же	5	8
39	с ним	7	8
40	что же	8	8
41	и т	13	8
42	никогда не	6	8
43	и для	2	8
44	себя и	1	8
45	в самом	3	8
46	как мы	8	7
47	все же	6	7
48	там где	1	7
49	что в	8	7
50	на него	1	7
51	с которым	1	7
52	что не	1	7
53	слова в	1	7
54	этого слова	5	7
55	как будто	3	7
56	и даже	14	7
57	в себе	8	6
58	что они	5	6
59	стремится к	1	6
60	от него	2	6
61	от себя	2	6
62	что у	3	6
63	только в	19	6
64	мы уже	4	6
65	для себя	2	6
66	и на	1	6
67	так и	10	6
68	в пределах	1	6
69	во всяком	9	5
70	все время	1	5
71	это слово	1	5
72	таким образом	9	5
73	и у	2	5
74	что это	3	5
75	даже в	1	5
76	хотя бы	3	5
77	в конце	5	5
78	так что	12	5
79	с тем	5	5
80	в одном	1	5
81	а в	5	5
82	мы должны	7	5
83	он сам	4	5
84	но все	3	5
85	того что	8	5
86	к тому	3	5
87	и сам	5	5
88	в целом	6	5
89	в чем	4	5
90	это не	9	5
91	и от	9	5
92	героя в	2	5
93	к своему	1	5
94	всяком случае	6	5
95	в слове	2	5
96	что и	9	5
97	и что	7	5
98	лишь в	1	5
99	себе и	1	5
100	из них	2	5
101	он и	2	5
102	все эти	7	4
103	на его	1	4
104	еще не	5	4
105	бы то	4	4
106	бы он	1	4
107	как раз	8	4
108	при этом	4	4
109	в виде	6	4
110	с другими	3	4
111	то ни	6	4
112	бы и	1	4
113	его в	3	4
114	но не	3	4
115	что все	2	4
116	в начале	2	4
117	но как	4	4
118	вместе с	2	4
119	с точки	2	4
120	как в	5	4
121	да и	5	4
122	но на	1	4
123	ни в	8	4
124	ничего не	3	4
125	тем что	4	4
126	даже и	16	4
127	если бы	3	4
128	ни было	3	4
129	у него	1	4
130	он в	2	4
131	бы его	1	4
132	с другой	7	4
133	все равно	3	4
134	и вы	1	4
135	он хочет	1	4
136	и это	9	4
137	только на	5	4
138	так как	9	4
139	но это	8	4
140	в такой	1	3
141	конце концов	3	3
142	говорить о	3	3
143	но он	1	3
144	он только	2	3
145	жизни и	6	3
146	как символ	1	3
147	и то	14	3
148	быть даже	3	3
149	крайней мере	5	3
150	не менее	10	3
151	как такового	1	3
152	и во	2	3
153	по себе	25	3
154	это как	1	3
155	совсем другое	4	3
156	к самому	2	3
157	эти слова	2	3
158	бы в	2	3
159	совсем не	2	3
160	нуждается в	1	3
161	в ее	4	3
162	он уже	1	3
163	в том	21	3
164	в него	1	3
165	мы видели	2	3
166	хотя и	5	3
167	тут не	1	3
168	в своей	5	3
169	как он	1	3
170	только с	4	3
171	во всем	1	3
172	словом и	1	3
173	а с	2	3
174	только что	2	3
175	для этого	6	3
176	другой стороны	5	3
177	в котором	2	3
178	по крайней	5	3
179	до конца	1	3
180	далеко не	1	3
181	слов в	1	3
182	не как	1	3
183	ведь и	1	3
184	если не	3	3
185	его внутренний	1	3
186	которого он	1	3
187	в ней	5	3
188	это было	2	3
189	раз и	4	3
190	и своего	2	3
191	говорили что	1	3
192	есть только	4	3
193	с ее	2	3
194	что с	1	3
195	уже в	3	3
196	в глаза	1	3
197	сливается с	1	3
198	в виду	10	3
199	со словом	1	3
200	и как	3	3
201	к одному	1	3
202	своего собственного	1	3
203	по своему	2	3
204	и другого	1	3
205	том что	12	3
206	но для	1	3
207	если и	1	2
208	в которой	2	2
209	бы они	1	2
210	почти все	1	2
211	и этот	1	2
212	но с	2	2
213	и того	1	2
214	самого себя	3	2
215	все те	1	2
216	вопрос о	1	2
217	входит в	1	2
218	мы и	2	2
219	да еще	2	2
220	того же	2	2
221	и пусть	1	2
222	в них	1	2
223	т д	13	2
224	как на	2	2
225	здесь и	3	2
226	в душе	1	2
227	в этот	1	2
228	и ее	3	2
229	на тему	1	2
230	был бы	1	2
231	обращается к	1	2
232	не было	5	2
233	себя но	1	2
234	в жизни	1	2
235	всего этого	1	2
236	вполне понятно	1	2
237	этого и	1	2
238	и вообще	8	2
239	это в	2	2
240	бы не	1	2
241	и без	4	2
242	во всех	2	2
243	как его	1	2
244	которой он	1	2
245	того или	6	2
246	то в	3	2
247	речи в	1	2
248	со всеми	1	2
249	такого же	2	2
250	были бы	2	2
251	глаза и	1	2
252	же не	2	2
253	и только	6	2
254	смысле этого	1	2
255	все его	1	2
256	не хочет	1	2
257	связан с	1	2
258	но только	6	2
259	своего рода	1	2
260	с этой	3	2
261	например в	1	2
262	в заключение	3	2
263	конечно в	1	2
264	на одно	2	2
265	себе как	3	2
266	особенно в	1	2
267	в сторону	1	2
268	что даже	4	2
269	в той	3	2
270	к ней	1	2
271	по всему	1	2
272	поэтому нет	1	2
273	или другого	3	2
274	за пределы	5	2
275	этого необходимо	2	2
276	а как	2	2
277	сама по	8	2
278	свой собственный	3	2
279	мог бы	1	2
280	нисколько не	2	2
281	в своем	5	2
282	отличие от	3	2
283	у человека	2	2
284	отнюдь не	10	2
285	прямо и	1	2
286	пока еще	2	2
287	и если	6	2
288	не то	2	2
289	с этим	2	2
290	с которыми	2	2
291	не является	11	2
292	когда она	2	2
293	сказать что	16	2
294	тому же	1	2
295	это и	7	2
296	он есть	2	2
297	и потому	7	2
298	о них	1	2
299	же и	4	2
300	чего бы	2	2
301	тем не	10	2
302	о том	6	2
303	не с	1	2
304	о чем	2	2
305	той же	1	2
306	уже не	7	2
307	то все	1	2
308	жизнь и	2	2
309	во время	1	2
310	отличается от	4	2
311	друг друга	2	2
312	а просто	1	2
313	как она	2	2
314	всех этих	2	2
315	а к	2	2
316	будто бы	3	2
317	нет здесь	2	2
318	и об	1	2
319	а вовсе	2	2
320	от этой	1	2
321	когда он	2	2
322	остается в	1	2
323	в отличие	2	2
324	переходит в	2	2
325	и он	1	2
326	вне себя	1	2
327	нет в	1	2
328	слова мы	1	2
329	тому что	4	2
330	в произведениях	1	2
331	быть и	3	2
332	однако в	2	2
333	подобно тому	1	2
334	только так	1	2
335	же он	1	2
336	для его	3	2
337	когда уже	1	2
338	слова как	2	2
339	вообще не	1	2
340	или как	3	2
341	а может	2	2
342	в которых	3	2
343	понятно что	1	2
344	он может	1	2
345	она в	1	2
346	было бы	8	2
347	на который	1	2
348	именно потому	3	2
349	что такое	3	2
350	этом случае	5	2
351	и почти	1	2
352	что оно	2	2
353	благодаря этому	1	2
354	это уже	3	2
355	или иной	8	2
356	которых мы	1	2
357	на нее	1	2
358	такая же	1	2
359	к другим	1	2
360	всех тех	1	2
361	но именно	2	2
362	той или	12	2
363	чем не	3	2
364	не идет	1	1
365	одним из	1	1
366	слово или	1	1
367	и там	2	1
368	момент в	1	1
369	этот раз	3	1
370	для всех	1	1
371	героя мы	1	1
372	со своим	2	1
373	всех его	1	1
374	с первого	3	1
375	под эту	1	1
376	по сравнению	2	1
377	говорит не	1	1
378	и скажет	1	1
379	он остается	1	1
380	бы быть	3	1
381	не одно	1	1
382	к той	1	1
383	чтобы в	1	1
384	мы это	1	1
385	от всякого	2	1
386	художественное произведение	8	1
387	данном случае	7	1
388	что тут	3	1
389	новых точек	1	1
390	на второй	1	1
391	мы сказали	1	1
392	можно сказать	6	1
393	друг к	1	1
394	что будет	1	1
395	или в	4	1
396	только не	1	1
397	или не	1	1
398	думать и	1	1
399	иным как	1	1
400	его личный	1	1
401	лишены всяких	1	1
402	уже как	3	1
403	в один	1	1
404	случае не	3	1
405	ее на	1	1
406	никто не	2	1
407	начиная от	1	1
408	или тип	1	1
409	быть художественным	1	1
410	или все	1	1
411	стал для	1	1
412	котором мы	1	1
413	понимаем не	1	1
414	время как	4	1
415	чтобы она	1	1
416	здесь не	8	1
417	мертвых душ	2	1
418	какой бы	1	1
419	связи с	8	1
420	но при	1	1
421	и действительно	1	1
422	и самой	4	1
423	другой и	1	1
424	а то	3	1
425	собой а	2	1
426	гл vi	1	1
427	это вовсе	4	1
428	после всего	1	1
429	этот принцип	1	1
430	и тот	1	1
431	же мы	1	1
432	понимает что	1	1
433	этом мы	1	1
434	или просто	1	1
435	которого мы	1	1
436	на то	3	1
437	то он	2	1
438	случаях когда	1	1
439	мы дали	1	1
440	или еще	1	1
441	настолько велико	1	1
442	с ней	5	1
443	себе с	1	1
444	сих пор	2	1
445	этого произведения	3	1
446	и резко	1	1
447	жизни только	1	1
448	конечно и	1	1
449	здесь можно	1	1
450	это конечно	1	1
451	что дело	2	1
452	дела и	1	1
453	независимо от	1	1
454	жить и	1	1
455	говорит сам	1	1
456	что никакой	2	1
