N	2gram	Medvedev_V_1	Marksizm
1	и не	1	26
2	и его	1	19
3	и в	2	19
4	в этом	1	16
5	в самом	1	10
6	самом деле	1	10
7	только в	1	9
8	то же	1	7
9	в том	2	6
10	хотя бы	1	5
11	в конце	2	5
12	ясно что	1	5
13	именно в	1	5
14	к этому	1	5
15	что слово	1	4
16	далеко не	1	4
17	не будем	1	4
18	как же	1	4
19	конце концов	2	3
20	сводится к	1	3
21	речи и	1	3
22	все это	1	3
23	том что	2	3
24	в частности	1	2
25	в другом	1	2
26	для них	1	2
27	история языка	1	2
28	и только	1	2
29	и т.д	1	2
30	ни к	1	2
31	так как	1	2
32	что язык	1	2
33	главным образом	1	1
34	в значительной	1	1
35	в устах	1	1
36	им столь	1	1
37	на заре	1	1
38	гораздо более	1	1
39	а только	1	1
40	от общего	1	1
41	связаны и	1	1
42	потому что	1	1
43	теснейшим образом	1	1
44	стилистики в	1	1
45	вещь и	1	1
46	значительной степени	1	1
47	под влиянием	1	1
48	находится под	1	1
49	техники и	1	1
50	столь же	1	1
51	по существу	1	1
52	и то	1	1
53	языка если	1	1
54	имеется в	1	1
55	себе лишь	1	1
