N	2gram	Vygotskiy__2	BTomashe
1	у нас	1	3
2	лучше и	1	2
3	и не	7	2
4	больше чем	2	2
5	все это	4	2
6	в ней	1	2
7	видеть в	1	2
8	можно было	5	2
9	не то	2	2
10	по теории	1	1
11	за пределы	2	1
12	тем более	3	1
13	говорить о	2	1
14	бы только	1	1
15	книги в	1	1
16	об этом	3	1
17	и в	15	1
18	и о	1	1
19	в речи	1	1
20	со всем	1	1
21	моментом в	1	1
22	к ней	2	1
23	что все	4	1
24	это вместе	1	1
25	не признать	1	1
26	с другой	6	1
27	в своей	4	1
28	своей книге	2	1
29	теоретической и	1	1
30	на самом	3	1
31	на которой	2	1
32	не следует	2	1
33	из ее	1	1
34	сейчас в	2	1
35	коммуникативная функция	1	1
36	было бы	10	1
37	все же	4	1
38	всяком случае	6	1
39	свести к	2	1
40	между ними	1	1
41	и на	1	1
42	в пределах	1	1
43	по нашему	1	1
44	одной из	3	1
45	систематического изложения	1	1
46	прежде всего	4	1
47	в данном	3	1
48	и во	1	1
49	так и	8	1
50	в книге	2	1
51	из своей	1	1
52	как часть	1	1
53	нашему мнению	1	1
54	всего в	1	1
55	можно в	1	1
56	до конца	1	1
57	нельзя не	1	1
58	этой книги	1	1
59	а не	3	1
60	что в	14	1
61	в области	1	1
62	другой стороны	1	1
63	также не	1	1
64	и ее	3	1
65	отнюдь не	2	1
66	чем на	1	1
67	таким образом	14	1
68	вопрос о	5	1
69	и более	2	1
70	и потому	1	1
71	не только	15	1
72	во всяком	7	1
73	следует конечно	1	1
