N	2gram	Losev_Dial_2	RusskieA
1	и в	19	29
2	т е	30	24
3	том что	10	22
4	в том	14	22
5	что в	7	22
6	в поле	1	19
7	как бы	14	18
8	в других	1	15
9	так как	14	13
10	может быть	20	13
11	во время	2	12
12	в этом	8	11
13	как и	10	11
14	одна из	1	11
15	не только	19	10
16	и с	5	10
17	е в	3	10
18	все это	4	10
19	во многих	1	9
20	о том	5	9
21	в некоторых	2	9
22	а в	4	9
23	его в	3	8
24	показывает что	1	8
25	или на	2	8
26	но и	12	8
27	ее в	2	8
28	как в	2	7
29	данном случае	2	7
30	или в	2	7
31	мы имеем	3	6
32	мы не	1	6
33	еще не	4	6
34	и на	1	6
35	при этом	4	6
36	таким образом	4	6
37	на нее	1	6
38	с тем	2	6
39	вместе с	2	6
40	в данном	3	6
41	же в	2	6
42	и т	17	5
43	но не	6	5
44	но в	2	5
45	на земле	1	5
46	это не	10	5
47	т д	15	5
48	не может	9	5
49	потому что	14	5
50	и что	5	5
51	будто бы	3	5
52	к земле	1	5
53	к жизни	1	5
54	то что	14	5
55	же как	3	4
56	то же	12	4
57	вопрос о	3	4
58	на них	1	4
59	не все	1	4
60	что по	2	4
61	уже не	3	4
62	их в	2	4
63	в них	1	4
64	далеко не	1	4
65	и потом	2	4
66	не в	8	4
67	тогда когда	6	4
68	к нему	4	4
69	так что	7	4
70	то и	1	4
71	в виде	2	4
72	из них	3	4
73	именно в	2	4
74	а не	16	4
75	о чем	3	4
76	так же	2	4
77	как это	7	4
78	по существу	1	4
79	и все	12	4
80	или вообще	3	4
81	в таком	4	4
82	и о	1	3
83	в ее	4	3
84	только тогда	7	3
85	это показывает	1	3
86	что это	10	3
87	все эти	2	3
88	в этой	3	3
89	что она	14	3
90	главным образом	1	3
91	подобно тому	1	3
92	и по	4	3
93	на этом	2	3
94	не всегда	1	3
95	на первый	1	3
96	в эту	1	3
97	в этих	3	3
98	в котором	1	3
99	не будем	1	3
100	но он	4	3
101	она не	8	3
102	не имеет	1	3
103	на землю	1	3
104	и после	1	3
105	как мы	3	3
106	нас к	1	3
107	во всех	2	3
108	а именно	5	3
109	того что	6	3
110	что здесь	2	3
111	между тем	2	3
112	или даже	1	3
113	друг друга	1	3
114	отличие от	1	3
115	где есть	2	3
116	тем что	2	3
117	тому как	1	3
118	и от	3	3
119	было бы	3	3
120	но если	1	3
121	также что	2	2
122	и то	7	2
123	тем и	1	2
124	на самом	2	2
125	это и	3	2
126	так чтобы	2	2
127	но она	1	2
128	что иное	3	2
129	это время	3	2
130	видеть как	1	2
131	иное как	3	2
132	не был	1	2
133	природы и	1	2
134	с одной	2	2
135	ее к	1	2
136	а он	1	2
137	очевидно что	2	2
138	с этим	3	2
139	она как	1	2
140	все же	4	2
141	и как	10	2
142	не было	3	2
143	в руках	1	2
144	них как	1	2
145	живут в	2	2
146	та же	4	2
147	в которой	2	2
148	из этих	1	2
149	если он	1	2
150	как оно	1	2
151	после этого	3	2
152	не к	1	2
153	в образе	1	2
154	связанные с	1	2
155	об этом	3	2
156	что один	1	2
157	не ясно	1	2
158	из нее	1	2
159	должно быть	7	2
160	и еще	1	2
161	в своей	8	2
162	в их	2	2
163	имеем не	1	2
164	силу и	1	2
165	тем не	2	2
166	дают нам	1	2
167	не менее	3	2
168	что с	2	2
169	в то	6	2
170	дело не	2	2
171	того как	2	2
172	когда они	2	2
173	о них	1	2
174	никогда не	9	2
175	с религией	1	2
176	на природу	1	2
177	во всем	1	2
178	связи с	4	2
179	кроме того	3	2
180	что на	2	2
181	все то	1	2
182	начиная с	1	2
183	когда мы	3	2
184	в состав	1	2
185	говорит о	1	2
186	должен быть	1	2
187	в виду	5	2
188	вывод что	1	2
189	то время	4	2
190	таком виде	1	2
191	еще в	1	2
192	жизнь и	5	2
193	образом в	1	2
194	а к	1	2
195	из основных	1	2
196	с другим	1	2
197	в глаза	1	2
198	от земли	2	2
199	с другой	5	2
200	все в	2	2
201	живой человек	1	2
202	что и	5	2
203	он есть	3	2
