N	4gram	Losev_Vlad_3	EvropaiC
1	до сих пор не	1	4
2	в том случае если	2	4
3	совершенно так же как	2	3
4	лишь в том что	1	3
5	заключается в том что	1	3
6	бы то ни было	1	2
7	в то же время	2	2
8	дело в том что	4	1
9	одно и то же	1	1
10	только в том случае	3	1
11	что это есть не	1	1
12	может быть и не	1	1
13	здесь дело только в	1	1
14	не только с точки	1	1
15	как мы видели выше	2	1
16	мы уже знаем что	1	1
17	в то время как	2	1
18	и то что это	1	1
19	в том что он	1	1
20	но вместе с тем	1	1
21	только с точки зрения	1	1
22	в самом деле ведь	1	1
23	также и то что	2	1
24	мы видели выше есть	1	1
