N	2gram	Propp_Isto_3	IolandNe
1	и с	4	3
2	и не	12	2
3	в этом	17	2
4	оба они	1	2
5	он не	5	2
6	что в	15	2
7	ничего не	6	2
8	бы что	1	2
9	теперь я	1	1
10	все это	1	1
11	и др	2	1
12	и тот	1	1
13	ходить в	1	1
14	и в	22	1
15	и о	2	1
16	в эту	1	1
17	я не	3	1
18	то и	6	1
19	какую роль	1	1
20	то она	1	1
21	более чем	1	1
22	как только	2	1
23	с другой	7	1
24	и та	1	1
25	а в	6	1
26	вплоть до	1	1
27	к нам	1	1
28	художественного творчества	1	1
29	так то	1	1
30	того что	5	1
31	стороны он	1	1
32	не дает	2	1
33	после смерти	2	1
34	это был	1	1
35	свою жену	3	1
36	другой стороны	7	1
37	в первую	1	1
38	нее и	2	1
39	а также	2	1
40	что при	1	1
41	могло бы	1	1
42	и сам	1	1
43	есть только	2	1
44	попал к	1	1
45	первая жена	2	1
46	отношению к	2	1
47	а если	3	1
48	неудивительно что	1	1
49	так и	2	1
50	бы его	1	1
51	никогда не	3	1
52	к отцу	2	1
53	следующим образом	3	1
54	когда его	2	1
55	о ней	2	1
56	только для	1	1
57	та и	1	1
58	жизни и	2	1
59	и очень	1	1
60	тем что	4	1
61	в целом	3	1
62	по отношению	2	1
63	в них	6	1
64	все эти	4	1
65	но когда	1	1
66	и и	2	1
67	от нее	1	1
68	со всеми	1	1
69	если бы	6	1
